File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./IZF_base.v;SimpleTypeIntersection;;;95;21;apply;EQV_intro;0;EQV_intro;exG_intro;EQV;exG;inr;exT_intro;eq_sym;ex_intro;eq_inr_inr;eq_some_some
./IZF_base.v;SimpleTypeIntersection;;;95;22;apply;EQV_intro;0;EQV_intro;EQV;Empty_set_sind;Empty_set_rec;Empty_set_ind;Empty_set_rect;Exc;Empty_set;Eq;exG_intro
./IZF_base.v;SimpleTypeIntersection;;;95;23;apply;EQV_intro;1;Eq;EQV_intro;EQV;eq;eq_sym;eq_inr_inr;eq_some_some;eq_trans;eq_out_inr;eq_inr_out
./IZF_base.v;SimpleTypeIntersection;;;95;24;apply;EQV_intro;1;EQV;EQV_intro;eq_sym_involutive;eq_trans_sym_inv_r;eq_trans_sym_inv_l;;;;;
./IZF_base.v;SimpleTypeIntersection;;;95;25;apply;EQV_intro;0;EQV_intro;eq_sym_involutive;eq_trans_sym_inv_r;eq_trans_sym_inv_l;;;;;;
./IZF_base.v;SimpleTypeIntersection;;;95;26;apply;EQV_intro;0;EQV_intro;eq_sym_involutive;;;;;;;;
./IZF_base.v;SimpleTypeIntersection;;;95;27;apply;EQV_intro;0;EQV_intro;;;;;;;;;
./IZF_base.v;SimpleTypeIntersection;;;95;28;apply;EQV_intro;0;EQV_intro;;;;;;;;;
./IZF_base.v;SimpleTypeIntersection;;;95;29;apply;EQV_intro;0;EQV_intro;;;;;;;;;
./IZF_base.v;SimpleTypeIntersection;;;95;30;apply;EQV_intro;0;EQV_intro;;;;;;;;;
./IZF_base.v;SimpleTypeIntersection;;;97;28;apply;ex2_intro;4;eq_sym;eq_inr_inr;eq_some_some;eq_trans;ex2_intro;eq_inl_inl;eq_inr_inl;eq_inl_inr;EQV_intro;Choice2
./IZF_base.v;SimpleTypeIntersection;;;97;29;apply;ex2_intro;4;eq_sym;eq_inr_inr;eq_some_some;eq_trans;ex2_intro;eq_inl_inl;eq_inr_inl;eq_inl_inr;existT;exist
./IZF_base.v;SimpleTypeIntersection;;;97;30;apply;ex2_intro;1;ex;ex2_intro;existT;exist;ex2_of_sigT2;ex2_of_sig2;ex_of_ex2;ex2_sind;ex2_ind;ex_intro
