File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./invprel3.v;SimpleTypeIntersection;;;32;9;rewrite;eq_l0;14;know_Kab;rngDDKKeyABminusKab1;not_comp_of_sind;not_comp_of_ind;known_in_sind;known_in_ind;rngDDKKeyAB1;EP1;D2;KeyAB1
./invprel3.v;SimpleTypeIntersection;;;32;10;rewrite;eq_l0;0;eq_l0;equivnknown1;equivknown;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivS2
./invprel3.v;SimpleTypeIntersection;;;32;11;rewrite;eq_l0;1;eq;eq_l0;equivnknown1;equivknown;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4
./invprel3.v;SimpleTypeIntersection;;;32;12;rewrite;eq_l0;0;eq_l0;eq_true;eq_refl;eq_rect_r;eq_rec_r;eq_ind_r;eq_sind_r;eq_sym;eq_sind;eq_rec
./invprel3.v;SimpleTypeIntersection;;;32;13;rewrite;eq_l0;0;eq_l0;eq_exist_l;eq_existT_l;eq_exist2_l;eq_id_comm_l;eq_existT2_l;eq_ex_intro_l;eq_ex_intro2_l;eq_refl;eq_refl_map_distr
./invprel3.v;SimpleTypeIntersection;;;32;14;rewrite;eq_l0;0;eq_l0;PeanoNat.Nat.eq_mul_0;PeanoNat.Nat.eq_mul_0_r;PeanoNat.Nat.eq_mul_0_l;;;;;;
./invprel3.v;SimpleTypeIntersection;;;34;7;apply;D2;15;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C1;A4;A3
./invprel3.v;SimpleTypeIntersection;;;34;8;apply;D2;1;D;D2;D1;D_dec;DecidableClass.Decidable_not;Decidable.dec_not;Decidable.not_not;Decimal.decimal_eq_dec;Decimal.signed_int_eq_dec;Decimal.uint_eq_dec
./invprel3.v;SimpleTypeIntersection;;;34;9;apply;D2;0;D2;d2;D2B;d20;d12;Decimal.D2;NoDup_remove_2;Hexadecimal.D2;Nat.div2;Decidable.or_not_l_iff_2
./invprel3.v;SimpleTypeIntersection;;;36;14;apply;C2;18;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C1;C3;rngDDKKeyAB1
./invprel3.v;SimpleTypeIntersection;;;36;15;apply;C2;9;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./invprel3.v;SimpleTypeIntersection;;;36;16;apply;C2;0;C2;c2;Choice2;CompSpec2Type;CompareSpec2Type;CMorphisms.flip2;partition_cons2;CMorphisms.proper_sym_flip_2;CMorphisms.proper_sym_impl_iff_2;CMorphisms.proper_sym_arrow_iffT_2
./invprel3.v;SimpleTypeIntersection;;;36;26;apply;C3;8;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C1;C3;rngDDKKeyAB1
./invprel3.v;SimpleTypeIntersection;;;36;27;apply;C3;2;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./invprel3.v;SimpleTypeIntersection;;;36;28;apply;C3;0;C3;RelationClasses.predicate_equivalence_equivalence_obligation_3;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;38;apply;C4;17;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C1;C3;rngDDKKeyAB1
./invprel3.v;SimpleTypeIntersection;;;36;39;apply;C4;8;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./invprel3.v;SimpleTypeIntersection;;;36;40;apply;C4;0;C4;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;7;apply;AlreadyIn;13;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;known_in_sind;known_in_ind;rngs;C3;rngDDKKeyABminusKab1;C1
./invprel3.v;SimpleTypeIntersection;;;43;8;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;A4;A3;Add_app;ABSI;Add_head;A2B
./invprel3.v;SimpleTypeIntersection;;;43;9;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;all;Add_length;app_length;app_nil_l;rev_alt;and_cancel_l
./invprel3.v;SimpleTypeIntersection;;;43;10;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;app_nil_r;and_cancel_r;Bool.andb_false_r;PeanoNat.Nat.add_le_mono_r;PeanoNat.Nat.add_lt_mono_r;PeanoNat.Nat.lt_add_lt_sub_r
./invprel3.v;SimpleTypeIntersection;;;43;11;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./invprel3.v;SimpleTypeIntersection;;;43;12;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./invprel3.v;SimpleTypeIntersection;;;43;13;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;14;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;15;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;16;apply;AlreadyIn;0;AlreadyIn;AlreadyInb;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;24;apply;E0;31;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;known_in_sind;known_in_ind;rngs;C3;rngDDKKeyABminusKab1;C1
./invprel3.v;SimpleTypeIntersection;;;43;25;apply;E0;1;EP0;E0;EP1;E1;Encrypt;Exists_cons_tl;Exists_cons_hd;Exists_app;Exists_cons;Exists_dec_subproof0
./invprel3.v;SimpleTypeIntersection;;;43;26;apply;E0;0;E0;EP0;eq_l0;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.even_0;PeanoNat.Nat.eq_0_gt_0_cases;PeanoNat.Nat.lcm_eq_0;PeanoNat.Nat.gcd_eq_0;PeanoNat.Nat.eq_add_0;PeanoNat.Nat.mul_eq_0
./invprel3.v;SimpleTypeIntersection;;;43;34;apply;EP0;29;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;known_in_sind;known_in_ind;rngs;C3;rngDDKKeyABminusKab1;C1
./invprel3.v;SimpleTypeIntersection;;;43;35;apply;EP0;0;EP0;E0;EP1;E1;Encrypt;Exists_cons_tl;Exists_cons_hd;Exists_app;Exists_cons;Exists_dec_subproof0
./invprel3.v;SimpleTypeIntersection;;;43;36;apply;EP0;0;EP0;EP1;ex_proj1;ex_proj2;ex_proj3;ex_proj1_eq;ex_proj1_of_ex2_eq;ex_proj2_eq;ex_proj3_eq;ex_proj2_of_ex2_eq
./invprel3.v;SimpleTypeIntersection;;;43;37;apply;EP0;0;EP0;PeanoNat.Nat.eq_pred_0;Exists_dec_subproof0;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;14;apply;C2;18;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C1;C3;rngDDKKeyAB1
./invprel3.v;SimpleTypeIntersection;;;45;15;apply;C2;9;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./invprel3.v;SimpleTypeIntersection;;;45;16;apply;C2;0;C2;c2;Choice2;CompSpec2Type;CompareSpec2Type;CMorphisms.flip2;partition_cons2;CMorphisms.proper_sym_flip_2;CMorphisms.proper_sym_impl_iff_2;CMorphisms.proper_sym_arrow_iffT_2
./invprel3.v;SimpleTypeIntersection;;;45;26;apply;C3;8;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C1;C3;rngDDKKeyAB1
./invprel3.v;SimpleTypeIntersection;;;45;27;apply;C3;2;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./invprel3.v;SimpleTypeIntersection;;;45;28;apply;C3;0;C3;RelationClasses.predicate_equivalence_equivalence_obligation_3;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;38;apply;C4;17;eq_l0;know_Kab;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C1;C3;rngDDKKeyAB1
./invprel3.v;SimpleTypeIntersection;;;45;39;apply;C4;8;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./invprel3.v;SimpleTypeIntersection;;;45;40;apply;C4;0;C4;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;46;7;apply;D1;19;know_Kab;rngDDKKeyABminusKab1;not_comp_of_sind;not_comp_of_ind;rngDDKKeyAB1;C7;C1;eq_l0;known_in_sind;known_in_ind
./invprel3.v;SimpleTypeIntersection;;;46;8;apply;D1;2;D;D2;D1;D_dec;Decimal.decimal;Decimal.signed_int;Decimal.uint;DecidableClass.Decidable;Decidable.decidable;Decimal.Little.succ_double
./invprel3.v;SimpleTypeIntersection;;;46;9;apply;D1;0;D1;d1;d10;d11;d12;d13;d14;d15;d16;d17
