File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Tactics.v;SimpleTypeIntersection;;;36;9;apply;eq;0;eq;PeanoNat.Nat.Private_OrderTac.Tac.eq_refl;PeanoNat.Nat.Private_Tac.eq_refl;PeanoNat.Nat.Private_NZSqrt.sqrt_0;NatList.test_countoddmembers3;NatList.test_hd2;PeanoNat.Nat.sqrt_up_0;PeanoNat.Nat.sqrt_0;PeanoNat.Nat.eq_trans;PeanoNat.Nat.eq_sym
./Tactics.v;SimpleTypeIntersection;;;36;10;apply;eq;0;eq;eqb_refl;eq_add_S;eq_S;even_S;exp;eqb;even;eq_refl;eq_rect_r
./Tactics.v;SimpleTypeIntersection;;;36;11;apply;eq;0;eq;eq;eqb_refl;eq_add_S;eq_S;eqb;eq_refl;eq_rect_r;eq_rec_r;eq_ind_r
./Tactics.v;SimpleTypeIntersection;;;49;9;apply;eq2;0;eq2;test_flat_map1;test_map1;test_filter_even_gt7_2;test_filter_even_gt7_1;test_filter2';test_rev1;test_repeat1;Exercises.test_map1';fold_example3
./Tactics.v;SimpleTypeIntersection;;;49;10;apply;eq2;0;eq2;eq1;eqb_refl;eq_add_S;eq_S;even_S;exp;eqb;even;eq_refl
./Tactics.v;SimpleTypeIntersection;;;49;11;apply;eq2;1;eq;eq2;eq1;eqb_refl;eq_add_S;eq_S;eqb;eq_refl;eq_rect_r;eq_rec_r
./Tactics.v;SimpleTypeIntersection;;;49;12;apply;eq2;0;eq2;eq_ex2_uncurried_iff;eq_ex2_uncurried;eq_ex2_hprop_iff;eq_ex2_hprop;eq_ex2_eta;eq_ex2_nondep;eq_ex2_ind_uncurried;eq_ex2_rec_uncurried;eq_ex2_rect_uncurried
./Tactics.v;SimpleTypeIntersection;;;49;20;apply;eq1;0;eq1;eq2;PeanoNat.Nat.Private_OrderTac.Tac.eq_refl;PeanoNat.Nat.Private_Tac.eq_refl;PeanoNat.Nat.Private_NZSqrt.sqrt_0;NatList.test_countoddmembers3;NatList.test_hd2;PeanoNat.Nat.sqrt_up_0;PeanoNat.Nat.sqrt_0;PeanoNat.Nat.eq_trans
./Tactics.v;SimpleTypeIntersection;;;49;21;apply;eq1;0;eq1;eq2;eqb_refl;eq_add_S;eq_S;even_S;exp;eqb;even;eq_refl
./Tactics.v;SimpleTypeIntersection;;;49;22;apply;eq1;1;eq;eq1;eq2;eqb_refl;eq_add_S;eq_S;eqb;eq_refl;eq_rect_r;eq_rec_r
