File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./point_Simson.v;SimpleTypeIntersection;0;0;41.76191912508127;11398
./point_Simson.v;SplitTypeIntersection;0;0;42.60206023146365;11194
./point_Simson.v;StructuredTypeEvaluation;1;1;39.490415322346166;10364
./point_Simson.v;StructuredTypeEvaluation;1;2;53.26495285223053;10394
./point_Simson.v;StructuredTypeEvaluation;1;5;53.737355943120846;10292
./point_Simson.v;StructuredTypeEvaluation;2;1;52.4238558364443;10304
./point_Simson.v;StructuredTypeEvaluation;2;2;54.499383119606804;10266
./point_Simson.v;StructuredTypeEvaluation;2;5;51.30366244737722;10082
./point_Simson.v;StructuredTypeEvaluation;5;1;50.796988292994136;10126
./point_Simson.v;StructuredTypeEvaluation;5;2;50.59539380186029;10144
./point_Simson.v;StructuredTypeEvaluation;5;5;50.113134980292315;10270
./point_Simson.v;StructuredUnification;1;1;39.490415322346166;10334
./point_Simson.v;StructuredUnification;1;2;53.26495285223053;10300
./point_Simson.v;StructuredUnification;1;5;53.737355943120846;10209
./point_Simson.v;StructuredUnification;2;1;52.4238558364443;10251
./point_Simson.v;StructuredUnification;2;2;54.499383119606804;10342
./point_Simson.v;StructuredUnification;2;5;51.30366244737722;10239
./point_Simson.v;StructuredUnification;5;1;50.796988292994136;10394
./point_Simson.v;StructuredUnification;5;2;50.59539380186029;10359
./point_Simson.v;StructuredUnification;5;5;50.113134980292315;10414
./point_Simson.v;StructuredSplitUnification;1;1;39.490415322346166;10062
./point_Simson.v;StructuredSplitUnification;1;2;53.26495285223053;10605
./point_Simson.v;StructuredSplitUnification;1;5;53.737355943120846;10084
./point_Simson.v;StructuredSplitUnification;2;1;52.4238558364443;10430
./point_Simson.v;StructuredSplitUnification;2;2;54.499383119606804;10324
./point_Simson.v;StructuredSplitUnification;2;5;51.30366244737722;10360
./point_Simson.v;StructuredSplitUnification;5;1;50.796988292994136;10474
./point_Simson.v;StructuredSplitUnification;5;2;50.59539380186029;10431
./point_Simson.v;StructuredSplitUnification;5;5;50.113134980292315;10095
./point_Simson.v;StructuredTypeEvaluation;10;10;50.113134980292315;10184
./point_Simson.v;Basic;0;0;40.70523709911874;9803
./point_Simson.v;SimpleUnification;0;0;41.76191912508127;10477
./point_Simson.v;SimpleSplitUnification;0;0;41.76191912508127;10361
./point_Simson.v;SplitTypeUnification;0;0;42.60206023146365;11144
./point_Simson.v;SplitTypeSplitUnification;0;0;42.60206023146365;11115
./point_Simson.v;Shuffle;0;0;40.47922057412791;10313
