File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./abp_lem3.v;SimpleTypeIntersection;0;0;0;6132
./abp_lem3.v;SplitTypeIntersection;0;0;0;6798
./abp_lem3.v;StructuredTypeEvaluation;1;1;0;5660
./abp_lem3.v;StructuredTypeEvaluation;1;2;0;5969
./abp_lem3.v;StructuredTypeEvaluation;1;5;0;5554
./abp_lem3.v;StructuredTypeEvaluation;2;1;0;5509
./abp_lem3.v;StructuredTypeEvaluation;2;2;0;5655
./abp_lem3.v;StructuredTypeEvaluation;2;5;0;5721
./abp_lem3.v;StructuredTypeEvaluation;5;1;0;5883
./abp_lem3.v;StructuredTypeEvaluation;5;2;0;6120
./abp_lem3.v;StructuredTypeEvaluation;5;5;0;5997
./abp_lem3.v;StructuredUnification;1;1;0;5625
./abp_lem3.v;StructuredUnification;1;2;0;5693
./abp_lem3.v;StructuredUnification;1;5;0;5726
./abp_lem3.v;StructuredUnification;2;1;0;5681
./abp_lem3.v;StructuredUnification;2;2;0;5702
./abp_lem3.v;StructuredUnification;2;5;0;5537
./abp_lem3.v;StructuredUnification;5;1;0;5567
./abp_lem3.v;StructuredUnification;5;2;0;5735
./abp_lem3.v;StructuredUnification;5;5;0;5884
./abp_lem3.v;StructuredSplitUnification;1;1;0;5699
./abp_lem3.v;StructuredSplitUnification;1;2;0;5683
./abp_lem3.v;StructuredSplitUnification;1;5;0;5577
./abp_lem3.v;StructuredSplitUnification;2;1;0;5797
./abp_lem3.v;StructuredSplitUnification;2;2;0;5820
./abp_lem3.v;StructuredSplitUnification;2;5;0;5874
./abp_lem3.v;StructuredSplitUnification;5;1;0;5806
./abp_lem3.v;StructuredSplitUnification;5;2;0;5709
./abp_lem3.v;StructuredSplitUnification;5;5;0;5492
./abp_lem3.v;StructuredTypeEvaluation;10;10;0;5716
./abp_lem3.v;Basic;0;0;0;5281
./abp_lem3.v;SimpleUnification;0;0;0;5822
./abp_lem3.v;SimpleSplitUnification;0;0;0;6059
./abp_lem3.v;SplitTypeUnification;0;0;0;6640
./abp_lem3.v;SplitTypeSplitUnification;0;0;0;6582
./abp_lem3.v;Shuffle;0;0;0;5681
