File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./basis.v;SimpleTypeIntersection;0;0;NaN;35
./basis.v;SplitTypeIntersection;0;0;NaN;34
./basis.v;StructuredTypeEvaluation;1;1;NaN;26
./basis.v;StructuredTypeEvaluation;1;2;NaN;21
./basis.v;StructuredTypeEvaluation;1;5;NaN;27
./basis.v;StructuredTypeEvaluation;2;1;NaN;27
./basis.v;StructuredTypeEvaluation;2;2;NaN;34
./basis.v;StructuredTypeEvaluation;2;5;NaN;35
./basis.v;StructuredTypeEvaluation;5;1;NaN;35
./basis.v;StructuredTypeEvaluation;5;2;NaN;39
./basis.v;StructuredTypeEvaluation;5;5;NaN;28
./basis.v;StructuredUnification;1;1;NaN;25
./basis.v;StructuredUnification;1;2;NaN;26
./basis.v;StructuredUnification;1;5;NaN;26
./basis.v;StructuredUnification;2;1;NaN;26
./basis.v;StructuredUnification;2;2;NaN;28
./basis.v;StructuredUnification;2;5;NaN;34
./basis.v;StructuredUnification;5;1;NaN;47
./basis.v;StructuredUnification;5;2;NaN;59
./basis.v;StructuredUnification;5;5;NaN;39
./basis.v;StructuredSplitUnification;1;1;NaN;38
./basis.v;StructuredSplitUnification;1;2;NaN;34
./basis.v;StructuredSplitUnification;1;5;NaN;23
./basis.v;StructuredSplitUnification;2;1;NaN;22
./basis.v;StructuredSplitUnification;2;2;NaN;22
./basis.v;StructuredSplitUnification;2;5;NaN;26
./basis.v;StructuredSplitUnification;5;1;NaN;27
./basis.v;StructuredSplitUnification;5;2;NaN;26
./basis.v;StructuredSplitUnification;5;5;NaN;24
./basis.v;StructuredTypeEvaluation;10;10;NaN;28
./basis.v;Basic;0;0;NaN;30
./basis.v;SimpleUnification;0;0;NaN;25
./basis.v;SimpleSplitUnification;0;0;NaN;30
./basis.v;SplitTypeUnification;0;0;NaN;29
./basis.v;SplitTypeSplitUnification;0;0;NaN;29
./basis.v;Shuffle;0;0;NaN;26
