File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./part1.v;SimpleTypeIntersection;0;0;51.42323957171912;4595
./part1.v;SplitTypeIntersection;0;0;52.72743145917038;4816
./part1.v;StructuredTypeEvaluation;1;1;42.71821839197489;4664
./part1.v;StructuredTypeEvaluation;1;2;51.50457825782523;4585
./part1.v;StructuredTypeEvaluation;1;5;52.669200354344426;4543
./part1.v;StructuredTypeEvaluation;2;1;45.07489376662551;4377
./part1.v;StructuredTypeEvaluation;2;2;53.542666926733816;4538
./part1.v;StructuredTypeEvaluation;2;5;53.542666926733816;4671
./part1.v;StructuredTypeEvaluation;5;1;45.171945608002105;4498
./part1.v;StructuredTypeEvaluation;5;2;53.542666926733816;4380
./part1.v;StructuredTypeEvaluation;5;5;53.542666926733816;4281
./part1.v;StructuredUnification;1;1;42.71821839197489;4348
./part1.v;StructuredUnification;1;2;51.50457825782523;4411
./part1.v;StructuredUnification;1;5;52.669200354344426;4620
./part1.v;StructuredUnification;2;1;45.07489376662551;4451
./part1.v;StructuredUnification;2;2;53.542666926733816;4580
./part1.v;StructuredUnification;2;5;53.542666926733816;4426
./part1.v;StructuredUnification;5;1;45.171945608002105;4637
./part1.v;StructuredUnification;5;2;53.542666926733816;4473
./part1.v;StructuredUnification;5;5;53.542666926733816;4596
./part1.v;StructuredSplitUnification;1;1;42.71821839197489;4643
./part1.v;StructuredSplitUnification;1;2;51.50457825782523;4729
./part1.v;StructuredSplitUnification;1;5;52.669200354344426;4492
./part1.v;StructuredSplitUnification;2;1;45.07489376662551;4355
./part1.v;StructuredSplitUnification;2;2;53.542666926733816;4544
./part1.v;StructuredSplitUnification;2;5;53.542666926733816;4535
./part1.v;StructuredSplitUnification;5;1;45.171945608002105;4595
./part1.v;StructuredSplitUnification;5;2;53.542666926733816;4552
./part1.v;StructuredSplitUnification;5;5;53.542666926733816;4447
./part1.v;StructuredTypeEvaluation;10;10;53.542666926733816;4636
./part1.v;Basic;0;0;36.44515438626726;4284
./part1.v;SimpleUnification;0;0;51.42323957171912;4607
./part1.v;SimpleSplitUnification;0;0;51.42323957171912;4615
./part1.v;SplitTypeUnification;0;0;52.72743145917038;4849
./part1.v;SplitTypeSplitUnification;0;0;52.72743145917038;4841
./part1.v;Shuffle;0;0;30.253210800289988;4676
