File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./problems.v;SimpleTypeIntersection;0;0;39.718850010311506;4463
./problems.v;SplitTypeIntersection;0;0;41.58323511227359;4585
./problems.v;StructuredTypeEvaluation;1;1;32.32577869423171;4301
./problems.v;StructuredTypeEvaluation;1;2;37.54316120683666;4445
./problems.v;StructuredTypeEvaluation;1;5;43.85319885374601;4331
./problems.v;StructuredTypeEvaluation;2;1;34.32087328699831;4524
./problems.v;StructuredTypeEvaluation;2;2;44.843085702720344;4265
./problems.v;StructuredTypeEvaluation;2;5;43.72946299762421;4576
./problems.v;StructuredTypeEvaluation;5;1;35.60119568714741;4435
./problems.v;StructuredTypeEvaluation;5;2;43.72946299762421;4404
./problems.v;StructuredTypeEvaluation;5;5;43.68527162043786;4437
./problems.v;StructuredUnification;1;1;32.32577869423171;4462
./problems.v;StructuredUnification;1;2;37.54316120683666;4275
./problems.v;StructuredUnification;1;5;43.85319885374601;4518
./problems.v;StructuredUnification;2;1;34.32087328699831;4336
./problems.v;StructuredUnification;2;2;44.843085702720344;4270
./problems.v;StructuredUnification;2;5;43.72946299762421;4377
./problems.v;StructuredUnification;5;1;35.60119568714741;4556
./problems.v;StructuredUnification;5;2;43.72946299762421;4330
./problems.v;StructuredUnification;5;5;43.68527162043786;4424
./problems.v;StructuredSplitUnification;1;1;32.32577869423171;4308
./problems.v;StructuredSplitUnification;1;2;37.54316120683666;4264
./problems.v;StructuredSplitUnification;1;5;43.85319885374601;4211
./problems.v;StructuredSplitUnification;2;1;34.32087328699831;4328
./problems.v;StructuredSplitUnification;2;2;44.843085702720344;4371
./problems.v;StructuredSplitUnification;2;5;43.72946299762421;4465
./problems.v;StructuredSplitUnification;5;1;35.60119568714741;4558
./problems.v;StructuredSplitUnification;5;2;43.72946299762421;4342
./problems.v;StructuredSplitUnification;5;5;43.68527162043786;4275
./problems.v;StructuredTypeEvaluation;10;10;43.68527162043786;4475
./problems.v;Basic;0;0;26.528162995650757;4156
./problems.v;SimpleUnification;0;0;39.718850010311506;4479
./problems.v;SimpleSplitUnification;0;0;39.718850010311506;4356
./problems.v;SplitTypeUnification;0;0;41.58323511227359;4779
./problems.v;SplitTypeSplitUnification;0;0;41.58323511227359;4698
./problems.v;Shuffle;0;0;24.94937598589354;4376
