File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Ensembles.v;SimpleTypeIntersection;0;0;NaN;25
./Ensembles.v;SplitTypeIntersection;0;0;NaN;25
./Ensembles.v;StructuredTypeEvaluation;1;1;NaN;28
./Ensembles.v;StructuredTypeEvaluation;1;2;NaN;27
./Ensembles.v;StructuredTypeEvaluation;1;5;NaN;23
./Ensembles.v;StructuredTypeEvaluation;2;1;NaN;30
./Ensembles.v;StructuredTypeEvaluation;2;2;NaN;25
./Ensembles.v;StructuredTypeEvaluation;2;5;NaN;24
./Ensembles.v;StructuredTypeEvaluation;5;1;NaN;29
./Ensembles.v;StructuredTypeEvaluation;5;2;NaN;31
./Ensembles.v;StructuredTypeEvaluation;5;5;NaN;21
./Ensembles.v;StructuredUnification;1;1;NaN;27
./Ensembles.v;StructuredUnification;1;2;NaN;29
./Ensembles.v;StructuredUnification;1;5;NaN;42
./Ensembles.v;StructuredUnification;2;1;NaN;39
./Ensembles.v;StructuredUnification;2;2;NaN;23
./Ensembles.v;StructuredUnification;2;5;NaN;26
./Ensembles.v;StructuredUnification;5;1;NaN;24
./Ensembles.v;StructuredUnification;5;2;NaN;26
./Ensembles.v;StructuredUnification;5;5;NaN;35
./Ensembles.v;StructuredSplitUnification;1;1;NaN;37
./Ensembles.v;StructuredSplitUnification;1;2;NaN;27
./Ensembles.v;StructuredSplitUnification;1;5;NaN;28
./Ensembles.v;StructuredSplitUnification;2;1;NaN;31
./Ensembles.v;StructuredSplitUnification;2;2;NaN;38
./Ensembles.v;StructuredSplitUnification;2;5;NaN;28
./Ensembles.v;StructuredSplitUnification;5;1;NaN;27
./Ensembles.v;StructuredSplitUnification;5;2;NaN;31
./Ensembles.v;StructuredSplitUnification;5;5;NaN;23
./Ensembles.v;StructuredTypeEvaluation;10;10;NaN;22
./Ensembles.v;Basic;0;0;NaN;23
./Ensembles.v;SimpleUnification;0;0;NaN;23
./Ensembles.v;SimpleSplitUnification;0;0;NaN;27
./Ensembles.v;SplitTypeUnification;0;0;NaN;25
./Ensembles.v;SplitTypeSplitUnification;0;0;NaN;25
./Ensembles.v;Shuffle;0;0;NaN;31
