File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Fil.v;SimpleTypeIntersection;0;0;55.02968100166792;23756
./Fil.v;SplitTypeIntersection;0;0;47.13760521965874;24927
./Fil.v;StructuredTypeEvaluation;1;1;41.36106424651041;23767
./Fil.v;StructuredTypeEvaluation;1;2;44.486213941154105;23911
./Fil.v;StructuredTypeEvaluation;1;5;51.449098042533656;23881
./Fil.v;StructuredTypeEvaluation;2;1;44.018821183676046;24056
./Fil.v;StructuredTypeEvaluation;2;2;51.26463811379571;23860
./Fil.v;StructuredTypeEvaluation;2;5;53.25614528302525;23929
./Fil.v;StructuredTypeEvaluation;5;1;50.70635935838187;23244
./Fil.v;StructuredTypeEvaluation;5;2;54.29613374714639;23590
./Fil.v;StructuredTypeEvaluation;5;5;54.569257800460555;24071
./Fil.v;StructuredUnification;1;1;41.36106424651041;23995
./Fil.v;StructuredUnification;1;2;44.486213941154105;23705
./Fil.v;StructuredUnification;1;5;51.449098042533656;23862
./Fil.v;StructuredUnification;2;1;44.02151965703271;24004
./Fil.v;StructuredUnification;2;2;51.26463811379571;24147
./Fil.v;StructuredUnification;2;5;53.25614528302525;23025
./Fil.v;StructuredUnification;5;1;50.70635935838187;21894
./Fil.v;StructuredUnification;5;2;54.29613374714639;20811
./Fil.v;StructuredUnification;5;5;54.569257800460555;21774
./Fil.v;StructuredSplitUnification;1;1;41.36106424651041;21650
./Fil.v;StructuredSplitUnification;1;2;44.486213941154105;21458
./Fil.v;StructuredSplitUnification;1;5;51.449098042533656;21247
./Fil.v;StructuredSplitUnification;2;1;44.02151965703271;21602
./Fil.v;StructuredSplitUnification;2;2;51.26463811379571;21452
./Fil.v;StructuredSplitUnification;2;5;53.25614528302525;21630
./Fil.v;StructuredSplitUnification;5;1;50.70635935838187;21251
./Fil.v;StructuredSplitUnification;5;2;54.29613374714639;21702
./Fil.v;StructuredSplitUnification;5;5;54.569257800460555;20809
./Fil.v;StructuredTypeEvaluation;10;10;59.605422819441635;21510
./Fil.v;Basic;0;0;39.56185968520918;19617
./Fil.v;SimpleUnification;0;0;55.02968100166792;21931
./Fil.v;SimpleSplitUnification;0;0;55.02968100166792;21889
./Fil.v;SplitTypeUnification;0;0;47.13760521965874;22612
./Fil.v;SplitTypeSplitUnification;0;0;47.13760521965874;22780
./Fil.v;Shuffle;0;0;40.63407273795854;21366
