File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./DepMap.v;SimpleTypeIntersection;0;0;NaN;32
./DepMap.v;SplitTypeIntersection;0;0;NaN;22
./DepMap.v;StructuredTypeEvaluation;1;1;NaN;20
./DepMap.v;StructuredTypeEvaluation;1;2;NaN;23
./DepMap.v;StructuredTypeEvaluation;1;5;NaN;31
./DepMap.v;StructuredTypeEvaluation;2;1;NaN;33
./DepMap.v;StructuredTypeEvaluation;2;2;NaN;30
./DepMap.v;StructuredTypeEvaluation;2;5;NaN;27
./DepMap.v;StructuredTypeEvaluation;5;1;NaN;22
./DepMap.v;StructuredTypeEvaluation;5;2;NaN;27
./DepMap.v;StructuredTypeEvaluation;5;5;NaN;32
./DepMap.v;StructuredUnification;1;1;NaN;29
./DepMap.v;StructuredUnification;1;2;NaN;21
./DepMap.v;StructuredUnification;1;5;NaN;23
./DepMap.v;StructuredUnification;2;1;NaN;23
./DepMap.v;StructuredUnification;2;2;NaN;27
./DepMap.v;StructuredUnification;2;5;NaN;27
./DepMap.v;StructuredUnification;5;1;NaN;33
./DepMap.v;StructuredUnification;5;2;NaN;23
./DepMap.v;StructuredUnification;5;5;NaN;25
./DepMap.v;StructuredSplitUnification;1;1;NaN;33
./DepMap.v;StructuredSplitUnification;1;2;NaN;31
./DepMap.v;StructuredSplitUnification;1;5;NaN;31
./DepMap.v;StructuredSplitUnification;2;1;NaN;23
./DepMap.v;StructuredSplitUnification;2;2;NaN;25
./DepMap.v;StructuredSplitUnification;2;5;NaN;32
./DepMap.v;StructuredSplitUnification;5;1;NaN;29
./DepMap.v;StructuredSplitUnification;5;2;NaN;25
./DepMap.v;StructuredSplitUnification;5;5;NaN;25
./DepMap.v;StructuredTypeEvaluation;10;10;NaN;21
./DepMap.v;Basic;0;0;NaN;21
./DepMap.v;SimpleUnification;0;0;NaN;23
./DepMap.v;SimpleSplitUnification;0;0;NaN;33
./DepMap.v;SplitTypeUnification;0;0;NaN;25
./DepMap.v;SplitTypeSplitUnification;0;0;NaN;29
./DepMap.v;Shuffle;0;0;NaN;22
