File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Confluence.v;SimpleTypeIntersection;0;0;38.84634014052896;13034
./Confluence.v;SplitTypeIntersection;0;0;42.08916973894959;13563
./Confluence.v;StructuredTypeEvaluation;1;1;33.15218807100034;12836
./Confluence.v;StructuredTypeEvaluation;1;2;37.473112204046686;13051
./Confluence.v;StructuredTypeEvaluation;1;5;38.54286284535119;13145
./Confluence.v;StructuredTypeEvaluation;2;1;34.11418988920897;12837
./Confluence.v;StructuredTypeEvaluation;2;2;37.26373533773068;12730
./Confluence.v;StructuredTypeEvaluation;2;5;38.31368005924855;12491
./Confluence.v;StructuredTypeEvaluation;5;1;33.70213436851648;13147
./Confluence.v;StructuredTypeEvaluation;5;2;37.03455255162804;12988
./Confluence.v;StructuredTypeEvaluation;5;5;38.31368005924855;12885
./Confluence.v;StructuredUnification;1;1;33.15218807100034;12854
./Confluence.v;StructuredUnification;1;2;37.473112204046686;13064
./Confluence.v;StructuredUnification;1;5;38.54286284535119;12811
./Confluence.v;StructuredUnification;2;1;34.11418988920897;13076
./Confluence.v;StructuredUnification;2;2;37.26373533773068;12963
./Confluence.v;StructuredUnification;2;5;38.31368005924855;12900
./Confluence.v;StructuredUnification;5;1;33.70213436851648;12977
./Confluence.v;StructuredUnification;5;2;37.03455255162804;13078
./Confluence.v;StructuredUnification;5;5;38.31368005924855;12828
./Confluence.v;StructuredSplitUnification;1;1;29.01962227714946;13045
./Confluence.v;StructuredSplitUnification;1;2;33.340546410195806;12915
./Confluence.v;StructuredSplitUnification;1;5;34.41029705150032;13160
./Confluence.v;StructuredSplitUnification;2;1;29.981624095358093;13064
./Confluence.v;StructuredSplitUnification;2;2;33.131169543879814;12999
./Confluence.v;StructuredSplitUnification;2;5;34.181114265397675;13034
./Confluence.v;StructuredSplitUnification;5;1;29.56956857466561;13093
./Confluence.v;StructuredSplitUnification;5;2;32.901986757777166;12980
./Confluence.v;StructuredSplitUnification;5;5;34.181114265397675;12943
./Confluence.v;StructuredTypeEvaluation;10;10;38.31368005924855;12877
./Confluence.v;Basic;0;0;33.50671036061367;11340
./Confluence.v;SimpleUnification;0;0;38.84634014052896;13211
./Confluence.v;SimpleSplitUnification;0;0;36.243276397140896;12958
./Confluence.v;SplitTypeUnification;0;0;42.08916973894959;13572
./Confluence.v;SplitTypeSplitUnification;0;0;37.95660394509871;13527
./Confluence.v;Shuffle;0;0;23.918480863513288;12439
