File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Conversion.v;SimpleTypeIntersection;0;0;58.85592702812368;11084
./Conversion.v;SplitTypeIntersection;0;0;60.137362303907494;11445
./Conversion.v;StructuredTypeEvaluation;1;1;48.96751814999188;10968
./Conversion.v;StructuredTypeEvaluation;1;2;58.42878193619574;10978
./Conversion.v;StructuredTypeEvaluation;1;5;59.161030665215065;11084
./Conversion.v;StructuredTypeEvaluation;2;1;52.890133910863455;11247
./Conversion.v;StructuredTypeEvaluation;2;2;58.42878193619574;11044
./Conversion.v;StructuredTypeEvaluation;2;5;59.161030665215065;11040
./Conversion.v;StructuredTypeEvaluation;5;1;52.790466722746935;10994
./Conversion.v;StructuredTypeEvaluation;5;2;58.42878193619574;10991
./Conversion.v;StructuredTypeEvaluation;5;5;59.161030665215065;11122
./Conversion.v;StructuredUnification;1;1;46.9261205648196;11132
./Conversion.v;StructuredUnification;1;2;56.387384351023464;11153
./Conversion.v;StructuredUnification;1;5;57.11963308004279;11086
./Conversion.v;StructuredUnification;2;1;50.84873632569118;11008
./Conversion.v;StructuredUnification;2;2;56.387384351023464;10866
./Conversion.v;StructuredUnification;2;5;57.11963308004279;11188
./Conversion.v;StructuredUnification;5;1;50.749069137574665;10939
./Conversion.v;StructuredUnification;5;2;56.387384351023464;11128
./Conversion.v;StructuredUnification;5;5;57.11963308004279;11121
./Conversion.v;StructuredSplitUnification;1;1;46.9261205648196;11095
./Conversion.v;StructuredSplitUnification;1;2;56.387384351023464;10991
./Conversion.v;StructuredSplitUnification;1;5;57.11963308004279;11155
./Conversion.v;StructuredSplitUnification;2;1;50.84873632569118;11165
./Conversion.v;StructuredSplitUnification;2;2;56.387384351023464;11189
./Conversion.v;StructuredSplitUnification;2;5;57.11963308004279;11043
./Conversion.v;StructuredSplitUnification;5;1;50.749069137574665;11071
./Conversion.v;StructuredSplitUnification;5;2;56.387384351023464;11120
./Conversion.v;StructuredSplitUnification;5;5;57.11963308004279;11082
./Conversion.v;StructuredTypeEvaluation;10;10;59.161030665215065;10922
./Conversion.v;Basic;0;0;49.30465766897786;9659
./Conversion.v;SimpleUnification;0;0;55.533094167167576;11169
./Conversion.v;SimpleSplitUnification;0;0;55.533094167167576;11204
./Conversion.v;SplitTypeUnification;0;0;56.8145294429514;11424
./Conversion.v;SplitTypeSplitUnification;0;0;56.8145294429514;11489
./Conversion.v;Shuffle;0;0;36.676553731381915;10721
