File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Mini_ML.v;SimpleTypeIntersection;0;0;41.90580884215633;27428
./Mini_ML.v;SplitTypeIntersection;0;0;42.73430949627433;29692
./Mini_ML.v;StructuredTypeEvaluation;1;1;31.960907518867682;27265
./Mini_ML.v;StructuredTypeEvaluation;1;2;39.97185455447451;27065
./Mini_ML.v;StructuredTypeEvaluation;1;5;46.59434115319653;27008
./Mini_ML.v;StructuredTypeEvaluation;2;1;38.70291605361592;26575
./Mini_ML.v;StructuredTypeEvaluation;2;2;46.07818019923069;27114
./Mini_ML.v;StructuredTypeEvaluation;2;5;46.59007209338428;26974
./Mini_ML.v;StructuredTypeEvaluation;5;1;42.618028164741936;27123
./Mini_ML.v;StructuredTypeEvaluation;5;2;46.07391113941845;26697
./Mini_ML.v;StructuredTypeEvaluation;5;5;46.59007209338428;26713
./Mini_ML.v;StructuredUnification;1;1;31.960907518867682;27044
./Mini_ML.v;StructuredUnification;1;2;39.97185455447451;27075
./Mini_ML.v;StructuredUnification;1;5;46.59434115319653;27178
./Mini_ML.v;StructuredUnification;2;1;38.70291605361592;26952
./Mini_ML.v;StructuredUnification;2;2;46.08371416565397;26893
./Mini_ML.v;StructuredUnification;2;5;46.59007209338428;27023
./Mini_ML.v;StructuredUnification;5;1;42.618028164741936;27300
./Mini_ML.v;StructuredUnification;5;2;46.07818019923069;27161
./Mini_ML.v;StructuredUnification;5;5;46.59007209338428;26992
./Mini_ML.v;StructuredSplitUnification;1;1;32.07712081375661;26633
./Mini_ML.v;StructuredSplitUnification;1;2;39.92204885666497;27280
./Mini_ML.v;StructuredSplitUnification;1;5;46.54453545538699;26905
./Mini_ML.v;StructuredSplitUnification;2;1;38.81912934850485;27101
./Mini_ML.v;StructuredSplitUnification;2;2;46.033908467844434;27124
./Mini_ML.v;StructuredSplitUnification;2;5;46.540266395574754;27071
./Mini_ML.v;StructuredSplitUnification;5;1;42.734241459630866;27033
./Mini_ML.v;StructuredSplitUnification;5;2;46.02837450142116;26930
./Mini_ML.v;StructuredSplitUnification;5;5;46.540266395574754;27269
./Mini_ML.v;StructuredTypeEvaluation;10;10;46.59007209338428;26801
./Mini_ML.v;Basic;0;0;30.09946281647971;25938
./Mini_ML.v;SimpleUnification;0;0;41.90580884215633;28009
./Mini_ML.v;SimpleSplitUnification;0;0;41.8560031443468;28029
./Mini_ML.v;SplitTypeUnification;0;0;42.73430949627433;29647
./Mini_ML.v;SplitTypeSplitUnification;0;0;42.68450379846479;29991
./Mini_ML.v;Shuffle;0;0;30.409932946330244;27235
