File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./inv1rel1.v;SimpleTypeIntersection;0;0;48.38435374149661;6235
./inv1rel1.v;SplitTypeIntersection;0;0;49.14965986394558;6241
./inv1rel1.v;StructuredTypeEvaluation;1;1;26.30385487528345;5670
./inv1rel1.v;StructuredTypeEvaluation;1;2;29.931972789115648;5387
./inv1rel1.v;StructuredTypeEvaluation;1;5;41.95011337868482;5598
./inv1rel1.v;StructuredTypeEvaluation;2;1;27.66439909297052;5362
./inv1rel1.v;StructuredTypeEvaluation;2;2;41.09977324263039;5401
./inv1rel1.v;StructuredTypeEvaluation;2;5;41.09977324263039;5367
./inv1rel1.v;StructuredTypeEvaluation;5;1;34.013605442176875;5456
./inv1rel1.v;StructuredTypeEvaluation;5;2;41.09977324263039;5335
./inv1rel1.v;StructuredTypeEvaluation;5;5;41.09977324263039;5668
./inv1rel1.v;StructuredUnification;1;1;26.30385487528345;5435
./inv1rel1.v;StructuredUnification;1;2;29.931972789115648;5493
./inv1rel1.v;StructuredUnification;1;5;41.95011337868482;5254
./inv1rel1.v;StructuredUnification;2;1;27.66439909297052;5407
./inv1rel1.v;StructuredUnification;2;2;41.09977324263039;5524
./inv1rel1.v;StructuredUnification;2;5;41.09977324263039;5335
./inv1rel1.v;StructuredUnification;5;1;34.013605442176875;5605
./inv1rel1.v;StructuredUnification;5;2;41.09977324263039;5329
./inv1rel1.v;StructuredUnification;5;5;41.09977324263039;5283
./inv1rel1.v;StructuredSplitUnification;1;1;26.30385487528345;5308
./inv1rel1.v;StructuredSplitUnification;1;2;29.931972789115648;5359
./inv1rel1.v;StructuredSplitUnification;1;5;41.95011337868482;5557
./inv1rel1.v;StructuredSplitUnification;2;1;27.66439909297052;5493
./inv1rel1.v;StructuredSplitUnification;2;2;41.09977324263039;5491
./inv1rel1.v;StructuredSplitUnification;2;5;41.09977324263039;5365
./inv1rel1.v;StructuredSplitUnification;5;1;34.013605442176875;5458
./inv1rel1.v;StructuredSplitUnification;5;2;41.09977324263039;5431
./inv1rel1.v;StructuredSplitUnification;5;5;41.09977324263039;5254
./inv1rel1.v;StructuredTypeEvaluation;10;10;41.09977324263039;5343
./inv1rel1.v;Basic;0;0;29.648526077097507;4869
./inv1rel1.v;SimpleUnification;0;0;48.38435374149661;5948
./inv1rel1.v;SimpleSplitUnification;0;0;48.38435374149661;5889
./inv1rel1.v;SplitTypeUnification;0;0;49.14965986394558;6115
./inv1rel1.v;SplitTypeSplitUnification;0;0;49.14965986394558;6237
./inv1rel1.v;Shuffle;0;0;26.68178382464097;5188
