File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./invp.v;SimpleTypeIntersection;0;0;NaN;27
./invp.v;SplitTypeIntersection;0;0;NaN;25
./invp.v;StructuredTypeEvaluation;1;1;NaN;30
./invp.v;StructuredTypeEvaluation;1;2;NaN;23
./invp.v;StructuredTypeEvaluation;1;5;NaN;25
./invp.v;StructuredTypeEvaluation;2;1;NaN;22
./invp.v;StructuredTypeEvaluation;2;2;NaN;21
./invp.v;StructuredTypeEvaluation;2;5;NaN;29
./invp.v;StructuredTypeEvaluation;5;1;NaN;23
./invp.v;StructuredTypeEvaluation;5;2;NaN;32
./invp.v;StructuredTypeEvaluation;5;5;NaN;38
./invp.v;StructuredUnification;1;1;NaN;24
./invp.v;StructuredUnification;1;2;NaN;23
./invp.v;StructuredUnification;1;5;NaN;23
./invp.v;StructuredUnification;2;1;NaN;23
./invp.v;StructuredUnification;2;2;NaN;23
./invp.v;StructuredUnification;2;5;NaN;23
./invp.v;StructuredUnification;5;1;NaN;29
./invp.v;StructuredUnification;5;2;NaN;29
./invp.v;StructuredUnification;5;5;NaN;33
./invp.v;StructuredSplitUnification;1;1;NaN;28
./invp.v;StructuredSplitUnification;1;2;NaN;32
./invp.v;StructuredSplitUnification;1;5;NaN;36
./invp.v;StructuredSplitUnification;2;1;NaN;34
./invp.v;StructuredSplitUnification;2;2;NaN;40
./invp.v;StructuredSplitUnification;2;5;NaN;26
./invp.v;StructuredSplitUnification;5;1;NaN;23
./invp.v;StructuredSplitUnification;5;2;NaN;28
./invp.v;StructuredSplitUnification;5;5;NaN;27
./invp.v;StructuredTypeEvaluation;10;10;NaN;25
./invp.v;Basic;0;0;NaN;23
./invp.v;SimpleUnification;0;0;NaN;26
./invp.v;SimpleSplitUnification;0;0;NaN;35
./invp.v;SplitTypeUnification;0;0;NaN;35
./invp.v;SplitTypeSplitUnification;0;0;NaN;37
./invp.v;Shuffle;0;0;NaN;29
