File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Ramsey.v;SimpleTypeIntersection;0;0;57.30463829883101;5590
./Ramsey.v;SplitTypeIntersection;0;0;58.55155387383761;5264
./Ramsey.v;StructuredTypeEvaluation;1;1;37.87879321304561;4876
./Ramsey.v;StructuredTypeEvaluation;1;2;48.3684100112837;5041
./Ramsey.v;StructuredTypeEvaluation;1;5;53.14825304880901;5076
./Ramsey.v;StructuredTypeEvaluation;2;1;48.3684100112837;5217
./Ramsey.v;StructuredTypeEvaluation;2;2;53.14825304880901;4821
./Ramsey.v;StructuredTypeEvaluation;2;5;53.14825304880901;4939
./Ramsey.v;StructuredTypeEvaluation;5;1;51.07006042379801;4777
./Ramsey.v;StructuredTypeEvaluation;5;2;53.14825304880901;4826
./Ramsey.v;StructuredTypeEvaluation;5;5;53.14825304880901;4732
./Ramsey.v;StructuredUnification;1;1;37.87879321304561;5055
./Ramsey.v;StructuredUnification;1;2;48.3684100112837;4996
./Ramsey.v;StructuredUnification;1;5;53.14825304880901;4772
./Ramsey.v;StructuredUnification;2;1;48.3684100112837;4964
./Ramsey.v;StructuredUnification;2;2;53.14825304880901;4774
./Ramsey.v;StructuredUnification;2;5;53.14825304880901;4751
./Ramsey.v;StructuredUnification;5;1;51.07006042379801;4878
./Ramsey.v;StructuredUnification;5;2;53.14825304880901;4805
./Ramsey.v;StructuredUnification;5;5;53.14825304880901;5016
./Ramsey.v;StructuredSplitUnification;1;1;36.742714578039596;4780
./Ramsey.v;StructuredSplitUnification;1;2;47.232331376277685;5109
./Ramsey.v;StructuredSplitUnification;1;5;52.012174413803;5279
./Ramsey.v;StructuredSplitUnification;2;1;47.232331376277685;5039
./Ramsey.v;StructuredSplitUnification;2;2;52.012174413803;4926
./Ramsey.v;StructuredSplitUnification;2;5;52.012174413803;5004
./Ramsey.v;StructuredSplitUnification;5;1;49.933981788791996;5034
./Ramsey.v;StructuredSplitUnification;5;2;52.012174413803;5023
./Ramsey.v;StructuredSplitUnification;5;5;52.012174413803;5053
./Ramsey.v;StructuredTypeEvaluation;10;10;53.14825304880901;5125
./Ramsey.v;Basic;0;0;35.70361826553409;4547
./Ramsey.v;SimpleUnification;0;0;57.30463829883101;5026
./Ramsey.v;SimpleSplitUnification;0;0;56.168559663825;5192
./Ramsey.v;SplitTypeUnification;0;0;58.55155387383761;5325
./Ramsey.v;SplitTypeSplitUnification;0;0;57.415475238831604;5267
./Ramsey.v;Shuffle;0;0;37.609936663446966;4919
