File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./sigma_lift.v;SimpleTypeIntersection;0;0;21.937666383790006;2659
./sigma_lift.v;SplitTypeIntersection;0;0;21.937666383790006;2545
./sigma_lift.v;StructuredTypeEvaluation;1;1;33.59226235454133;2564
./sigma_lift.v;StructuredTypeEvaluation;1;2;31.981027888538847;2247
./sigma_lift.v;StructuredTypeEvaluation;1;5;30.906871577870522;2279
./sigma_lift.v;StructuredTypeEvaluation;2;1;32.30327478173935;2189
./sigma_lift.v;StructuredTypeEvaluation;2;2;31.981027888538847;2233
./sigma_lift.v;StructuredTypeEvaluation;2;5;30.906871577870522;2241
./sigma_lift.v;StructuredTypeEvaluation;5;1;31.981027888538847;2233
./sigma_lift.v;StructuredTypeEvaluation;5;2;31.981027888538847;2310
./sigma_lift.v;StructuredTypeEvaluation;5;5;30.906871577870522;2307
./sigma_lift.v;StructuredUnification;1;1;33.59226235454133;2280
./sigma_lift.v;StructuredUnification;1;2;31.981027888538847;2219
./sigma_lift.v;StructuredUnification;1;5;30.906871577870522;2434
./sigma_lift.v;StructuredUnification;2;1;32.30327478173935;2254
./sigma_lift.v;StructuredUnification;2;2;31.981027888538847;2356
./sigma_lift.v;StructuredUnification;2;5;30.906871577870522;2268
./sigma_lift.v;StructuredUnification;5;1;31.981027888538847;2259
./sigma_lift.v;StructuredUnification;5;2;31.981027888538847;2297
./sigma_lift.v;StructuredUnification;5;5;30.906871577870522;2236
./sigma_lift.v;StructuredSplitUnification;1;1;33.59226235454133;2250
./sigma_lift.v;StructuredSplitUnification;1;2;31.981027888538847;2211
./sigma_lift.v;StructuredSplitUnification;1;5;30.906871577870522;2236
./sigma_lift.v;StructuredSplitUnification;2;1;32.30327478173935;2240
./sigma_lift.v;StructuredSplitUnification;2;2;31.981027888538847;2255
./sigma_lift.v;StructuredSplitUnification;2;5;30.906871577870522;2393
./sigma_lift.v;StructuredSplitUnification;5;1;31.981027888538847;2215
./sigma_lift.v;StructuredSplitUnification;5;2;31.981027888538847;2329
./sigma_lift.v;StructuredSplitUnification;5;5;30.906871577870522;2414
./sigma_lift.v;StructuredTypeEvaluation;10;10;30.906871577870522;2377
./sigma_lift.v;Basic;0;0;20.483079713093318;2320
./sigma_lift.v;SimpleUnification;0;0;21.937666383790006;2356
./sigma_lift.v;SimpleSplitUnification;0;0;21.937666383790006;2310
./sigma_lift.v;SplitTypeUnification;0;0;21.937666383790006;2416
./sigma_lift.v;SplitTypeSplitUnification;0;0;21.937666383790006;2505
./sigma_lift.v;Shuffle;0;0;26.09951058462468;2270
