File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./ballot.v;SimpleTypeIntersection;0;0;49.35459583475183;253477
./ballot.v;SplitTypeIntersection;0;0;49.664838619820344;265724
./ballot.v;StructuredTypeEvaluation;1;1;28.963687168185803;239132
./ballot.v;StructuredTypeEvaluation;1;2;34.93289834475702;239058
./ballot.v;StructuredTypeEvaluation;1;5;42.9608074043712;238838
./ballot.v;StructuredTypeEvaluation;2;1;34.9477900982577;238253
./ballot.v;StructuredTypeEvaluation;2;2;41.499215917632675;239483
./ballot.v;StructuredTypeEvaluation;2;5;45.161708866277564;237909
./ballot.v;StructuredTypeEvaluation;5;1;41.18866200274447;234092
./ballot.v;StructuredTypeEvaluation;5;2;45.407421574275645;233935
./ballot.v;StructuredTypeEvaluation;5;5;46.96130554625576;236258
./ballot.v;StructuredUnification;1;1;29.11723641393381;236845
./ballot.v;StructuredUnification;1;2;34.88171526284101;238092
./ballot.v;StructuredUnification;1;5;42.9096243224552;235355
./ballot.v;StructuredUnification;2;1;34.175214732158345;233786
./ballot.v;StructuredUnification;2;2;41.448032835716674;236181
./ballot.v;StructuredUnification;2;5;45.110525784361556;232308
./ballot.v;StructuredUnification;5;1;41.137478920828464;234130
./ballot.v;StructuredUnification;5;2;45.356238492359644;234497
./ballot.v;StructuredUnification;5;5;46.913534669800825;240871
./ballot.v;StructuredSplitUnification;1;1;28.73464371275316;233622
./ballot.v;StructuredSplitUnification;1;2;34.886924542014484;233514
./ballot.v;StructuredSplitUnification;1;5;43.33775990733027;233852
./ballot.v;StructuredSplitUnification;2;1;34.13114566388956;234532
./ballot.v;StructuredSplitUnification;2;2;41.90109274030229;236352
./ballot.v;StructuredSplitUnification;2;5;45.327883568568936;233039
./ballot.v;StructuredSplitUnification;5;1;41.42200170254406;234028
./ballot.v;StructuredSplitUnification;5;2;45.58984560113717;235240
./ballot.v;StructuredSplitUnification;5;5;46.83095348197045;235640
./ballot.v;StructuredTypeEvaluation;10;10;46.489968571820064;240724
./ballot.v;Basic;0;0;34.60619847859704;210739
./ballot.v;SimpleUnification;0;0;49.303412752835825;253295
./ballot.v;SimpleSplitUnification;0;0;48.06563150613523;253785
./ballot.v;SplitTypeUnification;0;0;49.61365553790434;273980
./ballot.v;SplitTypeSplitUnification;0;0;48.39655162296956;275663
./ballot.v;Shuffle;0;0;30.226312426668976;241802
