File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./BasicsTest.v;SimpleTypeIntersection;0;0;NaN;24
./BasicsTest.v;SplitTypeIntersection;0;0;NaN;23
./BasicsTest.v;StructuredTypeEvaluation;1;1;NaN;30
./BasicsTest.v;StructuredTypeEvaluation;1;2;NaN;24
./BasicsTest.v;StructuredTypeEvaluation;1;5;NaN;24
./BasicsTest.v;StructuredTypeEvaluation;2;1;NaN;23
./BasicsTest.v;StructuredTypeEvaluation;2;2;NaN;26
./BasicsTest.v;StructuredTypeEvaluation;2;5;NaN;25
./BasicsTest.v;StructuredTypeEvaluation;5;1;NaN;26
./BasicsTest.v;StructuredTypeEvaluation;5;2;NaN;24
./BasicsTest.v;StructuredTypeEvaluation;5;5;NaN;24
./BasicsTest.v;StructuredUnification;1;1;NaN;25
./BasicsTest.v;StructuredUnification;1;2;NaN;22
./BasicsTest.v;StructuredUnification;1;5;NaN;21
./BasicsTest.v;StructuredUnification;2;1;NaN;26
./BasicsTest.v;StructuredUnification;2;2;NaN;30
./BasicsTest.v;StructuredUnification;2;5;NaN;24
./BasicsTest.v;StructuredUnification;5;1;NaN;23
./BasicsTest.v;StructuredUnification;5;2;NaN;23
./BasicsTest.v;StructuredUnification;5;5;NaN;24
./BasicsTest.v;StructuredSplitUnification;1;1;NaN;22
./BasicsTest.v;StructuredSplitUnification;1;2;NaN;24
./BasicsTest.v;StructuredSplitUnification;1;5;NaN;39
./BasicsTest.v;StructuredSplitUnification;2;1;NaN;27
./BasicsTest.v;StructuredSplitUnification;2;2;NaN;26
./BasicsTest.v;StructuredSplitUnification;2;5;NaN;36
./BasicsTest.v;StructuredSplitUnification;5;1;NaN;22
./BasicsTest.v;StructuredSplitUnification;5;2;NaN;21
./BasicsTest.v;StructuredSplitUnification;5;5;NaN;23
./BasicsTest.v;StructuredTypeEvaluation;10;10;NaN;22
./BasicsTest.v;Basic;0;0;NaN;22
./BasicsTest.v;SimpleUnification;0;0;NaN;23
./BasicsTest.v;SimpleSplitUnification;0;0;NaN;25
./BasicsTest.v;SplitTypeUnification;0;0;NaN;26
./BasicsTest.v;SplitTypeSplitUnification;0;0;NaN;26
./BasicsTest.v;Shuffle;0;0;NaN;25
