File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Maps.v;SimpleTypeIntersection;0;0;53.813484543241294;28053
./Maps.v;SplitTypeIntersection;0;0;71.27535376026525;29892
./Maps.v;StructuredTypeEvaluation;1;1;54.932989333137726;27780
./Maps.v;StructuredTypeEvaluation;1;2;65.68513296682984;27480
./Maps.v;StructuredTypeEvaluation;1;5;77.45516031536944;26965
./Maps.v;StructuredTypeEvaluation;2;1;69.12335963503975;27380
./Maps.v;StructuredTypeEvaluation;2;2;77.82502973441326;27213
./Maps.v;StructuredTypeEvaluation;2;5;77.35678267607737;26996
./Maps.v;StructuredTypeEvaluation;5;1;72.59233072664166;27212
./Maps.v;StructuredTypeEvaluation;5;2;76.99644597401921;26915
./Maps.v;StructuredTypeEvaluation;5;5;76.76689814900438;27386
./Maps.v;StructuredUnification;1;1;57.81568294960302;27373
./Maps.v;StructuredUnification;1;2;63.76333722251965;27277
./Maps.v;StructuredUnification;1;5;75.53336457105924;27694
./Maps.v;StructuredUnification;2;1;70.56470644327241;27935
./Maps.v;StructuredUnification;2;2;75.90323399010306;27440
./Maps.v;StructuredUnification;2;5;75.43498693176717;27847
./Maps.v;StructuredUnification;5;1;74.03367753487431;27021
./Maps.v;StructuredUnification;5;2;75.07465022970901;27505
./Maps.v;StructuredUnification;5;5;74.84510240469417;27069
./Maps.v;StructuredSplitUnification;1;1;57.81568294960302;27026
./Maps.v;StructuredSplitUnification;1;2;63.76333722251965;27686
./Maps.v;StructuredSplitUnification;1;5;75.53336457105924;26783
./Maps.v;StructuredSplitUnification;2;1;70.56470644327241;26563
./Maps.v;StructuredSplitUnification;2;2;75.90323399010306;26764
./Maps.v;StructuredSplitUnification;2;5;75.43498693176717;26803
./Maps.v;StructuredSplitUnification;5;1;74.03367753487431;26677
./Maps.v;StructuredSplitUnification;5;2;75.07465022970901;27286
./Maps.v;StructuredSplitUnification;5;5;74.84510240469417;27305
./Maps.v;StructuredTypeEvaluation;10;10;76.02673347086646;26282
./Maps.v;Basic;0;0;29.88984722569831;23111
./Maps.v;SimpleUnification;0;0;51.89168879893111;27295
./Maps.v;SimpleSplitUnification;0;0;51.89168879893111;27588
./Maps.v;SplitTypeUnification;0;0;69.35355801595504;29226
./Maps.v;SplitTypeSplitUnification;0;0;69.35355801595504;29015
./Maps.v;Shuffle;0;0;35.912350106766326;25239
