File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./PostscriptTest.v;SimpleTypeIntersection;0;0;NaN;25
./PostscriptTest.v;SplitTypeIntersection;0;0;NaN;21
./PostscriptTest.v;StructuredTypeEvaluation;1;1;NaN;27
./PostscriptTest.v;StructuredTypeEvaluation;1;2;NaN;23
./PostscriptTest.v;StructuredTypeEvaluation;1;5;NaN;25
./PostscriptTest.v;StructuredTypeEvaluation;2;1;NaN;25
./PostscriptTest.v;StructuredTypeEvaluation;2;2;NaN;24
./PostscriptTest.v;StructuredTypeEvaluation;2;5;NaN;23
./PostscriptTest.v;StructuredTypeEvaluation;5;1;NaN;23
./PostscriptTest.v;StructuredTypeEvaluation;5;2;NaN;22
./PostscriptTest.v;StructuredTypeEvaluation;5;5;NaN;21
./PostscriptTest.v;StructuredUnification;1;1;NaN;23
./PostscriptTest.v;StructuredUnification;1;2;NaN;19
./PostscriptTest.v;StructuredUnification;1;5;NaN;20
./PostscriptTest.v;StructuredUnification;2;1;NaN;19
./PostscriptTest.v;StructuredUnification;2;2;NaN;19
./PostscriptTest.v;StructuredUnification;2;5;NaN;20
./PostscriptTest.v;StructuredUnification;5;1;NaN;21
./PostscriptTest.v;StructuredUnification;5;2;NaN;26
./PostscriptTest.v;StructuredUnification;5;5;NaN;23
./PostscriptTest.v;StructuredSplitUnification;1;1;NaN;25
./PostscriptTest.v;StructuredSplitUnification;1;2;NaN;25
./PostscriptTest.v;StructuredSplitUnification;1;5;NaN;25
./PostscriptTest.v;StructuredSplitUnification;2;1;NaN;25
./PostscriptTest.v;StructuredSplitUnification;2;2;NaN;24
./PostscriptTest.v;StructuredSplitUnification;2;5;NaN;25
./PostscriptTest.v;StructuredSplitUnification;5;1;NaN;25
./PostscriptTest.v;StructuredSplitUnification;5;2;NaN;27
./PostscriptTest.v;StructuredSplitUnification;5;5;NaN;23
./PostscriptTest.v;StructuredTypeEvaluation;10;10;NaN;22
./PostscriptTest.v;Basic;0;0;NaN;21
./PostscriptTest.v;SimpleUnification;0;0;NaN;24
./PostscriptTest.v;SimpleSplitUnification;0;0;NaN;21
./PostscriptTest.v;SplitTypeUnification;0;0;NaN;21
./PostscriptTest.v;SplitTypeSplitUnification;0;0;NaN;22
./PostscriptTest.v;Shuffle;0;0;NaN;19
