File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./ProofObjects.v;SimpleTypeIntersection;0;0;52.78027399253746;56656
./ProofObjects.v;SplitTypeIntersection;0;0;53.69538897046906;58499
./ProofObjects.v;StructuredTypeEvaluation;1;1;53.49720666511939;57573
./ProofObjects.v;StructuredTypeEvaluation;1;2;56.80525551584156;57943
./ProofObjects.v;StructuredTypeEvaluation;1;5;54.98897096392346;57272
./ProofObjects.v;StructuredTypeEvaluation;2;1;56.47036885949754;57926
./ProofObjects.v;StructuredTypeEvaluation;2;2;55.50911561239017;57643
./ProofObjects.v;StructuredTypeEvaluation;2;5;54.73697752327398;57610
./ProofObjects.v;StructuredTypeEvaluation;5;1;55.45991666266076;58145
./ProofObjects.v;StructuredTypeEvaluation;5;2;54.818250124596915;58399
./ProofObjects.v;StructuredTypeEvaluation;5;5;54.63795677575442;57514
./ProofObjects.v;StructuredUnification;1;1;47.94989062478028;60275
./ProofObjects.v;StructuredUnification;1;2;50.03957610388468;59761
./ProofObjects.v;StructuredUnification;1;5;48.22329155196656;60301
./ProofObjects.v;StructuredUnification;2;1;50.92377846738453;60182
./ProofObjects.v;StructuredUnification;2;2;48.74343620043328;60609
./ProofObjects.v;StructuredUnification;2;5;47.97129811131709;60134
./ProofObjects.v;StructuredUnification;5;1;49.91332627054774;59438
./ProofObjects.v;StructuredUnification;5;2;48.05257071264002;59754
./ProofObjects.v;StructuredUnification;5;5;47.66024295213184;58795
./ProofObjects.v;StructuredSplitUnification;1;1;47.40130056585054;60164
./ProofObjects.v;StructuredSplitUnification;1;2;49.49098604495494;59127
./ProofObjects.v;StructuredSplitUnification;1;5;47.67470149303682;59291
./ProofObjects.v;StructuredSplitUnification;2;1;50.37518840845478;59861
./ProofObjects.v;StructuredSplitUnification;2;2;48.19484614150353;59322
./ProofObjects.v;StructuredSplitUnification;2;5;47.42270805238735;59578
./ProofObjects.v;StructuredSplitUnification;5;1;49.364736211618;60164
./ProofObjects.v;StructuredSplitUnification;5;2;47.50398065371028;59795
./ProofObjects.v;StructuredSplitUnification;5;5;47.11165289320209;59473
./ProofObjects.v;StructuredTypeEvaluation;10;10;54.513000151220425;56920
./ProofObjects.v;Basic;0;0;41.355370286764916;50621
./ProofObjects.v;SimpleUnification;0;0;46.01459458058057;58512
./ProofObjects.v;SimpleSplitUnification;0;0;42.45372988788601;58814
./ProofObjects.v;SplitTypeUnification;0;0;46.92970955851218;59081
./ProofObjects.v;SplitTypeSplitUnification;0;0;43.54399820639191;60098
./ProofObjects.v;Shuffle;0;0;23.629847494786098;54696
