File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./ProofObjectsTest.v;SimpleTypeIntersection;0;0;NaN;28
./ProofObjectsTest.v;SplitTypeIntersection;0;0;NaN;24
./ProofObjectsTest.v;StructuredTypeEvaluation;1;1;NaN;24
./ProofObjectsTest.v;StructuredTypeEvaluation;1;2;NaN;23
./ProofObjectsTest.v;StructuredTypeEvaluation;1;5;NaN;21
./ProofObjectsTest.v;StructuredTypeEvaluation;2;1;NaN;29
./ProofObjectsTest.v;StructuredTypeEvaluation;2;2;NaN;35
./ProofObjectsTest.v;StructuredTypeEvaluation;2;5;NaN;26
./ProofObjectsTest.v;StructuredTypeEvaluation;5;1;NaN;24
./ProofObjectsTest.v;StructuredTypeEvaluation;5;2;NaN;25
./ProofObjectsTest.v;StructuredTypeEvaluation;5;5;NaN;29
./ProofObjectsTest.v;StructuredUnification;1;1;NaN;27
./ProofObjectsTest.v;StructuredUnification;1;2;NaN;29
./ProofObjectsTest.v;StructuredUnification;1;5;NaN;38
./ProofObjectsTest.v;StructuredUnification;2;1;NaN;28
./ProofObjectsTest.v;StructuredUnification;2;2;NaN;24
./ProofObjectsTest.v;StructuredUnification;2;5;NaN;27
./ProofObjectsTest.v;StructuredUnification;5;1;NaN;28
./ProofObjectsTest.v;StructuredUnification;5;2;NaN;36
./ProofObjectsTest.v;StructuredUnification;5;5;NaN;26
./ProofObjectsTest.v;StructuredSplitUnification;1;1;NaN;26
./ProofObjectsTest.v;StructuredSplitUnification;1;2;NaN;26
./ProofObjectsTest.v;StructuredSplitUnification;1;5;NaN;27
./ProofObjectsTest.v;StructuredSplitUnification;2;1;NaN;30
./ProofObjectsTest.v;StructuredSplitUnification;2;2;NaN;23
./ProofObjectsTest.v;StructuredSplitUnification;2;5;NaN;24
./ProofObjectsTest.v;StructuredSplitUnification;5;1;NaN;21
./ProofObjectsTest.v;StructuredSplitUnification;5;2;NaN;22
./ProofObjectsTest.v;StructuredSplitUnification;5;5;NaN;30
./ProofObjectsTest.v;StructuredTypeEvaluation;10;10;NaN;28
./ProofObjectsTest.v;Basic;0;0;NaN;28
./ProofObjectsTest.v;SimpleUnification;0;0;NaN;28
./ProofObjectsTest.v;SimpleSplitUnification;0;0;NaN;22
./ProofObjectsTest.v;SplitTypeUnification;0;0;NaN;24
./ProofObjectsTest.v;SplitTypeSplitUnification;0;0;NaN;28
./ProofObjectsTest.v;Shuffle;0;0;NaN;36
