File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Relations_3_facts.v;SimpleTypeIntersection;;;40;42;apply;h;-1;H'3;x;a;x0;y;z;b;R;H';ex_proj1
./Relations_3_facts.v;SimpleTypeIntersection;;;40;43;apply;h;-1;H'3;H';H'2;H'4;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ
./Relations_3_facts.v;SimpleTypeIntersection;;;41;55;apply;h0;-1;H'3;x;a;x0;y;z;b;R;H';ex_proj1
./Relations_3_facts.v;SimpleTypeIntersection;;;41;56;apply;h0;-1;H'3;H';H'2;H'4;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ
./Relations_3_facts.v;SimpleTypeIntersection;;;41;57;apply;h0;-1;Hexadecimal.D0;;;;;;;;;
./Relations_3_facts.v;SimpleTypeIntersection;;;42;55;apply;h1;-1;H'3;x;a;x0;y;z;b;R;H';ex_proj1
./Relations_3_facts.v;SimpleTypeIntersection;;;42;56;apply;h1;-1;H'3;H';H'2;H'4;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ
./Relations_3_facts.v;SimpleTypeIntersection;;;42;57;apply;h1;-1;Hexadecimal.D1;;;;;;;;;
./Relations_3_facts.v;SimpleTypeIntersection;;;48;38;apply;h;-1;H'5;H'3;H'0;x;a;x0;y;z;b;z0
./Relations_3_facts.v;SimpleTypeIntersection;;;48;39;apply;h;-1;H'5;H'3;H'0;H';H'2;H'4;H'6;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint
./Relations_3_facts.v;SimpleTypeIntersection;;;52;7;apply;Rstar_n;30;H'4;H'8;H'9;H'2;H'6;H'3;H'0;H';H'7;H'5
./Relations_3_facts.v;SimpleTypeIntersection;;;52;8;apply;Rstar_n;9;R;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rsym_imp_Rstarsym;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n
./Relations_3_facts.v;SimpleTypeIntersection;;;52;9;apply;Rstar_n;8;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rsym_imp_Rstarsym;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases
./Relations_3_facts.v;SimpleTypeIntersection;;;52;10;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;52;11;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;52;12;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;52;13;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;52;14;apply;Rstar_n;0;Rstar_n;Rstar_ind;Rstar_contains_R;Rstar_contains_Rplus;Rstar_sind;Rstar_transitive;Rstar_imp_coherent;;;
./Relations_3_facts.v;SimpleTypeIntersection;;;66;37;apply;h;-1;H'3;x;a;x0;y;z;b;t;R;H'
./Relations_3_facts.v;SimpleTypeIntersection;;;66;38;apply;h;-1;H'3;H';H'2;H'4;H'0;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double
./Relations_3_facts.v;SimpleTypeIntersection;;;70;7;apply;Rstar_n;28;H'4;H'6;H'7;H'2;H'0;H'3;H';H'5;x;a
./Relations_3_facts.v;SimpleTypeIntersection;;;70;8;apply;Rstar_n;9;R;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rsym_imp_Rstarsym;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n
./Relations_3_facts.v;SimpleTypeIntersection;;;70;9;apply;Rstar_n;8;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rsym_imp_Rstarsym;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases
./Relations_3_facts.v;SimpleTypeIntersection;;;70;10;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;70;11;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;70;12;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;70;13;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;70;14;apply;Rstar_n;0;Rstar_n;Rstar_ind;Rstar_contains_R;Rstar_contains_Rplus;Rstar_sind;Rstar_transitive;Rstar_imp_coherent;;;
./Relations_3_facts.v;SimpleTypeIntersection;;;76;43;apply;h;-1;H'5;H';H'3;x;a;x0;y;z;b;x1
./Relations_3_facts.v;SimpleTypeIntersection;;;76;44;apply;h;-1;H'5;H';H'3;H'2;H'4;H'1;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double
./Relations_3_facts.v;SimpleTypeIntersection;;;77;22;apply;H'7;-1;H'5;H';H'3;x;a;x0;y;z;b;x1
./Relations_3_facts.v;SimpleTypeIntersection;;;77;23;apply;H'7;-1;H'5;H';H'3;H'2;H'4;H'1;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double
./Relations_3_facts.v;SimpleTypeIntersection;;;77;24;apply;H'7;-1;H';H'5;H'3;H'2;H'4;H'1;;;;
./Relations_3_facts.v;SimpleTypeIntersection;;;77;25;apply;H'7;-1;;;;;;;;;;
./Relations_3_facts.v;SimpleTypeIntersection;;;82;38;apply;h;-1;H'5;H';H'3;x;a;x0;y;z;b;x1
./Relations_3_facts.v;SimpleTypeIntersection;;;82;39;apply;h;-1;H'5;H';H'3;H'2;H'4;H'1;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double
./Relations_3_facts.v;SimpleTypeIntersection;;;86;7;apply;Rstar_n;35;H'7;H'2;H'4;H'1;H'3;H'6;H'9;H'10;H'5;H'
./Relations_3_facts.v;SimpleTypeIntersection;;;86;8;apply;Rstar_n;9;R;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rsym_imp_Rstarsym;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n
./Relations_3_facts.v;SimpleTypeIntersection;;;86;9;apply;Rstar_n;8;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rsym_imp_Rstarsym;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases
./Relations_3_facts.v;SimpleTypeIntersection;;;86;10;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;86;11;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
./Relations_3_facts.v;SimpleTypeIntersection;;;86;12;apply;Rstar_n;7;Rstar_transitive;Rstar_contains_R;Rstar_reflexive;Rstar_0;Rstar_equiv_Rstar1;Rstar_contains_Rplus;Rstar_imp_coherent;Rstar_n;Rstar_cases;Rstar_sind
