File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./IZF_pair.v;SimpleTypeIntersection;;;100;49;apply;and_intro;397;PAIR_rt1;PAIR_in1;PAIR_rt2;EQV_deloc;PAIR_in2;PAIR;eq_inl_inl;EQV_sym;EQV_shift;extensionality
./IZF_pair.v;SimpleTypeIntersection;;;100;50;apply;and_intro;5;and_cancel_r;and_cancel_l;and_iff_compat_r;and_iff_compat_l;and_fst;and_intro;app;and_assoc;andb_true_intro;andb_prop
./IZF_pair.v;SimpleTypeIntersection;;;100;51;apply;and_intro;5;and_cancel_r;and_cancel_l;and_iff_compat_r;and_iff_compat_l;and_fst;and_intro;and_assoc;andb_true_intro;andb_prop;and_sind
./IZF_pair.v;SimpleTypeIntersection;;;100;52;apply;and_intro;5;and_cancel_r;and_cancel_l;and_iff_compat_r;and_iff_compat_l;and_fst;and_intro;and_assoc;andb_true_intro;andb_prop;and_sind
./IZF_pair.v;SimpleTypeIntersection;;;100;53;apply;and_intro;5;and_cancel_r;and_cancel_l;and_iff_compat_r;and_iff_compat_l;and_fst;and_intro;and_assoc;and_sind;and_rec;andb_true_intro
./IZF_pair.v;SimpleTypeIntersection;;;100;54;apply;and_intro;2;and_iff_compat_r;and_iff_compat_l;and_intro;and_sind;andb_true_intro;;;;;
./IZF_pair.v;SimpleTypeIntersection;;;100;55;apply;and_intro;0;and_intro;and_sind;andb_true_intro;;;;;;;
./IZF_pair.v;SimpleTypeIntersection;;;100;56;apply;and_intro;0;and_intro;andb_true_intro;;;;;;;;
./IZF_pair.v;SimpleTypeIntersection;;;100;57;apply;and_intro;0;and_intro;andb_true_intro;;;;;;;;
./IZF_pair.v;SimpleTypeIntersection;;;100;58;apply;and_intro;0;and_intro;andb_true_intro;;;;;;;;
./IZF_pair.v;SimpleTypeIntersection;;;104;22;apply;H;-1;eq_out_inl;eq_inl_out;eq_inl_inl;eq_inr_inl;eq_inl_inr;PAIR_rt1;PAIR_in1;out;inr;eq_inr_inr
./IZF_pair.v;SimpleTypeIntersection;;;104;23;apply;H;-1;Hexadecimal.hexadecimal_eq_dec;Hexadecimal.signed_int_eq_dec;Hexadecimal.uint_eq_dec;Hexadecimal.internal_hexadecimal_dec_lb;Hexadecimal.internal_hexadecimal_dec_bl;Hexadecimal.internal_signed_int_dec_lb0;Hexadecimal.internal_signed_int_dec_bl0;Hexadecimal.uint_sind;Hexadecimal.uint_rec;Hexadecimal.uint_ind
./IZF_pair.v;SimpleTypeIntersection;;;106;30;apply;ex2_intro;9;eq_inl_inl;eq_inr_inl;eq_inl_inr;eq_inr_inr;eq_out_inl;eq_inl_out;eq_sym;eq_some_some;eq_trans;ex2_intro
./IZF_pair.v;SimpleTypeIntersection;;;106;31;apply;ex2_intro;9;eq_inl_inl;eq_inr_inl;eq_inl_inr;eq_inr_inr;eq_out_inl;eq_inl_out;eq_sym;eq_some_some;eq_trans;ex2_intro
./IZF_pair.v;SimpleTypeIntersection;;;106;32;apply;ex2_intro;0;ex2_intro;existT;exist;ex2_of_sigT2;ex2_of_sig2;ex_of_ex2;ex2_sind;ex2_ind;ex_intro;existT2
./IZF_pair.v;SimpleTypeIntersection;;;106;33;apply;ex2_intro;0;ex2_intro;ex2_of_sigT2;ex2_of_sig2;ex2_sind;ex2_ind;ex2_rec;ex2_rect;ex2_eta;exist2;existT2
