File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./inv1rel3.v;SimpleTypeIntersection;;;33;7;apply;D2;9;know_Kas;know_Kbs;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;rngDDKKeyAB1;EP1;D2
./inv1rel3.v;SimpleTypeIntersection;;;33;8;apply;D2;1;D;D2;D1;D_dec;DecidableClass.Decidable_not;Decidable.dec_not;Decidable.not_not;Decimal.decimal_eq_dec;Decimal.signed_int_eq_dec;Decimal.uint_eq_dec
./inv1rel3.v;SimpleTypeIntersection;;;33;9;apply;D2;0;D2;NoDup_remove_2;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;34;9;rewrite;eq_l0;8;know_Kas;know_Kbs;not_comp_of_sind;not_comp_of_ind;rngDDKKeyAB1;C7;rngDDKKeyABminusKab1;C1;eq_l0;known_in_sind
./inv1rel3.v;SimpleTypeIntersection;;;34;10;rewrite;eq_l0;0;eq_l0;equivncomp;equivS;equivS1a;equivS3;equivS4;equivS2;equivS1b;equivknown;existsb_app
./inv1rel3.v;SimpleTypeIntersection;;;34;11;rewrite;eq_l0;0;eq_l0;equivncomp;equivS;equivS1a;equivS3;equivS4;equivS2;equivS1b;equivknown;equivnknown1
./inv1rel3.v;SimpleTypeIntersection;;;34;12;rewrite;eq_l0;0;eq_l0;eq_true;equivS_sind;equivS_ind;is_eq_true;rev_eq_app;app_eq_nil;app_eq_app;map_eq_app;app_eq_unit
./inv1rel3.v;SimpleTypeIntersection;;;34;13;rewrite;eq_l0;0;eq_l0;app_eq_nil;repeat_eq_elt;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;34;14;rewrite;eq_l0;0;eq_l0;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;37;14;apply;C2;19;eq_l0;not_comp_of_sind;not_comp_of_ind;know_Kas;know_Kbs;known_in_sind;known_in_ind;C1;C3;rngDDKKeyABminusKab1
./inv1rel3.v;SimpleTypeIntersection;;;37;15;apply;C2;9;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./inv1rel3.v;SimpleTypeIntersection;;;37;16;apply;C2;0;C2;c2;partition_cons2;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;37;26;apply;C3;8;eq_l0;not_comp_of_sind;not_comp_of_ind;know_Kas;know_Kbs;known_in_sind;known_in_ind;C1;C3;rngDDKKeyABminusKab1
./inv1rel3.v;SimpleTypeIntersection;;;37;27;apply;C3;2;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./inv1rel3.v;SimpleTypeIntersection;;;37;28;apply;C3;0;C3;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;37;38;apply;C4;18;eq_l0;not_comp_of_sind;not_comp_of_ind;know_Kas;know_Kbs;known_in_sind;known_in_ind;C1;C3;rngDDKKeyABminusKab1
./inv1rel3.v;SimpleTypeIntersection;;;37;39;apply;C4;8;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./inv1rel3.v;SimpleTypeIntersection;;;37;40;apply;C4;0;C4;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;46;14;apply;C2;19;eq_l0;not_comp_of_sind;not_comp_of_ind;know_Kas;know_Kbs;known_in_sind;known_in_ind;C1;C3;rngDDKKeyABminusKab1
./inv1rel3.v;SimpleTypeIntersection;;;46;15;apply;C2;9;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./inv1rel3.v;SimpleTypeIntersection;;;46;16;apply;C2;0;C2;c2;partition_cons2;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;46;26;apply;C3;8;eq_l0;not_comp_of_sind;not_comp_of_ind;know_Kas;know_Kbs;known_in_sind;known_in_ind;C1;C3;rngDDKKeyABminusKab1
./inv1rel3.v;SimpleTypeIntersection;;;46;27;apply;C3;2;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./inv1rel3.v;SimpleTypeIntersection;;;46;28;apply;C3;0;C3;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;46;38;apply;C4;18;eq_l0;not_comp_of_sind;not_comp_of_ind;know_Kas;know_Kbs;known_in_sind;known_in_ind;C1;C3;rngDDKKeyABminusKab1
./inv1rel3.v;SimpleTypeIntersection;;;46;39;apply;C4;8;C;C1;C3;C_sind;C_rec;C_ind;C_rect;C7;C4;C2
./inv1rel3.v;SimpleTypeIntersection;;;46;40;apply;C4;0;C4;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;48;7;apply;equivncomp;36;know_Kas;know_Kbs;eq_l0;not_comp_of_sind;not_comp_of_ind;C1;known_in_sind;known_in_ind;rngDDKKeyAB1;C7
./inv1rel3.v;SimpleTypeIntersection;;;48;8;apply;equivncomp;3;eq_l0;equivS2;equivS1b;equivncomp;elt_eq_unit;equivS_sind;equivS_ind;equivS;equivS1a;equivS3
./inv1rel3.v;SimpleTypeIntersection;;;48;9;apply;equivncomp;3;eq_l0;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4
./inv1rel3.v;SimpleTypeIntersection;;;48;10;apply;equivncomp;2;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivknown
./inv1rel3.v;SimpleTypeIntersection;;;48;11;apply;equivncomp;2;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivknown
./inv1rel3.v;SimpleTypeIntersection;;;48;12;apply;equivncomp;2;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivknown
./inv1rel3.v;SimpleTypeIntersection;;;48;13;apply;equivncomp;0;equivncomp;equivnknown1;equivknown;equivS_ind;equivS_sind;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;48;14;apply;equivncomp;0;equivncomp;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;48;15;apply;equivncomp;0;equivncomp;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;48;16;apply;equivncomp;0;equivncomp;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;48;17;apply;equivncomp;0;equivncomp;;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;49;7;apply;AlreadyIn;7;rngs;know_Kas;know_Kbs;eq_l0;equivS2;equivS1b;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1
./inv1rel3.v;SimpleTypeIntersection;;;49;8;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Add_app;ABSI;Add_head;A2B;A2A;A1
./inv1rel3.v;SimpleTypeIntersection;;;49;9;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;all;app_length;app_nil_l;app_nil_end;app_nil_r;app_removelast_last
./inv1rel3.v;SimpleTypeIntersection;;;49;10;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;app_nil_r;app_removelast_last;NoDup_app_remove_l;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;
./inv1rel3.v;SimpleTypeIntersection;;;49;11;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./inv1rel3.v;SimpleTypeIntersection;;;49;12;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./inv1rel3.v;SimpleTypeIntersection;;;49;13;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;49;14;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;49;15;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;49;16;apply;AlreadyIn;0;AlreadyIn;AlreadyInb;AlreadyIn1b;AlreadyIn1;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;49;24;apply;EP0;21;rngs;know_Kas;know_Kbs;eq_l0;equivS2;equivS1b;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1
./inv1rel3.v;SimpleTypeIntersection;;;49;25;apply;EP0;0;EP0;E0;EP1;E1;Encrypt;Exists_cons_tl;Exists_cons_hd;Exists_app;Exists_cons;Exists_dec_subproof0
./inv1rel3.v;SimpleTypeIntersection;;;49;26;apply;EP0;0;EP0;EP1;Empty_set;Encrypt;repeat_eq_app;Exists_app;equivncomp;existsb_app;rev_eq_app;app_eq_app
./inv1rel3.v;SimpleTypeIntersection;;;49;27;apply;EP0;0;EP0;Exists_dec_subproof0;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;50;7;apply;D1;19;know_Kas;know_Kbs;not_comp_of_sind;not_comp_of_ind;rngDDKKeyAB1;C7;rngDDKKeyABminusKab1;C1;eq_l0;known_in_sind
./inv1rel3.v;SimpleTypeIntersection;;;50;8;apply;D1;2;D;D2;D1;D_dec;Decimal.decimal;Decimal.signed_int;Decimal.uint;DecidableClass.Decidable;Decidable.decidable;Decimal.Little.succ_double
./inv1rel3.v;SimpleTypeIntersection;;;50;9;apply;D1;0;D1;Decimal.D1;NoDup_remove_1;Hexadecimal.D1;rngDDKKeyAB1;rngDDKKeyABminusKab1;;;;
./inv1rel3.v;SimpleTypeIntersection;;;68;7;apply;D2;10;know_Kbs;know_Kas;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;eq_l0;known_in_sind;known_in_ind;rngDDKKeyAB1;EP1
./inv1rel3.v;SimpleTypeIntersection;;;68;8;apply;D2;1;D;D2;D1;D_dec;DecidableClass.Decidable_not;Decidable.dec_not;Decidable.not_not;Decimal.decimal_eq_dec;Decimal.signed_int_eq_dec;Decimal.uint_eq_dec
./inv1rel3.v;SimpleTypeIntersection;;;68;9;apply;D2;0;D2;NoDup_remove_2;;;;;;;;
./inv1rel3.v;SimpleTypeIntersection;;;69;9;rewrite;eq_l0;2;know_Kbs;know_Kas;eq_l0;not_comp_of_sind;not_comp_of_ind;rngDDKKeyAB1;C7;rngDDKKeyABminusKab1;C1;known_in_sind
./inv1rel3.v;SimpleTypeIntersection;;;69;10;rewrite;eq_l0;0;eq_l0;equivncomp;equivS;equivS1a;equivS3;equivS4;equivS2;equivS1b;equivknown;existsb_app
