File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./invprel7.v;SimpleTypeIntersection;;;32;9;rewrite;eq_l0;21;know_Kab;rngDDKKeyABminusKab1;not_comp_of_sind;not_comp_of_ind;known_in_sind;known_in_ind;rngDDKKeyAB1;EP1;D2;KeyAB1
./invprel7.v;SimpleTypeIntersection;;;32;10;rewrite;eq_l0;1;equivnknown1;eq_l0;equivknown;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivS2
./invprel7.v;SimpleTypeIntersection;;;32;11;rewrite;eq_l0;1;equivnknown1;eq_l0;equivknown;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivS2
./invprel7.v;SimpleTypeIntersection;;;32;12;rewrite;eq_l0;0;eq_l0;equivS_sind;equivS_ind;not_eq_sym;not_eq_S;rev_eq_app;app_eq_nil;app_eq_app;map_eq_app;app_eq_unit
./invprel7.v;SimpleTypeIntersection;;;32;13;rewrite;eq_l0;0;eq_l0;app_eq_nil;repeat_eq_elt;PeanoNat.Nat.mul_eq_0_l;PeanoNat.Nat.eq_mul_0_l;Bool.eqb_false_iff;comparison_eq_stable;PeanoNat.Nat.eq_mul_0_r;Bool.eq_true_negb_classical;
./invprel7.v;SimpleTypeIntersection;;;32;14;rewrite;eq_l0;0;eq_l0;PeanoNat.Nat.mul_eq_0_l;PeanoNat.Nat.eq_mul_0_l;PeanoNat.Nat.eq_mul_0_r;;;;;;
./invprel7.v;SimpleTypeIntersection;;;33;7;apply;D2;12;know_Kab;not_comp_of_sind;not_comp_of_ind;eq_l0;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C3;C1;rngDDKKeyAB1
./invprel7.v;SimpleTypeIntersection;;;33;8;apply;D2;0;D2;D1;D_dec;DecidableClass.Decidable_not;Decidable.dec_not;Decidable.not_not;Decimal.decimal_eq_dec;Decimal.signed_int_eq_dec;Decimal.uint_eq_dec;Decidable.imp_simp
./invprel7.v;SimpleTypeIntersection;;;33;9;apply;D2;0;D2;NoDup_remove_2;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;35;14;apply;C2;22;know_Kab;eq_l0;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C3;C1;rngDDKKeyAB1
./invprel7.v;SimpleTypeIntersection;;;35;15;apply;C2;9;C;C3;C1;C7;C4;C_sind;C_rec;C_ind;C_rect;C2
./invprel7.v;SimpleTypeIntersection;;;35;16;apply;C2;0;C2;c2;partition_cons2;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;35;26;apply;C3;7;know_Kab;eq_l0;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C3;C1;rngDDKKeyAB1
./invprel7.v;SimpleTypeIntersection;;;35;27;apply;C3;1;C;C3;C1;C7;C4;C_sind;C_rec;C_ind;C_rect;C2
./invprel7.v;SimpleTypeIntersection;;;35;28;apply;C3;0;C3;;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;35;38;apply;C4;11;know_Kab;eq_l0;not_comp_of_sind;not_comp_of_ind;rngDDKKeyABminusKab1;known_in_sind;known_in_ind;C3;C1;rngDDKKeyAB1
./invprel7.v;SimpleTypeIntersection;;;35;39;apply;C4;4;C;C3;C1;C7;C4;C_sind;C_rec;C_ind;C_rect;C2
./invprel7.v;SimpleTypeIntersection;;;35;40;apply;C4;0;C4;;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;36;7;apply;equivncomp;35;know_Kab;rngDDKKeyABminusKab1;not_comp_of_sind;not_comp_of_ind;eq_l0;C1;known_in_sind;known_in_ind;rngDDKKeyAB1;C7
./invprel7.v;SimpleTypeIntersection;;;36;8;apply;equivncomp;3;eq_l0;equivS2;equivS1b;equivncomp;elt_eq_unit;equivS_sind;equivS_ind;equivS;equivS1a;equivS3
./invprel7.v;SimpleTypeIntersection;;;36;9;apply;equivncomp;3;eq_l0;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4
./invprel7.v;SimpleTypeIntersection;;;36;10;apply;equivncomp;2;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivknown
./invprel7.v;SimpleTypeIntersection;;;36;11;apply;equivncomp;2;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivknown
./invprel7.v;SimpleTypeIntersection;;;36;12;apply;equivncomp;2;equivS2;equivS1b;equivncomp;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivknown
./invprel7.v;SimpleTypeIntersection;;;36;13;apply;equivncomp;0;equivncomp;equivnknown1;equivknown;equivS_ind;equivS_sind;;;;;
./invprel7.v;SimpleTypeIntersection;;;36;14;apply;equivncomp;0;equivncomp;;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;36;15;apply;equivncomp;0;equivncomp;;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;36;16;apply;equivncomp;0;equivncomp;;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;36;17;apply;equivncomp;0;equivncomp;;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;37;7;apply;AlreadyIn;6;rngs;know_Kab;eq_l0;equivS2;equivS1b;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;equivS_sind
./invprel7.v;SimpleTypeIntersection;;;37;8;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Add_app;ABSI;Add_head;A2B;A2A;A1
./invprel7.v;SimpleTypeIntersection;;;37;9;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;all;app_length;app_nil_l;app_nil_end;app_nil_r;app_removelast_last
./invprel7.v;SimpleTypeIntersection;;;37;10;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;app_nil_r;app_removelast_last;NoDup_app_remove_l;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;
./invprel7.v;SimpleTypeIntersection;;;37;11;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./invprel7.v;SimpleTypeIntersection;;;37;12;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./invprel7.v;SimpleTypeIntersection;;;37;13;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel7.v;SimpleTypeIntersection;;;37;14;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel7.v;SimpleTypeIntersection;;;37;15;apply;AlreadyIn;1;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel7.v;SimpleTypeIntersection;;;37;16;apply;AlreadyIn;0;AlreadyIn;AlreadyInb;AlreadyIn1b;AlreadyIn1;;;;;;
./invprel7.v;SimpleTypeIntersection;;;37;24;apply;EP0;19;rngs;know_Kab;eq_l0;equivS2;equivS1b;AlreadyInb;AlreadyIn;AlreadyIn1b;AlreadyIn1;equivS_sind
./invprel7.v;SimpleTypeIntersection;;;37;25;apply;EP0;0;EP0;E0;EP1;E1;Encrypt;Exists_cons_tl;Exists_cons_hd;Exists_app;Exists_cons;Exists_dec_subproof0
./invprel7.v;SimpleTypeIntersection;;;37;26;apply;EP0;0;EP0;EP1;Empty_set;Encrypt;repeat_eq_app;Exists_app;equivncomp;existsb_app;rev_eq_app;app_eq_app
./invprel7.v;SimpleTypeIntersection;;;37;27;apply;EP0;0;EP0;Exists_dec_subproof0;;;;;;;;
./invprel7.v;SimpleTypeIntersection;;;38;7;apply;D1;19;know_Kab;rngDDKKeyABminusKab1;not_comp_of_sind;not_comp_of_ind;rngDDKKeyAB1;C7;C1;known_in_sind;known_in_ind;rngs
./invprel7.v;SimpleTypeIntersection;;;38;8;apply;D1;2;D;D2;D1;D_dec;Decimal.decimal;Decimal.signed_int;Decimal.uint;DecidableClass.Decidable;Decidable.decidable;Decimal.Little.succ_double
./invprel7.v;SimpleTypeIntersection;;;38;9;apply;D1;0;D1;Decimal.D1;NoDup_remove_1;Hexadecimal.D1;rngDDKKeyAB1;rngDDKKeyABminusKab1;;;;
./invprel7.v;SplitTypeIntersection;;;32;9;rewrite;eq_l0;22;know_Kab;rngDDKKeyABminusKab1;not_comp_of_sind;not_comp_of_ind;known_in_sind;known_in_ind;KeyAB1;rngDDKKeyAB1;EP1;D2
./invprel7.v;SplitTypeIntersection;;;32;10;rewrite;eq_l0;1;equivnknown1;eq_l0;equivknown;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivS2
./invprel7.v;SplitTypeIntersection;;;32;11;rewrite;eq_l0;1;equivnknown1;eq_l0;equivknown;equivS_sind;equivS_ind;equivS;equivS1a;equivS3;equivS4;equivS2
./invprel7.v;SplitTypeIntersection;;;32;12;rewrite;eq_l0;0;eq_l0;equivS_sind;equivS_ind;not_eq_sym;not_eq_S;rev_eq_app;app_eq_nil;app_eq_app;map_eq_app;app_eq_unit
./invprel7.v;SplitTypeIntersection;;;32;13;rewrite;eq_l0;0;eq_l0;app_eq_nil;repeat_eq_elt;PeanoNat.Nat.mul_eq_0_l;PeanoNat.Nat.eq_mul_0_l;Bool.eqb_false_iff;PeanoNat.Nat.eq_mul_0_r;comparison_eq_stable;Bool.eq_true_negb_classical;
