File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./point_tangente.v;SimpleTypeIntersection;0;0;50.02892731308184;36635
./point_tangente.v;SplitTypeIntersection;0;0;50.50891261149238;38447
./point_tangente.v;StructuredTypeEvaluation;1;1;0.27290525811641586;34876
./point_tangente.v;StructuredTypeEvaluation;1;2;55.65426361475667;35196
./point_tangente.v;StructuredTypeEvaluation;1;5;56.43358093277099;34542
./point_tangente.v;StructuredTypeEvaluation;2;1;52.224652954965315;34708
./point_tangente.v;StructuredTypeEvaluation;2;2;57.44183435667388;34668
./point_tangente.v;StructuredTypeEvaluation;2;5;55.44462573282327;34779
./point_tangente.v;StructuredTypeEvaluation;5;1;54.19851220375743;35058
./point_tangente.v;StructuredTypeEvaluation;5;2;55.32132690823598;34945
./point_tangente.v;StructuredTypeEvaluation;5;5;54.690659734861256;35386
./point_tangente.v;SelectiveUnification;1;1;0.2262796521800405;34443
./point_tangente.v;SelectiveUnification;1;2;55.508427733490365;34970
./point_tangente.v;SelectiveUnification;1;5;56.2877450515047;34931
./point_tangente.v;SelectiveUnification;2;1;51.18375243305611;35239
./point_tangente.v;SelectiveUnification;2;2;57.29339901092273;35651
./point_tangente.v;SelectiveUnification;2;5;55.29619038707211;35774
./point_tangente.v;SelectiveUnification;5;1;53.76573160559172;36076
./point_tangente.v;SelectiveUnification;5;2;55.172891562484786;35906
./point_tangente.v;SelectiveUnification;5;5;54.542224389110096;35635
./point_tangente.v;SelectiveSplitUnification;1;1;0.2262796521800405;34733
./point_tangente.v;SelectiveSplitUnification;1;2;55.508427733490365;34650
./point_tangente.v;SelectiveSplitUnification;1;5;56.2877450515047;34824
./point_tangente.v;SelectiveSplitUnification;2;1;51.18375243305611;35495
./point_tangente.v;SelectiveSplitUnification;2;2;57.29339901092273;35760
./point_tangente.v;SelectiveSplitUnification;2;5;55.29619038707211;35773
./point_tangente.v;SelectiveSplitUnification;5;1;53.76573160559172;35770
./point_tangente.v;SelectiveSplitUnification;5;2;55.172891562484786;35882
./point_tangente.v;SelectiveSplitUnification;5;5;54.542224389110096;36068
./point_tangente.v;Basic;0;0;48.101970677703484;41312
./point_tangente.v;SimpleUnification;0;0;50.06006596863652;35399
./point_tangente.v;SimpleSplitUnification;0;0;50.06006596863652;35543
