File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Partial_order_facts.v;SimpleTypeIntersection;0;0;52.76421973608228;3034
./Partial_order_facts.v;SplitTypeIntersection;0;0;37.750141194261154;3127
./Partial_order_facts.v;StructuredTypeEvaluation;1;1;0;2302
./Partial_order_facts.v;StructuredTypeEvaluation;1;2;4.2976290319898744;2047
./Partial_order_facts.v;StructuredTypeEvaluation;1;5;55.62988253471639;2054
./Partial_order_facts.v;StructuredTypeEvaluation;2;1;36.436412589377746;1989
./Partial_order_facts.v;StructuredTypeEvaluation;2;2;52.785328074454675;2017
./Partial_order_facts.v;StructuredTypeEvaluation;2;5;57.47772303055567;2061
./Partial_order_facts.v;StructuredTypeEvaluation;5;1;55.4469481650417;2060
./Partial_order_facts.v;StructuredTypeEvaluation;5;2;61.091260952332625;2087
./Partial_order_facts.v;StructuredTypeEvaluation;5;5;60.94247379552479;2117
./Partial_order_facts.v;SelectiveUnification;1;1;0;1982
./Partial_order_facts.v;SelectiveUnification;1;2;4.2976290319898744;1993
./Partial_order_facts.v;SelectiveUnification;1;5;55.62988253471639;2024
./Partial_order_facts.v;SelectiveUnification;2;1;36.436412589377746;2013
./Partial_order_facts.v;SelectiveUnification;2;2;52.785328074454675;2022
./Partial_order_facts.v;SelectiveUnification;2;5;57.47772303055567;1993
./Partial_order_facts.v;SelectiveUnification;5;1;55.4469481650417;2097
./Partial_order_facts.v;SelectiveUnification;5;2;61.091260952332625;2115
./Partial_order_facts.v;SelectiveUnification;5;5;60.94247379552479;2089
./Partial_order_facts.v;SelectiveSplitUnification;1;1;0;1968
./Partial_order_facts.v;SelectiveSplitUnification;1;2;4.2976290319898744;1938
./Partial_order_facts.v;SelectiveSplitUnification;1;5;55.62988253471639;1960
./Partial_order_facts.v;SelectiveSplitUnification;2;1;36.436412589377746;2064
./Partial_order_facts.v;SelectiveSplitUnification;2;2;52.785328074454675;2023
./Partial_order_facts.v;SelectiveSplitUnification;2;5;57.47772303055567;2038
./Partial_order_facts.v;SelectiveSplitUnification;5;1;55.4469481650417;2146
./Partial_order_facts.v;SelectiveSplitUnification;5;2;61.091260952332625;2179
./Partial_order_facts.v;SelectiveSplitUnification;5;5;60.94247379552479;2186
./Partial_order_facts.v;Basic;0;0;0;2035
./Partial_order_facts.v;SimpleUnification;0;0;52.76421973608228;2356
./Partial_order_facts.v;SimpleSplitUnification;0;0;52.76421973608228;2360
