File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Relations_1_facts.v;SimpleTypeIntersection;0;0;59.47070046374379;463
./Relations_1_facts.v;SplitTypeIntersection;0;0;59.95114939982133;547
./Relations_1_facts.v;StructuredTypeEvaluation;1;1;0;400
./Relations_1_facts.v;StructuredTypeEvaluation;1;2;0;403
./Relations_1_facts.v;StructuredTypeEvaluation;1;5;59.642289369485766;399
./Relations_1_facts.v;StructuredTypeEvaluation;2;1;0;399
./Relations_1_facts.v;StructuredTypeEvaluation;2;2;55.31824894478782;405
./Relations_1_facts.v;StructuredTypeEvaluation;2;5;59.642289369485766;409
./Relations_1_facts.v;StructuredTypeEvaluation;5;1;34.61465555701305;410
./Relations_1_facts.v;StructuredTypeEvaluation;5;2;59.642289369485766;403
./Relations_1_facts.v;StructuredTypeEvaluation;5;5;59.642289369485766;414
./Relations_1_facts.v;SelectiveUnification;1;1;0;402
./Relations_1_facts.v;SelectiveUnification;1;2;0;405
./Relations_1_facts.v;SelectiveUnification;1;5;59.642289369485766;406
./Relations_1_facts.v;SelectiveUnification;2;1;0;412
./Relations_1_facts.v;SelectiveUnification;2;2;55.31824894478782;393
./Relations_1_facts.v;SelectiveUnification;2;5;59.642289369485766;406
./Relations_1_facts.v;SelectiveUnification;5;1;34.61465555701305;403
./Relations_1_facts.v;SelectiveUnification;5;2;59.642289369485766;401
./Relations_1_facts.v;SelectiveUnification;5;5;59.642289369485766;406
./Relations_1_facts.v;SelectiveSplitUnification;1;1;0;394
./Relations_1_facts.v;SelectiveSplitUnification;1;2;0;414
./Relations_1_facts.v;SelectiveSplitUnification;1;5;59.642289369485766;399
./Relations_1_facts.v;SelectiveSplitUnification;2;1;0;404
./Relations_1_facts.v;SelectiveSplitUnification;2;2;55.31824894478782;398
./Relations_1_facts.v;SelectiveSplitUnification;2;5;59.642289369485766;393
./Relations_1_facts.v;SelectiveSplitUnification;5;1;34.61465555701305;402
./Relations_1_facts.v;SelectiveSplitUnification;5;2;59.642289369485766;404
./Relations_1_facts.v;SelectiveSplitUnification;5;5;59.642289369485766;402
./Relations_1_facts.v;Basic;0;0;32.452635344664074;499
./Relations_1_facts.v;SimpleUnification;0;0;59.47070046374379;455
./Relations_1_facts.v;SimpleSplitUnification;0;0;59.47070046374379;468
