File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./ex1_auto.v;SimpleTypeIntersection;0;0;49.99999999999999;135
./ex1_auto.v;SplitTypeIntersection;0;0;72.72727272727273;139
./ex1_auto.v;StructuredTypeEvaluation;1;1;0;132
./ex1_auto.v;StructuredTypeEvaluation;1;2;0;138
./ex1_auto.v;StructuredTypeEvaluation;1;5;72.72727272727273;137
./ex1_auto.v;StructuredTypeEvaluation;2;1;0;137
./ex1_auto.v;StructuredTypeEvaluation;2;2;45.45454545454545;137
./ex1_auto.v;StructuredTypeEvaluation;2;5;72.72727272727273;137
./ex1_auto.v;StructuredTypeEvaluation;5;1;45.45454545454545;136
./ex1_auto.v;StructuredTypeEvaluation;5;2;45.45454545454545;135
./ex1_auto.v;StructuredTypeEvaluation;5;5;72.72727272727273;136
./ex1_auto.v;SelectiveUnification;1;1;0;132
./ex1_auto.v;SelectiveUnification;1;2;0;133
./ex1_auto.v;SelectiveUnification;1;5;72.72727272727273;136
./ex1_auto.v;SelectiveUnification;2;1;0;136
./ex1_auto.v;SelectiveUnification;2;2;45.45454545454545;136
./ex1_auto.v;SelectiveUnification;2;5;72.72727272727273;137
./ex1_auto.v;SelectiveUnification;5;1;45.45454545454545;137
./ex1_auto.v;SelectiveUnification;5;2;45.45454545454545;137
./ex1_auto.v;SelectiveUnification;5;5;72.72727272727273;136
./ex1_auto.v;SelectiveSplitUnification;1;1;0;136
./ex1_auto.v;SelectiveSplitUnification;1;2;0;133
./ex1_auto.v;SelectiveSplitUnification;1;5;72.72727272727273;138
./ex1_auto.v;SelectiveSplitUnification;2;1;0;133
./ex1_auto.v;SelectiveSplitUnification;2;2;45.45454545454545;134
./ex1_auto.v;SelectiveSplitUnification;2;5;72.72727272727273;140
./ex1_auto.v;SelectiveSplitUnification;5;1;45.45454545454545;142
./ex1_auto.v;SelectiveSplitUnification;5;2;45.45454545454545;137
./ex1_auto.v;SelectiveSplitUnification;5;5;72.72727272727273;137
./ex1_auto.v;Basic;0;0;0;162
./ex1_auto.v;SimpleUnification;0;0;49.99999999999999;133
./ex1_auto.v;SimpleSplitUnification;0;0;49.99999999999999;133
