File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./podefs.v;SimpleTypeIntersection;0;0;NaN;22
./podefs.v;SplitTypeIntersection;0;0;NaN;23
./podefs.v;StructuredTypeEvaluation;1;1;NaN;31
./podefs.v;StructuredTypeEvaluation;1;2;NaN;25
./podefs.v;StructuredTypeEvaluation;1;5;NaN;21
./podefs.v;StructuredTypeEvaluation;2;1;NaN;20
./podefs.v;StructuredTypeEvaluation;2;2;NaN;18
./podefs.v;StructuredTypeEvaluation;2;5;NaN;18
./podefs.v;StructuredTypeEvaluation;5;1;NaN;21
./podefs.v;StructuredTypeEvaluation;5;2;NaN;21
./podefs.v;StructuredTypeEvaluation;5;5;NaN;23
./podefs.v;SelectiveUnification;1;1;NaN;18
./podefs.v;SelectiveUnification;1;2;NaN;18
./podefs.v;SelectiveUnification;1;5;NaN;18
./podefs.v;SelectiveUnification;2;1;NaN;18
./podefs.v;SelectiveUnification;2;2;NaN;21
./podefs.v;SelectiveUnification;2;5;NaN;23
./podefs.v;SelectiveUnification;5;1;NaN;23
./podefs.v;SelectiveUnification;5;2;NaN;19
./podefs.v;SelectiveUnification;5;5;NaN;18
./podefs.v;SelectiveSplitUnification;1;1;NaN;18
./podefs.v;SelectiveSplitUnification;1;2;NaN;20
./podefs.v;SelectiveSplitUnification;1;5;NaN;22
./podefs.v;SelectiveSplitUnification;2;1;NaN;21
./podefs.v;SelectiveSplitUnification;2;2;NaN;20
./podefs.v;SelectiveSplitUnification;2;5;NaN;21
./podefs.v;SelectiveSplitUnification;5;1;NaN;20
./podefs.v;SelectiveSplitUnification;5;2;NaN;24
./podefs.v;SelectiveSplitUnification;5;5;NaN;23
./podefs.v;Basic;0;0;NaN;25
./podefs.v;SimpleUnification;0;0;NaN;25
./podefs.v;SimpleSplitUnification;0;0;NaN;20
