File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./tctl.v;SimpleTypeIntersection;0;0;30.21166368529168;5177
./tctl.v;SplitTypeIntersection;0;0;34.2856798385179;5973
./tctl.v;StructuredTypeEvaluation;1;1;1.2855872890562212;3326
./tctl.v;StructuredTypeEvaluation;1;2;2.4575645386144505;3319
./tctl.v;StructuredTypeEvaluation;1;5;28.724966694738146;3349
./tctl.v;StructuredTypeEvaluation;2;1;10.62531099546145;3352
./tctl.v;StructuredTypeEvaluation;2;2;27.469276784497183;3345
./tctl.v;StructuredTypeEvaluation;2;5;34.40427277448511;3456
./tctl.v;StructuredTypeEvaluation;5;1;22.063830694698;3585
./tctl.v;StructuredTypeEvaluation;5;2;33.98570947107146;3570
./tctl.v;StructuredTypeEvaluation;5;5;34.40427277448511;3504
./tctl.v;SelectiveUnification;1;1;1.2855872890562212;3321
./tctl.v;SelectiveUnification;1;2;2.4575645386144505;3386
./tctl.v;SelectiveUnification;1;5;28.724966694738146;3368
./tctl.v;SelectiveUnification;2;1;10.62531099546145;3448
./tctl.v;SelectiveUnification;2;2;27.469276784497183;3431
./tctl.v;SelectiveUnification;2;5;34.40427277448511;3527
./tctl.v;SelectiveUnification;5;1;22.063830694698;3538
./tctl.v;SelectiveUnification;5;2;33.98570947107146;3525
./tctl.v;SelectiveUnification;5;5;34.40427277448511;3457
./tctl.v;SelectiveSplitUnification;1;1;2.3020981687750934;3391
./tctl.v;SelectiveSplitUnification;1;2;3.474075418333323;3295
./tctl.v;SelectiveSplitUnification;1;5;29.741477574457022;3344
./tctl.v;SelectiveSplitUnification;2;1;11.641821875180327;3462
./tctl.v;SelectiveSplitUnification;2;2;28.485787664216055;3415
./tctl.v;SelectiveSplitUnification;2;5;35.42078365420398;3483
./tctl.v;SelectiveSplitUnification;5;1;23.080341574416877;3474
./tctl.v;SelectiveSplitUnification;5;2;35.00222035079033;3532
./tctl.v;SelectiveSplitUnification;5;5;35.42078365420398;3479
./tctl.v;Basic;0;0;20.74236655106347;3059
./tctl.v;SimpleUnification;0;0;30.21166368529168;5064
./tctl.v;SimpleSplitUnification;0;0;31.46735359553264;4966
