File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./GenericEnv.v;SimpleTypeIntersection;0;0;49.404694635254444;84658
./GenericEnv.v;SplitTypeIntersection;0;0;52.27378354730406;100652
./GenericEnv.v;StructuredTypeEvaluation;1;1;3.5544096910384826;71279
./GenericEnv.v;StructuredTypeEvaluation;1;2;17.31996084120655;71358
./GenericEnv.v;StructuredTypeEvaluation;1;5;33.18225656350122;70201
./GenericEnv.v;StructuredTypeEvaluation;2;1;25.561337047335826;71412
./GenericEnv.v;StructuredTypeEvaluation;2;2;30.63715556612242;71436
./GenericEnv.v;StructuredTypeEvaluation;2;5;34.44268378093;72286
./GenericEnv.v;StructuredTypeEvaluation;5;1;30.414645568228345;74777
./GenericEnv.v;StructuredTypeEvaluation;5;2;35.683725919274;74627
./GenericEnv.v;StructuredTypeEvaluation;5;5;36.006513333386984;73898
./GenericEnv.v;SelectiveUnification;1;1;3.5666731466567017;69472
./GenericEnv.v;SelectiveUnification;1;2;17.382193284376708;70476
./GenericEnv.v;SelectiveUnification;1;5;33.298704748092085;71727
./GenericEnv.v;SelectiveUnification;2;1;25.639540579681753;71785
./GenericEnv.v;SelectiveUnification;2;2;30.736309848574052;71640
./GenericEnv.v;SelectiveUnification;2;5;34.44268378093;70733
./GenericEnv.v;SelectiveUnification;5;1;30.03874834784057;75233
./GenericEnv.v;SelectiveUnification;5;2;35.684116274042964;73481
./GenericEnv.v;SelectiveUnification;5;5;36.006513333386984;74179
./GenericEnv.v;SelectiveSplitUnification;1;1;3.4666843816513215;69411
./GenericEnv.v;SelectiveSplitUnification;1;2;17.28220451937133;70269
./GenericEnv.v;SelectiveSplitUnification;1;5;33.1987159830867;70192
./GenericEnv.v;SelectiveSplitUnification;2;1;25.53955181467637;71170
./GenericEnv.v;SelectiveSplitUnification;2;2;30.636321083568667;71735
./GenericEnv.v;SelectiveSplitUnification;2;5;34.34313773834825;71276
./GenericEnv.v;SelectiveSplitUnification;5;1;29.938759582835196;76058
./GenericEnv.v;SelectiveSplitUnification;5;2;35.58457023146121;75193
./GenericEnv.v;SelectiveSplitUnification;5;5;35.906967290805234;75133
./GenericEnv.v;Basic;0;0;18.18016160825995;72644
./GenericEnv.v;SimpleUnification;0;0;49.411721021095744;84429
./GenericEnv.v;SimpleSplitUnification;0;0;49.38705059969741;85459
