File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./hedges.v;SimpleTypeIntersection;0;0;64.76885592652563;100456
./hedges.v;SplitTypeIntersection;0;0;64.98535318541323;115664
./hedges.v;StructuredTypeEvaluation;1;1;13.381690835546303;73703
./hedges.v;StructuredTypeEvaluation;1;2;52.8410114969882;73367
./hedges.v;StructuredTypeEvaluation;1;5;66.01186123040148;73866
./hedges.v;StructuredTypeEvaluation;2;1;49.58619522655527;76142
./hedges.v;StructuredTypeEvaluation;2;2;64.33356065015546;77913
./hedges.v;StructuredTypeEvaluation;2;5;65.94552223001429;77348
./hedges.v;StructuredTypeEvaluation;5;1;58.213129465972834;78725
./hedges.v;StructuredTypeEvaluation;5;2;64.29272515402556;78060
./hedges.v;StructuredTypeEvaluation;5;5;66.02671308415242;78164
./hedges.v;SelectiveUnification;1;1;13.381690835546303;73581
./hedges.v;SelectiveUnification;1;2;52.8410114969882;73574
./hedges.v;SelectiveUnification;1;5;66.01186123040148;74427
./hedges.v;SelectiveUnification;2;1;49.58619522655527;75730
./hedges.v;SelectiveUnification;2;2;64.33356065015546;75440
./hedges.v;SelectiveUnification;2;5;65.94552223001429;76807
./hedges.v;SelectiveUnification;5;1;58.12842018311555;80021
./hedges.v;SelectiveUnification;5;2;64.28688974063972;78795
./hedges.v;SelectiveUnification;5;5;66.02087767076658;79237
./hedges.v;SelectiveSplitUnification;1;1;13.329158575831565;73851
./hedges.v;SelectiveSplitUnification;1;2;52.80161230220215;73348
./hedges.v;SelectiveSplitUnification;1;5;65.97246203561542;74016
./hedges.v;SelectiveSplitUnification;2;1;49.55054833603456;75966
./hedges.v;SelectiveSplitUnification;2;2;64.29707991424245;76478
./hedges.v;SelectiveSplitUnification;2;5;65.90904149410129;77007
./hedges.v;SelectiveSplitUnification;5;1;58.092304254561675;79651
./hedges.v;SelectiveSplitUnification;5;2;64.25077381208585;79266
./hedges.v;SelectiveSplitUnification;5;5;65.98476174221271;79522
./hedges.v;Basic;0;0;42.555117306764934;67323
./hedges.v;SimpleUnification;0;0;64.76929102018674;101899
./hedges.v;SimpleSplitUnification;0;0;64.72989182540068;101592
