File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./IZF_logic.v;SimpleTypeIntersection;0;0;NaN;20
./IZF_logic.v;SplitTypeIntersection;0;0;NaN;27
./IZF_logic.v;StructuredTypeEvaluation;1;1;NaN;32
./IZF_logic.v;StructuredTypeEvaluation;1;2;NaN;30
./IZF_logic.v;StructuredTypeEvaluation;1;5;NaN;25
./IZF_logic.v;StructuredTypeEvaluation;2;1;NaN;27
./IZF_logic.v;StructuredTypeEvaluation;2;2;NaN;25
./IZF_logic.v;StructuredTypeEvaluation;2;5;NaN;28
./IZF_logic.v;StructuredTypeEvaluation;5;1;NaN;32
./IZF_logic.v;StructuredTypeEvaluation;5;2;NaN;20
./IZF_logic.v;StructuredTypeEvaluation;5;5;NaN;20
./IZF_logic.v;SelectiveUnification;1;1;NaN;23
./IZF_logic.v;SelectiveUnification;1;2;NaN;31
./IZF_logic.v;SelectiveUnification;1;5;NaN;29
./IZF_logic.v;SelectiveUnification;2;1;NaN;36
./IZF_logic.v;SelectiveUnification;2;2;NaN;38
./IZF_logic.v;SelectiveUnification;2;5;NaN;28
./IZF_logic.v;SelectiveUnification;5;1;NaN;23
./IZF_logic.v;SelectiveUnification;5;2;NaN;22
./IZF_logic.v;SelectiveUnification;5;5;NaN;30
./IZF_logic.v;SelectiveSplitUnification;1;1;NaN;30
./IZF_logic.v;SelectiveSplitUnification;1;2;NaN;44
./IZF_logic.v;SelectiveSplitUnification;1;5;NaN;33
./IZF_logic.v;SelectiveSplitUnification;2;1;NaN;32
./IZF_logic.v;SelectiveSplitUnification;2;2;NaN;34
./IZF_logic.v;SelectiveSplitUnification;2;5;NaN;46
./IZF_logic.v;SelectiveSplitUnification;5;1;NaN;31
./IZF_logic.v;SelectiveSplitUnification;5;2;NaN;24
./IZF_logic.v;SelectiveSplitUnification;5;5;NaN;21
./IZF_logic.v;Basic;0;0;NaN;20
./IZF_logic.v;SimpleUnification;0;0;NaN;20
./IZF_logic.v;SimpleSplitUnification;0;0;NaN;21
