File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Redexes.v;SimpleTypeIntersection;0;0;61.54794650317095;3767
./Redexes.v;SplitTypeIntersection;0;0;62.23137865025565;4417
./Redexes.v;StructuredTypeEvaluation;1;1;0;2710
./Redexes.v;StructuredTypeEvaluation;1;2;43.505337820134784;2716
./Redexes.v;StructuredTypeEvaluation;1;5;64.73566930350174;2735
./Redexes.v;StructuredTypeEvaluation;2;1;36.10718482794289;2801
./Redexes.v;StructuredTypeEvaluation;2;2;64.73566930350174;2779
./Redexes.v;StructuredTypeEvaluation;2;5;69.36104044180713;2801
./Redexes.v;StructuredTypeEvaluation;5;1;52.33137583391439;2931
./Redexes.v;StructuredTypeEvaluation;5;2;69.36104044180713;2923
./Redexes.v;StructuredTypeEvaluation;5;5;69.36104044180713;2864
./Redexes.v;SelectiveUnification;1;1;0;2729
./Redexes.v;SelectiveUnification;1;2;43.505337820134784;2698
./Redexes.v;SelectiveUnification;1;5;64.73566930350174;2679
./Redexes.v;SelectiveUnification;2;1;36.10718482794289;2745
./Redexes.v;SelectiveUnification;2;2;64.73566930350174;2742
./Redexes.v;SelectiveUnification;2;5;69.36104044180713;2779
./Redexes.v;SelectiveUnification;5;1;52.33137583391439;2878
./Redexes.v;SelectiveUnification;5;2;69.36104044180713;2897
./Redexes.v;SelectiveUnification;5;5;69.36104044180713;2924
./Redexes.v;SelectiveSplitUnification;1;1;0;2733
./Redexes.v;SelectiveSplitUnification;1;2;43.505337820134784;2721
./Redexes.v;SelectiveSplitUnification;1;5;64.73566930350174;2740
./Redexes.v;SelectiveSplitUnification;2;1;36.10718482794289;2754
./Redexes.v;SelectiveSplitUnification;2;2;64.73566930350174;2815
./Redexes.v;SelectiveSplitUnification;2;5;69.36104044180713;2771
./Redexes.v;SelectiveSplitUnification;5;1;52.33137583391439;2928
./Redexes.v;SelectiveSplitUnification;5;2;69.36104044180713;2952
./Redexes.v;SelectiveSplitUnification;5;5;69.36104044180713;2931
./Redexes.v;Basic;0;0;37.22345733484789;2538
./Redexes.v;SimpleUnification;0;0;61.54794650317095;3737
./Redexes.v;SimpleSplitUnification;0;0;61.54794650317095;3729
