File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Mini_ML.v;SimpleTypeIntersection;0;0;41.86960834721138;21811
./Mini_ML.v;SplitTypeIntersection;0;0;43.62043673854307;25646
./Mini_ML.v;StructuredTypeEvaluation;1;1;17.485046391527227;18951
./Mini_ML.v;StructuredTypeEvaluation;1;2;35.759971515672525;19279
./Mini_ML.v;StructuredTypeEvaluation;1;5;45.80479294512128;18998
./Mini_ML.v;StructuredTypeEvaluation;2;1;34.480518478609696;19166
./Mini_ML.v;StructuredTypeEvaluation;2;2;45.16411774663158;19337
./Mini_ML.v;StructuredTypeEvaluation;2;5;45.7660551801583;19956
./Mini_ML.v;StructuredTypeEvaluation;5;1;41.649179444552345;17118
./Mini_ML.v;StructuredTypeEvaluation;5;2;45.125379981668615;17692
./Mini_ML.v;StructuredTypeEvaluation;5;5;45.7660551801583;17683
./Mini_ML.v;SelectiveUnification;1;1;17.485046391527227;16422
./Mini_ML.v;SelectiveUnification;1;2;35.759971515672525;16702
./Mini_ML.v;SelectiveUnification;1;5;45.80479294512128;16920
./Mini_ML.v;SelectiveUnification;2;1;34.480518478609696;16795
./Mini_ML.v;SelectiveUnification;2;2;45.17158860130302;16715
./Mini_ML.v;SelectiveUnification;2;5;45.7660551801583;17216
./Mini_ML.v;SelectiveUnification;5;1;41.649179444552345;17128
./Mini_ML.v;SelectiveUnification;5;2;45.1309139480919;17522
./Mini_ML.v;SelectiveUnification;5;5;45.7660551801583;17609
./Mini_ML.v;SelectiveSplitUnification;1;1;17.551453988606614;16754
./Mini_ML.v;SelectiveSplitUnification;1;2;35.660360120053454;16637
./Mini_ML.v;SelectiveSplitUnification;1;5;45.7051815495022;16639
./Mini_ML.v;SelectiveSplitUnification;2;1;34.54692607568908;16979
./Mini_ML.v;SelectiveSplitUnification;2;2;45.071977205683936;16735
./Mini_ML.v;SelectiveSplitUnification;2;5;45.666443784539226;17728
./Mini_ML.v;SelectiveSplitUnification;5;1;41.71558704163173;17085
./Mini_ML.v;SelectiveSplitUnification;5;2;45.031302552472816;17275
./Mini_ML.v;SelectiveSplitUnification;5;5;45.666443784539226;17660
./Mini_ML.v;Basic;0;0;23.58493639628568;19811
./Mini_ML.v;SimpleUnification;0;0;41.84802587816059;19130
./Mini_ML.v;SimpleSplitUnification;0;0;41.748414482541506;19173
