File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./invprel6.v;SimpleTypeIntersection;0;0;NaN;21
./invprel6.v;SplitTypeIntersection;0;0;NaN;24
./invprel6.v;StructuredTypeEvaluation;1;1;NaN;25
./invprel6.v;StructuredTypeEvaluation;1;2;NaN;33
./invprel6.v;StructuredTypeEvaluation;1;5;NaN;30
./invprel6.v;StructuredTypeEvaluation;2;1;NaN;22
./invprel6.v;StructuredTypeEvaluation;2;2;NaN;24
./invprel6.v;StructuredTypeEvaluation;2;5;NaN;23
./invprel6.v;StructuredTypeEvaluation;5;1;NaN;40
./invprel6.v;StructuredTypeEvaluation;5;2;NaN;29
./invprel6.v;StructuredTypeEvaluation;5;5;NaN;28
./invprel6.v;SelectiveUnification;1;1;NaN;25
./invprel6.v;SelectiveUnification;1;2;NaN;36
./invprel6.v;SelectiveUnification;1;5;NaN;34
./invprel6.v;SelectiveUnification;2;1;NaN;26
./invprel6.v;SelectiveUnification;2;2;NaN;24
./invprel6.v;SelectiveUnification;2;5;NaN;23
./invprel6.v;SelectiveUnification;5;1;NaN;26
./invprel6.v;SelectiveUnification;5;2;NaN;24
./invprel6.v;SelectiveUnification;5;5;NaN;29
./invprel6.v;SelectiveSplitUnification;1;1;NaN;26
./invprel6.v;SelectiveSplitUnification;1;2;NaN;23
./invprel6.v;SelectiveSplitUnification;1;5;NaN;23
./invprel6.v;SelectiveSplitUnification;2;1;NaN;21
./invprel6.v;SelectiveSplitUnification;2;2;NaN;19
./invprel6.v;SelectiveSplitUnification;2;5;NaN;22
./invprel6.v;SelectiveSplitUnification;5;1;NaN;27
./invprel6.v;SelectiveSplitUnification;5;2;NaN;25
./invprel6.v;SelectiveSplitUnification;5;5;NaN;22
./invprel6.v;Basic;0;0;NaN;22
./invprel6.v;SimpleUnification;0;0;NaN;25
./invprel6.v;SimpleSplitUnification;0;0;NaN;29
