File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./b_soundness.v;SimpleTypeIntersection;0;0;26.689233217983727;6818
./b_soundness.v;SplitTypeIntersection;0;0;24.375273932046973;7293
./b_soundness.v;StructuredTypeEvaluation;1;1;3.9890410590177257;6020
./b_soundness.v;StructuredTypeEvaluation;1;2;21.97119435463909;5997
./b_soundness.v;StructuredTypeEvaluation;1;5;22.892975918583968;6060
./b_soundness.v;StructuredTypeEvaluation;2;1;20.17422885777245;6046
./b_soundness.v;StructuredTypeEvaluation;2;2;22.892975918583968;6025
./b_soundness.v;StructuredTypeEvaluation;2;5;25.68379217986404;6055
./b_soundness.v;StructuredTypeEvaluation;5;1;21.99011725048604;6197
./b_soundness.v;StructuredTypeEvaluation;5;2;25.744581982772385;6195
./b_soundness.v;StructuredTypeEvaluation;5;5;26.50126128045257;6151
./b_soundness.v;SelectiveUnification;1;1;3.9890410590177257;5975
./b_soundness.v;SelectiveUnification;1;2;21.97119435463909;6028
./b_soundness.v;SelectiveUnification;1;5;22.892975918583968;5999
./b_soundness.v;SelectiveUnification;2;1;20.17422885777245;6034
./b_soundness.v;SelectiveUnification;2;2;22.892975918583968;6016
./b_soundness.v;SelectiveUnification;2;5;25.68379217986404;6069
./b_soundness.v;SelectiveUnification;5;1;17.000040256050653;6129
./b_soundness.v;SelectiveUnification;5;2;25.744581982772385;6161
./b_soundness.v;SelectiveUnification;5;5;26.50126128045257;6141
./b_soundness.v;SelectiveSplitUnification;1;1;4.34848146563067;7254
./b_soundness.v;SelectiveSplitUnification;1;2;24.470983235970046;7237
./b_soundness.v;SelectiveSplitUnification;1;5;25.484709799199873;7242
./b_soundness.v;SelectiveSplitUnification;2;1;22.447585015763305;7263
./b_soundness.v;SelectiveSplitUnification;2;2;25.484709799199873;7242
./b_soundness.v;SelectiveSplitUnification;2;5;25.484709799199873;7292
./b_soundness.v;SelectiveSplitUnification;5;1;18.86108678806758;7326
./b_soundness.v;SelectiveSplitUnification;5;2;25.84559645570969;7359
./b_soundness.v;SelectiveSplitUnification;5;5;26.418960199872483;7557
./b_soundness.v;Basic;0;0;38.19964564289347;6282
./b_soundness.v;SimpleUnification;0;0;27.28530443716287;6994
./b_soundness.v;SimpleSplitUnification;0;0;22.6892574284373;8545
