File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./d_hilbert_calculus.v;SimpleTypeIntersection;0;0;35.70797968706574;6466
./d_hilbert_calculus.v;SplitTypeIntersection;0;0;33.075814456170164;6820
./d_hilbert_calculus.v;StructuredTypeEvaluation;1;1;0;5845
./d_hilbert_calculus.v;StructuredTypeEvaluation;1;2;0;5837
./d_hilbert_calculus.v;StructuredTypeEvaluation;1;5;33.83520787807779;5847
./d_hilbert_calculus.v;StructuredTypeEvaluation;2;1;0;5906
./d_hilbert_calculus.v;StructuredTypeEvaluation;2;2;28.35960260599213;5841
./d_hilbert_calculus.v;StructuredTypeEvaluation;2;5;36.82135807414606;5839
./d_hilbert_calculus.v;StructuredTypeEvaluation;5;1;29.089098649084494;5990
./d_hilbert_calculus.v;StructuredTypeEvaluation;5;2;33.74312395132679;6047
./d_hilbert_calculus.v;StructuredTypeEvaluation;5;5;37.61941877265476;5996
./d_hilbert_calculus.v;SelectiveUnification;1;1;0;5859
./d_hilbert_calculus.v;SelectiveUnification;1;2;0;5815
./d_hilbert_calculus.v;SelectiveUnification;1;5;33.83520787807779;5824
./d_hilbert_calculus.v;SelectiveUnification;2;1;0;5863
./d_hilbert_calculus.v;SelectiveUnification;2;2;28.35960260599213;5854
./d_hilbert_calculus.v;SelectiveUnification;2;5;36.82135807414606;5904
./d_hilbert_calculus.v;SelectiveUnification;5;1;29.089098649084494;5940
./d_hilbert_calculus.v;SelectiveUnification;5;2;33.74312395132679;5990
./d_hilbert_calculus.v;SelectiveUnification;5;5;37.61941877265476;6001
./d_hilbert_calculus.v;SelectiveSplitUnification;1;1;0;5878
./d_hilbert_calculus.v;SelectiveSplitUnification;1;2;0;5879
./d_hilbert_calculus.v;SelectiveSplitUnification;1;5;33.83520787807779;5821
./d_hilbert_calculus.v;SelectiveSplitUnification;2;1;0;5901
./d_hilbert_calculus.v;SelectiveSplitUnification;2;2;28.35960260599213;5844
./d_hilbert_calculus.v;SelectiveSplitUnification;2;5;36.82135807414606;5922
./d_hilbert_calculus.v;SelectiveSplitUnification;5;1;29.089098649084494;6012
./d_hilbert_calculus.v;SelectiveSplitUnification;5;2;33.74312395132679;6037
./d_hilbert_calculus.v;SelectiveSplitUnification;5;5;37.61941877265476;6031
./d_hilbert_calculus.v;Basic;0;0;14.043940365810109;5960
./d_hilbert_calculus.v;SimpleUnification;0;0;35.70797968706574;6416
./d_hilbert_calculus.v;SimpleSplitUnification;0;0;35.70797968706574;6313
