File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Schroeder.v;SimpleTypeIntersection;0;0;68.39454928078969;5371
./Schroeder.v;SplitTypeIntersection;0;0;70.88325098855522;5930
./Schroeder.v;StructuredTypeEvaluation;1;1;0;4562
./Schroeder.v;StructuredTypeEvaluation;1;2;29.496753195136723;4708
./Schroeder.v;StructuredTypeEvaluation;1;5;77.57733481455654;4898
./Schroeder.v;StructuredTypeEvaluation;2;1;44.42791051733608;4630
./Schroeder.v;StructuredTypeEvaluation;2;2;75.05659798198671;4876
./Schroeder.v;StructuredTypeEvaluation;2;5;85.2944468266127;4713
./Schroeder.v;StructuredTypeEvaluation;5;1;70.25995388470501;4780
./Schroeder.v;StructuredTypeEvaluation;5;2;82.08878243223072;4698
./Schroeder.v;StructuredTypeEvaluation;5;5;87.07424146181843;4701
./Schroeder.v;SelectiveUnification;1;1;0;4480
./Schroeder.v;SelectiveUnification;1;2;29.496753195136723;4665
./Schroeder.v;SelectiveUnification;1;5;77.57733481455654;4612
./Schroeder.v;SelectiveUnification;2;1;44.42791051733608;4753
./Schroeder.v;SelectiveUnification;2;2;75.05659798198671;4639
./Schroeder.v;SelectiveUnification;2;5;85.2944468266127;4667
./Schroeder.v;SelectiveUnification;5;1;70.25995388470501;4743
./Schroeder.v;SelectiveUnification;5;2;82.08878243223072;4727
./Schroeder.v;SelectiveUnification;5;5;87.07424146181843;5025
./Schroeder.v;SelectiveSplitUnification;1;1;0;4559
./Schroeder.v;SelectiveSplitUnification;1;2;29.496753195136723;4576
./Schroeder.v;SelectiveSplitUnification;1;5;77.57733481455654;4600
./Schroeder.v;SelectiveSplitUnification;2;1;44.42791051733608;4634
./Schroeder.v;SelectiveSplitUnification;2;2;75.05659798198671;4694
./Schroeder.v;SelectiveSplitUnification;2;5;85.2944468266127;4616
./Schroeder.v;SelectiveSplitUnification;5;1;70.25995388470501;4728
./Schroeder.v;SelectiveSplitUnification;5;2;82.08878243223072;4790
./Schroeder.v;SelectiveSplitUnification;5;5;87.07424146181843;5091
./Schroeder.v;Basic;0;0;13.263285056461621;4756
./Schroeder.v;SimpleUnification;0;0;68.39454928078969;5298
./Schroeder.v;SimpleSplitUnification;0;0;68.39454928078969;5313
