File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./egaliteTS.v;SimpleTypeIntersection;0;0;NaN;20
./egaliteTS.v;SplitTypeIntersection;0;0;NaN;25
./egaliteTS.v;StructuredTypeEvaluation;1;1;NaN;26
./egaliteTS.v;StructuredTypeEvaluation;1;2;NaN;22
./egaliteTS.v;StructuredTypeEvaluation;1;5;NaN;23
./egaliteTS.v;StructuredTypeEvaluation;2;1;NaN;22
./egaliteTS.v;StructuredTypeEvaluation;2;2;NaN;27
./egaliteTS.v;StructuredTypeEvaluation;2;5;NaN;34
./egaliteTS.v;StructuredTypeEvaluation;5;1;NaN;30
./egaliteTS.v;StructuredTypeEvaluation;5;2;NaN;22
./egaliteTS.v;StructuredTypeEvaluation;5;5;NaN;23
./egaliteTS.v;SelectiveUnification;1;1;NaN;32
./egaliteTS.v;SelectiveUnification;1;2;NaN;30
./egaliteTS.v;SelectiveUnification;1;5;NaN;23
./egaliteTS.v;SelectiveUnification;2;1;NaN;24
./egaliteTS.v;SelectiveUnification;2;2;NaN;20
./egaliteTS.v;SelectiveUnification;2;5;NaN;21
./egaliteTS.v;SelectiveUnification;5;1;NaN;31
./egaliteTS.v;SelectiveUnification;5;2;NaN;33
./egaliteTS.v;SelectiveUnification;5;5;NaN;21
./egaliteTS.v;SelectiveSplitUnification;1;1;NaN;21
./egaliteTS.v;SelectiveSplitUnification;1;2;NaN;19
./egaliteTS.v;SelectiveSplitUnification;1;5;NaN;25
./egaliteTS.v;SelectiveSplitUnification;2;1;NaN;29
./egaliteTS.v;SelectiveSplitUnification;2;2;NaN;32
./egaliteTS.v;SelectiveSplitUnification;2;5;NaN;20
./egaliteTS.v;SelectiveSplitUnification;5;1;NaN;18
./egaliteTS.v;SelectiveSplitUnification;5;2;NaN;20
./egaliteTS.v;SelectiveSplitUnification;5;5;NaN;22
./egaliteTS.v;Basic;0;0;NaN;28
./egaliteTS.v;SimpleUnification;0;0;NaN;26
./egaliteTS.v;SimpleSplitUnification;0;0;NaN;21
