File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./pigeonhole.v;SimpleTypeIntersection;0;0;0;3060
./pigeonhole.v;SplitTypeIntersection;0;0;0;3722
./pigeonhole.v;StructuredTypeEvaluation;1;1;0;1854
./pigeonhole.v;StructuredTypeEvaluation;1;2;0;1916
./pigeonhole.v;StructuredTypeEvaluation;1;5;0;1991
./pigeonhole.v;StructuredTypeEvaluation;2;1;0;1876
./pigeonhole.v;StructuredTypeEvaluation;2;2;0;1989
./pigeonhole.v;StructuredTypeEvaluation;2;5;0;1998
./pigeonhole.v;StructuredTypeEvaluation;5;1;0;2162
./pigeonhole.v;StructuredTypeEvaluation;5;2;0;2104
./pigeonhole.v;StructuredTypeEvaluation;5;5;0;1993
./pigeonhole.v;SelectiveUnification;1;1;0;1876
./pigeonhole.v;SelectiveUnification;1;2;0;1907
./pigeonhole.v;SelectiveUnification;1;5;0;2025
./pigeonhole.v;SelectiveUnification;2;1;0;1893
./pigeonhole.v;SelectiveUnification;2;2;0;2018
./pigeonhole.v;SelectiveUnification;2;5;0;1980
./pigeonhole.v;SelectiveUnification;5;1;0;2122
./pigeonhole.v;SelectiveUnification;5;2;0;2107
./pigeonhole.v;SelectiveUnification;5;5;0;2012
./pigeonhole.v;SelectiveSplitUnification;1;1;0;1942
./pigeonhole.v;SelectiveSplitUnification;1;2;0;1882
./pigeonhole.v;SelectiveSplitUnification;1;5;0;2011
./pigeonhole.v;SelectiveSplitUnification;2;1;0;1960
./pigeonhole.v;SelectiveSplitUnification;2;2;0;1997
./pigeonhole.v;SelectiveSplitUnification;2;5;0;1997
./pigeonhole.v;SelectiveSplitUnification;5;1;0;2107
./pigeonhole.v;SelectiveSplitUnification;5;2;0;2069
./pigeonhole.v;SelectiveSplitUnification;5;5;0;2057
./pigeonhole.v;Basic;0;0;0;1683
./pigeonhole.v;SimpleUnification;0;0;0;2990
./pigeonhole.v;SimpleSplitUnification;0;0;0;2999
