File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./AltAuto.v;SimpleTypeIntersection;0;0;77.29690157351935;97712
./AltAuto.v;SplitTypeIntersection;0;0;73.04810183413909;117966
./AltAuto.v;StructuredTypeEvaluation;1;1;36.085832178745775;56240
./AltAuto.v;StructuredTypeEvaluation;1;2;42.89928380126804;56290
./AltAuto.v;StructuredTypeEvaluation;1;5;73.69910858306939;55970
./AltAuto.v;StructuredTypeEvaluation;2;1;47.341012703399;57540
./AltAuto.v;StructuredTypeEvaluation;2;2;71.32856266533824;57042
./AltAuto.v;StructuredTypeEvaluation;2;5;74.14433698100909;57536
./AltAuto.v;StructuredTypeEvaluation;5;1;70.73492025913141;59918
./AltAuto.v;StructuredTypeEvaluation;5;2;74.4658290571043;59951
./AltAuto.v;StructuredTypeEvaluation;5;5;74.5078067371763;60506
./AltAuto.v;SelectiveUnification;1;1;35.84553294440779;57130
./AltAuto.v;SelectiveUnification;1;2;40.18429864553483;56525
./AltAuto.v;SelectiveUnification;1;5;70.19759561085787;56570
./AltAuto.v;SelectiveUnification;2;1;41.80972052122465;57114
./AltAuto.v;SelectiveUnification;2;2;65.28708678617427;57225
./AltAuto.v;SelectiveUnification;2;5;67.97790549998936;57300
./AltAuto.v;SelectiveUnification;5;1;61.831480499002076;60768
./AltAuto.v;SelectiveUnification;5;2;65.52394141948088;61026
./AltAuto.v;SelectiveUnification;5;5;65.40251562020305;61272
./AltAuto.v;SelectiveSplitUnification;1;1;35.89399897033842;57893
./AltAuto.v;SelectiveSplitUnification;1;2;40.23776541573793;57146
./AltAuto.v;SelectiveSplitUnification;1;5;70.13992379461676;57188
./AltAuto.v;SelectiveSplitUnification;2;1;41.85518103389774;59251
./AltAuto.v;SelectiveSplitUnification;2;2;65.25742431897127;59060
./AltAuto.v;SelectiveSplitUnification;2;5;67.92023368374825;59150
./AltAuto.v;SelectiveSplitUnification;5;1;61.789485364498034;61722
./AltAuto.v;SelectiveSplitUnification;5;2;65.37872847380986;61849
./AltAuto.v;SelectiveSplitUnification;5;5;65.34484380396195;60803
./AltAuto.v;Basic;0;0;0.7341789169716548;48957
./AltAuto.v;SimpleUnification;0;0;68.45882320512993;100176
./AltAuto.v;SimpleSplitUnification;0;0;68.35789752670797;95910
