File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./AutoTest.v;SimpleTypeIntersection;0;0;NaN;24
./AutoTest.v;SplitTypeIntersection;0;0;NaN;31
./AutoTest.v;StructuredTypeEvaluation;1;1;NaN;24
./AutoTest.v;StructuredTypeEvaluation;1;2;NaN;24
./AutoTest.v;StructuredTypeEvaluation;1;5;NaN;24
./AutoTest.v;StructuredTypeEvaluation;2;1;NaN;25
./AutoTest.v;StructuredTypeEvaluation;2;2;NaN;30
./AutoTest.v;StructuredTypeEvaluation;2;5;NaN;26
./AutoTest.v;StructuredTypeEvaluation;5;1;NaN;31
./AutoTest.v;StructuredTypeEvaluation;5;2;NaN;29
./AutoTest.v;StructuredTypeEvaluation;5;5;NaN;24
./AutoTest.v;SelectiveUnification;1;1;NaN;22
./AutoTest.v;SelectiveUnification;1;2;NaN;26
./AutoTest.v;SelectiveUnification;1;5;NaN;24
./AutoTest.v;SelectiveUnification;2;1;NaN;30
./AutoTest.v;SelectiveUnification;2;2;NaN;33
./AutoTest.v;SelectiveUnification;2;5;NaN;32
./AutoTest.v;SelectiveUnification;5;1;NaN;26
./AutoTest.v;SelectiveUnification;5;2;NaN;23
./AutoTest.v;SelectiveUnification;5;5;NaN;25
./AutoTest.v;SelectiveSplitUnification;1;1;NaN;20
./AutoTest.v;SelectiveSplitUnification;1;2;NaN;22
./AutoTest.v;SelectiveSplitUnification;1;5;NaN;27
./AutoTest.v;SelectiveSplitUnification;2;1;NaN;29
./AutoTest.v;SelectiveSplitUnification;2;2;NaN;29
./AutoTest.v;SelectiveSplitUnification;2;5;NaN;20
./AutoTest.v;SelectiveSplitUnification;5;1;NaN;19
./AutoTest.v;SelectiveSplitUnification;5;2;NaN;20
./AutoTest.v;SelectiveSplitUnification;5;5;NaN;23
./AutoTest.v;Basic;0;0;NaN;27
./AutoTest.v;SimpleUnification;0;0;NaN;24
./AutoTest.v;SimpleSplitUnification;0;0;NaN;30
