File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./ImpParser.v;SimpleTypeIntersection;0;0;NaN;23
./ImpParser.v;SplitTypeIntersection;0;0;NaN;23
./ImpParser.v;StructuredTypeEvaluation;1;1;NaN;31
./ImpParser.v;StructuredTypeEvaluation;1;2;NaN;26
./ImpParser.v;StructuredTypeEvaluation;1;5;NaN;22
./ImpParser.v;StructuredTypeEvaluation;2;1;NaN;21
./ImpParser.v;StructuredTypeEvaluation;2;2;NaN;22
./ImpParser.v;StructuredTypeEvaluation;2;5;NaN;26
./ImpParser.v;StructuredTypeEvaluation;5;1;NaN;30
./ImpParser.v;StructuredTypeEvaluation;5;2;NaN;25
./ImpParser.v;StructuredTypeEvaluation;5;5;NaN;26
./ImpParser.v;SelectiveUnification;1;1;NaN;21
./ImpParser.v;SelectiveUnification;1;2;NaN;23
./ImpParser.v;SelectiveUnification;1;5;NaN;26
./ImpParser.v;SelectiveUnification;2;1;NaN;19
./ImpParser.v;SelectiveUnification;2;2;NaN;20
./ImpParser.v;SelectiveUnification;2;5;NaN;20
./ImpParser.v;SelectiveUnification;5;1;NaN;20
./ImpParser.v;SelectiveUnification;5;2;NaN;22
./ImpParser.v;SelectiveUnification;5;5;NaN;19
./ImpParser.v;SelectiveSplitUnification;1;1;NaN;21
./ImpParser.v;SelectiveSplitUnification;1;2;NaN;23
./ImpParser.v;SelectiveSplitUnification;1;5;NaN;26
./ImpParser.v;SelectiveSplitUnification;2;1;NaN;21
./ImpParser.v;SelectiveSplitUnification;2;2;NaN;19
./ImpParser.v;SelectiveSplitUnification;2;5;NaN;21
./ImpParser.v;SelectiveSplitUnification;5;1;NaN;21
./ImpParser.v;SelectiveSplitUnification;5;2;NaN;19
./ImpParser.v;SelectiveSplitUnification;5;5;NaN;21
./ImpParser.v;Basic;0;0;NaN;24
./ImpParser.v;SimpleUnification;0;0;NaN;24
./ImpParser.v;SimpleSplitUnification;0;0;NaN;21
