File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./ImpParserTest.v;SimpleTypeIntersection;0;0;NaN;16
./ImpParserTest.v;SplitTypeIntersection;0;0;NaN;28
./ImpParserTest.v;StructuredTypeEvaluation;1;1;NaN;40
./ImpParserTest.v;StructuredTypeEvaluation;1;2;NaN;30
./ImpParserTest.v;StructuredTypeEvaluation;1;5;NaN;35
./ImpParserTest.v;StructuredTypeEvaluation;2;1;NaN;32
./ImpParserTest.v;StructuredTypeEvaluation;2;2;NaN;27
./ImpParserTest.v;StructuredTypeEvaluation;2;5;NaN;26
./ImpParserTest.v;StructuredTypeEvaluation;5;1;NaN;21
./ImpParserTest.v;StructuredTypeEvaluation;5;2;NaN;28
./ImpParserTest.v;StructuredTypeEvaluation;5;5;NaN;26
./ImpParserTest.v;SelectiveUnification;1;1;NaN;23
./ImpParserTest.v;SelectiveUnification;1;2;NaN;25
./ImpParserTest.v;SelectiveUnification;1;5;NaN;25
./ImpParserTest.v;SelectiveUnification;2;1;NaN;24
./ImpParserTest.v;SelectiveUnification;2;2;NaN;29
./ImpParserTest.v;SelectiveUnification;2;5;NaN;24
./ImpParserTest.v;SelectiveUnification;5;1;NaN;29
./ImpParserTest.v;SelectiveUnification;5;2;NaN;29
./ImpParserTest.v;SelectiveUnification;5;5;NaN;26
./ImpParserTest.v;SelectiveSplitUnification;1;1;NaN;24
./ImpParserTest.v;SelectiveSplitUnification;1;2;NaN;21
./ImpParserTest.v;SelectiveSplitUnification;1;5;NaN;21
./ImpParserTest.v;SelectiveSplitUnification;2;1;NaN;23
./ImpParserTest.v;SelectiveSplitUnification;2;2;NaN;29
./ImpParserTest.v;SelectiveSplitUnification;2;5;NaN;28
./ImpParserTest.v;SelectiveSplitUnification;5;1;NaN;19
./ImpParserTest.v;SelectiveSplitUnification;5;2;NaN;20
./ImpParserTest.v;SelectiveSplitUnification;5;5;NaN;24
./ImpParserTest.v;Basic;0;0;NaN;34
./ImpParserTest.v;SimpleUnification;0;0;NaN;28
./ImpParserTest.v;SimpleSplitUnification;0;0;NaN;23
