File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Maps.v;SimpleTypeIntersection;0;0;43.977669615605606;8024
./Maps.v;SplitTypeIntersection;0;0;46.9419871982865;8961
./Maps.v;StructuredTypeEvaluation;1;1;35.508593443180004;4906
./Maps.v;StructuredTypeEvaluation;1;2;49.11540954597007;4890
./Maps.v;StructuredTypeEvaluation;1;5;76.38154727714839;5157
./Maps.v;StructuredTypeEvaluation;2;1;64.20005923831472;5074
./Maps.v;StructuredTypeEvaluation;2;2;75.92778994863069;5109
./Maps.v;StructuredTypeEvaluation;2;5;76.2831696378563;5181
./Maps.v;StructuredTypeEvaluation;5;1;70.10421949720403;5572
./Maps.v;StructuredTypeEvaluation;5;2;74.50833474458159;5479
./Maps.v;StructuredTypeEvaluation;5;5;74.27878691956677;5637
./Maps.v;SelectiveUnification;1;1;39.832633867877966;4991
./Maps.v;SelectiveUnification;1;2;48.55488578721292;4864
./Maps.v;SelectiveUnification;1;5;74.43229730791946;5103
./Maps.v;SelectiveUnification;2;1;66.2019298053045;5126
./Maps.v;SelectiveUnification;2;2;74.17071955383278;5167
./Maps.v;SelectiveUnification;2;5;74.27729532973252;5289
./Maps.v;SelectiveUnification;5;1;71.78579077347548;5421
./Maps.v;SelectiveUnification;5;2;72.52247914212772;5473
./Maps.v;SelectiveUnification;5;5;72.34097621072064;5565
./Maps.v;SelectiveSplitUnification;1;1;39.832633867877966;4926
./Maps.v;SelectiveSplitUnification;1;2;48.55488578721292;4852
./Maps.v;SelectiveSplitUnification;1;5;74.43229730791946;5143
./Maps.v;SelectiveSplitUnification;2;1;66.2019298053045;5003
./Maps.v;SelectiveSplitUnification;2;2;74.17071955383278;5395
./Maps.v;SelectiveSplitUnification;2;5;74.27729532973252;5390
./Maps.v;SelectiveSplitUnification;5;1;71.78579077347548;5478
./Maps.v;SelectiveSplitUnification;5;2;72.52247914212772;5355
./Maps.v;SelectiveSplitUnification;5;5;72.34097621072064;5594
./Maps.v;Basic;0;0;15.90619304834861;4569
./Maps.v;SimpleUnification;0;0;42.1159299883051;7880
./Maps.v;SimpleSplitUnification;0;0;42.1159299883051;7693
