File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Postscript.v;SimpleTypeIntersection;0;0;NaN;21
./Postscript.v;SplitTypeIntersection;0;0;NaN;19
./Postscript.v;StructuredTypeEvaluation;1;1;NaN;23
./Postscript.v;StructuredTypeEvaluation;1;2;NaN;34
./Postscript.v;StructuredTypeEvaluation;1;5;NaN;30
./Postscript.v;StructuredTypeEvaluation;2;1;NaN;26
./Postscript.v;StructuredTypeEvaluation;2;2;NaN;21
./Postscript.v;StructuredTypeEvaluation;2;5;NaN;18
./Postscript.v;StructuredTypeEvaluation;5;1;NaN;20
./Postscript.v;StructuredTypeEvaluation;5;2;NaN;28
./Postscript.v;StructuredTypeEvaluation;5;5;NaN;30
./Postscript.v;SelectiveUnification;1;1;NaN;33
./Postscript.v;SelectiveUnification;1;2;NaN;27
./Postscript.v;SelectiveUnification;1;5;NaN;26
./Postscript.v;SelectiveUnification;2;1;NaN;24
./Postscript.v;SelectiveUnification;2;2;NaN;33
./Postscript.v;SelectiveUnification;2;5;NaN;32
./Postscript.v;SelectiveUnification;5;1;NaN;22
./Postscript.v;SelectiveUnification;5;2;NaN;19
./Postscript.v;SelectiveUnification;5;5;NaN;20
./Postscript.v;SelectiveSplitUnification;1;1;NaN;25
./Postscript.v;SelectiveSplitUnification;1;2;NaN;31
./Postscript.v;SelectiveSplitUnification;1;5;NaN;30
./Postscript.v;SelectiveSplitUnification;2;1;NaN;30
./Postscript.v;SelectiveSplitUnification;2;2;NaN;30
./Postscript.v;SelectiveSplitUnification;2;5;NaN;25
./Postscript.v;SelectiveSplitUnification;5;1;NaN;30
./Postscript.v;SelectiveSplitUnification;5;2;NaN;27
./Postscript.v;SelectiveSplitUnification;5;5;NaN;21
./Postscript.v;Basic;0;0;NaN;23
./Postscript.v;SimpleUnification;0;0;NaN;23
./Postscript.v;SimpleSplitUnification;0;0;NaN;23
