File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./PostscriptTest.v;SimpleTypeIntersection;0;0;NaN;20
./PostscriptTest.v;SplitTypeIntersection;0;0;NaN;20
./PostscriptTest.v;StructuredTypeEvaluation;1;1;NaN;23
./PostscriptTest.v;StructuredTypeEvaluation;1;2;NaN;30
./PostscriptTest.v;StructuredTypeEvaluation;1;5;NaN;19
./PostscriptTest.v;StructuredTypeEvaluation;2;1;NaN;18
./PostscriptTest.v;StructuredTypeEvaluation;2;2;NaN;18
./PostscriptTest.v;StructuredTypeEvaluation;2;5;NaN;19
./PostscriptTest.v;StructuredTypeEvaluation;5;1;NaN;20
./PostscriptTest.v;StructuredTypeEvaluation;5;2;NaN;22
./PostscriptTest.v;StructuredTypeEvaluation;5;5;NaN;21
./PostscriptTest.v;SelectiveUnification;1;1;NaN;21
./PostscriptTest.v;SelectiveUnification;1;2;NaN;19
./PostscriptTest.v;SelectiveUnification;1;5;NaN;21
./PostscriptTest.v;SelectiveUnification;2;1;NaN;19
./PostscriptTest.v;SelectiveUnification;2;2;NaN;20
./PostscriptTest.v;SelectiveUnification;2;5;NaN;20
./PostscriptTest.v;SelectiveUnification;5;1;NaN;20
./PostscriptTest.v;SelectiveUnification;5;2;NaN;20
./PostscriptTest.v;SelectiveUnification;5;5;NaN;20
./PostscriptTest.v;SelectiveSplitUnification;1;1;NaN;23
./PostscriptTest.v;SelectiveSplitUnification;1;2;NaN;22
./PostscriptTest.v;SelectiveSplitUnification;1;5;NaN;27
./PostscriptTest.v;SelectiveSplitUnification;2;1;NaN;30
./PostscriptTest.v;SelectiveSplitUnification;2;2;NaN;24
./PostscriptTest.v;SelectiveSplitUnification;2;5;NaN;28
./PostscriptTest.v;SelectiveSplitUnification;5;1;NaN;19
./PostscriptTest.v;SelectiveSplitUnification;5;2;NaN;23
./PostscriptTest.v;SelectiveSplitUnification;5;5;NaN;19
./PostscriptTest.v;Basic;0;0;NaN;22
./PostscriptTest.v;SimpleUnification;0;0;NaN;23
./PostscriptTest.v;SimpleSplitUnification;0;0;NaN;26
