File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./IZF_base.v;Shuffle;;;95;21;apply;EQV_intro;-1;eq_refl_map_distr;ex_of_sig;or_comm;rew_pair;Nat.sqrt_iter;Decimal.D1;eq_trans_refl_r;prod_sigT_prod;Acc_inv;eq_sig_hprop
./IZF_base.v;Shuffle;;;95;22;apply;EQV_intro;-1;EQV;Empty_set_rec;eq_refl_map_distr;ex_of_sig;eq_trans_refl_r;eq_sig_hprop;eq_ex_intro;ex_sind;eq_ex2_rect_uncurried;eq_sig2_ind
./IZF_base.v;Shuffle;;;95;23;apply;EQV_intro;-1;EQV;eq_refl_map_distr;eq_trans_refl_r;eq_sig_hprop;eq_ex_intro;eq_ex2_rect_uncurried;eq_sig2_ind;eq_ex2_nondep;eq_ex;eq_trans_assoc
./IZF_base.v;Shuffle;;;95;24;apply;EQV_intro;-1;EQV;eq_trans_sym_inv_r;;;;;;;;
./IZF_base.v;Shuffle;;;95;25;apply;EQV_intro;-1;eq_trans_sym_inv_r;;;;;;;;;
./IZF_base.v;Shuffle;;;95;26;apply;EQV_intro;-1;;;;;;;;;;
./IZF_base.v;Shuffle;;;95;27;apply;EQV_intro;-1;;;;;;;;;;
./IZF_base.v;Shuffle;;;95;28;apply;EQV_intro;-1;;;;;;;;;;
./IZF_base.v;Shuffle;;;95;29;apply;EQV_intro;-1;;;;;;;;;;
./IZF_base.v;Shuffle;;;95;30;apply;EQV_intro;-1;;;;;;;;;;
./IZF_base.v;Shuffle;;;97;28;apply;ex2_intro;100;Decimal.uint_of_uint;Decimal.norm;Byte.xc6;Byte.xe9;comparison_ind;le_n_S;nat_rect_succ_r;Byte.xec;Byte.x96;sum_ind
./IZF_base.v;Shuffle;;;97;29;apply;ex2_intro;19;eq_sig_rect_uncurried;eq;eq_existT2_curried;eq_sig_rect_exist_l;exist;except;existT2;eq_ex2_eta;ex_proj1;eq_sigT2_nondep
./IZF_base.v;Shuffle;;;97;30;apply;ex2_intro;8;ex;exist;except;existT2;ex_proj1;ex_intro;ex2_rect;ex_rect;ex2_intro;ex2_sind
./IZF_base.v;Shuffle;;;97;31;apply;ex2_intro;2;ex2;ex2_rect;ex2_intro;ex2_sind;ex2_ind;ex2_eta;exist2;existT2;ex_proj2;ex_of_ex2_eq
./IZF_base.v;Shuffle;;;97;32;apply;ex2_intro;1;ex2_rect;ex2_intro;ex2_sind;ex2_ind;ex2_eta;ex_proj2;ex_of_ex2_eq;eq_ex2_eta;eq_ex2_ind_uncurried;eq_ex2_uncurried
./IZF_base.v;Shuffle;;;97;33;apply;ex2_intro;0;ex2_intro;ex2_ind;ex2_sind;eq_ex2_ind_uncurried;eq_ex2_rect_ex_intro2;eq_ex2_uncurried;eq_existT2_curried;eq_existT2_uncurried;eq_ex_intro2_uncurried;
./IZF_base.v;Shuffle;;;97;34;apply;ex2_intro;0;ex2_intro;ex2_ind;ex2_sind;eq_ex2_ind_uncurried;eq_ex2_rect_ex_intro2;eq_ex2_uncurried;eq_existT2_uncurried;eq_ex_intro2_uncurried;;
./IZF_base.v;Shuffle;;;97;35;apply;ex2_intro;0;ex2_intro;eq_ex2_rect_ex_intro2;;;;;;;;
./IZF_base.v;Shuffle;;;97;36;apply;ex2_intro;0;ex2_intro;eq_ex2_rect_ex_intro2;;;;;;;;
./IZF_base.v;Shuffle;;;97;37;apply;ex2_intro;0;ex2_intro;eq_ex2_rect_ex_intro2;;;;;;;;
