File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Cube.v;Shuffle;;;83;7;apply;Compat_Var;-1;Minus.pred_of_minus_stt;Nat.lt_lt_pred;or_introl;BinNat.N.le_antisymm;List.in_remove;BinInt.Z.gcd_mul_mono_r;BinNat.N.Private_NDivProp.div_0_l;Nat.leb_le;BinNat.N.divide_refl;List.last
./Cube.v;Shuffle;;;83;8;apply;Compat_Var;-1;CMorphisms.proper_proper;CMorphisms.trans_contra_inv_impl_type_morphism;Comp_Var;CMorphisms.subrelation_refl;CRelationClasses.flip_Equivalence;CRelationClasses.arrow;CRelationClasses.PER;CMorphisms.trans_co_impl_type_morphism;CMorphisms.forall_relation;CRelationClasses.impl_Transitive
./Cube.v;Shuffle;;;83;9;apply;Compat_Var;-1;Comp_Var;CompLt;comp_refl;CMorphisms.proper_proper;CMorphisms.trans_contra_inv_impl_type_morphism;CMorphisms.subrelation_refl;CMorphisms.trans_co_impl_type_morphism;CMorphisms.forall_relation;CMorphisms.proper_sym_impl_iff_2;CMorphisms.Reflexive_partial_app_morphism
./Cube.v;Shuffle;;;83;10;apply;Compat_Var;-1;Comp_Var;CompLt;comp_refl;CMorphisms.proper_proper;CMorphisms.trans_contra_inv_impl_type_morphism;CMorphisms.subrelation_refl;CMorphisms.trans_co_impl_type_morphism;CMorphisms.forall_relation;CMorphisms.proper_sym_impl_iff_2;CMorphisms.Reflexive_partial_app_morphism
./Cube.v;Shuffle;;;83;11;apply;Compat_Var;-1;Comp_Var;CompLt;comp_refl;CMorphisms.trans_contra_inv_impl_type_morphism;CMorphisms.subrelation_refl;CMorphisms.trans_co_impl_type_morphism;CMorphisms.forall_relation;CMorphisms.proper_proper;CMorphisms.proper_sym_impl_iff_2;leb_complete_conv
./Cube.v;Shuffle;;;83;12;apply;Compat_Var;-1;Comp_Var;CMorphisms.Reflexive_partial_app_morphism;and_iff_compat_r;Nat.eqb_compat;BinNat.N.compare_refl;BinInt.Z.compare_antisym;CMorphisms.trans_contra_inv_impl_type_morphism;CMorphisms.trans_co_impl_type_morphism;CMorphisms.forall_relation;CMorphisms.subrelation_refl
./Cube.v;Shuffle;;;83;13;apply;Compat_Var;-1;and_iff_compat_r;Nat.eqb_compat;CMorphisms.subrelation_refl;BinPos.Pos.lt_compat;CMorphisms.Reflexive_partial_app_morphism;BinNat.N.min_le_compat_l;Zorder.Zmult_ge_compat_r;Zorder.Zmult_lt_compat;BinInt.Z.quot_le_compat_l;CMorphisms.forall_relation
./Cube.v;Shuffle;;;83;14;apply;Compat_Var;-1;and_iff_compat_r;BinNat.N.min_le_compat_l;Zorder.Zmult_ge_compat_r;BinInt.Z.quot_le_compat_l;CMorphisms.subrelation_refl;CMorphisms.Reflexive_partial_app_morphism;BinInt.Z.compare_antisym;CMorphisms.trans_co_impl_type_morphism;CMorphisms.trans_contra_inv_impl_type_morphism;Morphisms.trans_contra_co_morphism_obligation_1
./Cube.v;Shuffle;;;83;15;apply;Compat_Var;-1;CMorphisms.trans_contra_inv_impl_type_morphism;;;;;;;;;
./Cube.v;Shuffle;;;83;16;apply;Compat_Var;-1;;;;;;;;;;
