File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Induction.v;Shuffle;;;158;38;rewrite ->;IHn';-1;inhabited_sind;PeanoNat.Nat.sub_0_l;List.Forall2_refl;BinNat.N.lt_exists_pred;List.app_assoc_reverse;BinInt.Z.gcd_sub_diag_r;BinNat.N.Private_NDivProp.mod_mul;PeanoNat.Nat.ltb_spec;BinNat.N.gcd_mul_diag_l;List.nil_cons
./Induction.v;Shuffle;;;158;39;rewrite ->;IHn';-1;InitialRing.radd_ext4;InitialRing.NotConstant;InitialRing.Zeqe;InitialRing.ropp_ext3;InitialRing.Nwopp_ok;inhabited_sind;BinInt.Z.gcd_sub_diag_r;BinInt.Z.ones_equiv;BinInt.Z.Private_NZDiv.mod_mul_r;BinInt.Z.quot_mul_le
./Induction.v;Shuffle;;;158;40;rewrite ->;IHn';-1;inhabited_sind;BinInt.Z.shiftl_spec;BinInt.Z.shiftl_nonneg;BinInt.Z.log2_shiftl;Operators_Properties.clos_refl_trans_ind_right;;;;;
./Induction.v;Shuffle;;;158;41;rewrite ->;IHn';-1;inhabited_sind;BinInt.Z.shiftl_spec;BinInt.Z.shiftl_nonneg;BinInt.Z.log2_shiftl;Operators_Properties.clos_refl_trans_ind_right;;;;;
./Induction.v;Shuffle;;;158;42;rewrite ->;IHn';-1;;;;;;;;;;
./Induction.v;Shuffle;;;187;23;rewrite ->;IHn';-1;True_sind;BinNat.N.log2_nonneg;Ring_theory.SRadd_ext;Ascii.compare;BinNat.N.Private_NZGcdProp.gcd_comm;List.NoDup_ind;PeanoNat.Nat.testbit_spec;Ring_polynom.PaddI;BinPos.Dcompare;BinInt.Z.sgn_pos
./Induction.v;Shuffle;;;187;24;rewrite ->;IHn';-1;InitialRing.gen_phiNword;InitialRing.gen_Zeqb_ok;Init.Unconvertible;InitialRing.ropp_ext5_Proper;InitialRing.radd_ext3;iff_refl;BinInt.Z.sgn_pos;BinInt.Z.log2_le_mono;BinInt.Zplus_minus_eq;BinInt.Z.leb_spec
./Induction.v;Shuffle;;;187;25;rewrite ->;IHn';-1;BinInt.Z.shiftr_ldiff;BinInt.Z.shiftr_wd;BinInt.Z.shiftl_shiftl;BinInt.Z.shiftr_spec;BinInt.Z.shiftr_div_pow2;List.In_nth_error;InitialRing.gen_phiNword;Morphisms_Prop.all_iff_morphism_obligation_1;Morphisms_Prop.not_iff_morphism_obligation_1;Morphisms_Prop.or_impl_morphism
./Induction.v;Shuffle;;;187;26;rewrite ->;IHn';-1;InitialRing.gen_phiNword;BinInt.Z.shiftr_ldiff;BinInt.Z.shiftr_wd;BinInt.Z.shiftl_shiftl;BinInt.Z.shiftr_spec;BinInt.Z.shiftr_div_pow2;List.In_nth_error;CMorphisms.trans_contra_inv_impl_type_morphism;Morphisms_Prop.all_iff_morphism_obligation_1;Morphisms_Prop.not_iff_morphism_obligation_1
./Induction.v;Shuffle;;;187;27;rewrite ->;IHn';-1;;;;;;;;;;
