File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Poly.v;Shuffle;;;396;23;rewrite ->;IHl';-1;Morphisms_Prop.all_flip_impl_morphism;PeanoNat.Nat.testbit_odd_0;eq_ex_rect_ex_intro;BinNat.N.add_sub_eq_l;List.lel_tail;BinInt.Z.lcm_unique;PeanoNat.Nat.Private_NDivProp.mod_unique;PeanoNat.Nat.mul_lt_mono_nonneg;BinNat.N.pow2_bits_false;List.combine_length
./Poly.v;Shuffle;;;396;24;rewrite ->;IHl';-1;InitialRing.rmul_ext3;InitialRing.R_setoid3_Reflexive;InitialRing.rmul_ext5;InitialRing.rmul_ext4_Proper;InitialRing.same_genZ;InitialRing.rmul_ext;id;inhabited_sig_to_exists;BinInt.Z.lcm_unique;BinInt.Z.Private_Tac.lt_le_trans
./Poly.v;Shuffle;;;396;25;rewrite ->;IHl';-1;inhabited_sig_to_exists;BinInt.Z.log2_shiftl';BinInt.Z.mod_pow2_bits_high;Ring_theory.IDmorph;Morphisms_Prop.ex_iff_morphism_obligation_1;Morphisms_Prop.all_flip_impl_morphism;Morphisms.trans_contra_inv_impl_morphism_obligation_1;;;
./Poly.v;Shuffle;;;396;26;rewrite ->;IHl';-1;BinInt.Z.log2_shiftl';Morphisms_Prop.ex_iff_morphism_obligation_1;Morphisms_Prop.all_flip_impl_morphism;Morphisms.trans_contra_inv_impl_morphism_obligation_1;;;;;;
./Poly.v;Shuffle;;;396;27;rewrite ->;IHl';-1;BinInt.Z.log2_shiftl';;;;;;;;;
./Poly.v;Shuffle;;;406;23;rewrite ->;IHl1';-1;n_Sn;Nnat.N2Nat.inj_pred;Zcompare.Zcompare_Lt_trans;Byte.x6f;PeanoNat.Nat.Private_OrderTac.Tac.eq_sym;Morphisms_Prop.all_impl_morphism;BinPos.Pos.add;sumbool;CMorphisms.StrictOrder_PartialOrder;BinInt.Z.log2_up_succ_double
./Poly.v;Shuffle;;;406;24;rewrite ->;IHl1';-1;InitialRing.rsub_ext3;InitialRing.radd_ext3_Proper;InitialRing.gen_phiN_add;InitialRing.Zeqe;InitialRing.R_setoid3_Reflexive;ID;inhabited_sig_to_exists;BinInt.Z.log2_up_succ_double;BinInt.Z.lcm_0_l;BinInt.Z.lt_dne
./Poly.v;Shuffle;;;406;25;rewrite ->;IHl1';-1;inhabited_sig_to_exists;BinInt.Z.of_hex_int;BinInt.Z.shiftl_neg;BinInt.Z.shiftr_shiftl_r;BinIntDef.Z.shiftr;InitialRing.gen_phiN_add;Morphisms_Prop.ex_iff_morphism;Morphisms_Prop.ex_impl_morphism_obligation_1;Morphisms_Prop.all_impl_morphism;Morphisms_Prop.and_impl_morphism_obligation_1
./Poly.v;Shuffle;;;406;26;rewrite ->;IHl1';-1;BinInt.Z.shiftl_neg;InitialRing.gen_phiN_add;BinInt.Z.shiftr_shiftl_r;Morphisms_Prop.ex_impl_morphism_obligation_1;Morphisms_Prop.all_impl_morphism;Morphisms_Prop.and_impl_morphism_obligation_1;;;;
./Poly.v;Shuffle;;;406;27;rewrite ->;IHl1';-1;Morphisms_Prop.ex_impl_morphism_obligation_1;Morphisms_Prop.and_impl_morphism_obligation_1;;;;;;;;
./Poly.v;Shuffle;;;406;28;rewrite ->;IHl1';-1;;;;;;;;;;
./Poly.v;Shuffle;;;415;23;rewrite ->;IHl1';-1;PeanoNat.Nat.add_shuffle2;BinNat.N.lt_add_pos_l;PeanoNat.Nat.Private_NZPow.pow_1_l;NatPlayground.nat'_rec;Pnat.Pos2Nat.inj_sub_max;PeanoNat.Nat.succ_inj;List.split_length_l;IDProp;BinInt.Z.abs_N;BinInt.Z.add_simpl_r
./Poly.v;Shuffle;;;415;24;rewrite ->;IHl1';-1;IDProp;InitialRing.NotConstant;InitialRing.gen_phiN;InitialRing.radd_ext_Proper;InitialRing.Nw_is0;InitialRing.R_set1_Symmetric;InitialRing.rsub_ext7_Proper;InitialRing.rsub_ext;InitialRing.triv_div_th;InitialRing.rmul_ext4_Proper
./Poly.v;Shuffle;;;415;25;rewrite ->;IHl1';-1;inhabits;InitialRing.hypo;BinIntDef.Z.to_hex_int;BinInt.Z.shiftr_shiftl_l;BinInt.Z.shiftl_opp_r;BinInt.Z.shiftl_eq_0_iff;InitialRing.gen_phiN;BinInt.Z.add_shuffle2;BinInt.Z.lt_trichotomy;BinInt.Z.strong_right_induction
./Poly.v;Shuffle;;;415;26;rewrite ->;IHl1';-1;InitialRing.hypo;BinInt.Z.lt_trichotomy;BinInt.Z.shiftl_opp_r;BinInt.Z.shiftl_eq_0_iff;BinInt.Z.shiftr_shiftl_l;InitialRing.gen_phiN;BinInt.Z.add_shuffle2;List.NoDup_incl_length;InitialRing.triv_div_th;InitialRing.Ztriv_div_th
./Poly.v;Shuffle;;;415;27;rewrite ->;IHl1';-1;Morphisms_Prop.all_iff_morphism_obligation_1;Morphisms_Prop.iff_iff_iff_impl_morphism_obligation_1;;;;;;;;
./Poly.v;Shuffle;;;415;28;rewrite ->;IHl1';-1;;;;;;;;;;
./Poly.v;Shuffle;;;428;23;rewrite ->;app_nil_r;-1;PeanoNat.Nat.sub_max_distr_r;BinNat.N.lt_neq;ex_of_ex2;BinPos.Pos.eqb_neq;Morphisms.did_normalization;Ring_theory.div_eucl_th;BinPos.Pos.min_glb_lt;PeanoNat.Nat.divide_mul_r;PeanoNat.Nat.le_add_l;Decimal.internal_decimal_dec_lb
./Poly.v;Shuffle;;;428;24;rewrite ->;app_nil_r;-1;append;append_correct2;add_0_r;add_assoc;Arith_prebase.lt_n_Sm_le;Ascii.ascii_sind;Ascii.byte_of_ascii_via_nat;ArithRing.protected_to_nat;Ascii.ascii;Ascii.byte_of_ascii_via_N
./Poly.v;Shuffle;;;428;25;rewrite ->;app_nil_r;-1;append;append_correct2;Arith_prebase.lt_n_Sm_le;List.app_eq_app;List.app_length;ArithRing.protected_to_nat;NatList.app;List.NoDup_app_remove_l;List.firstn_app;Hexadecimal.app_int
./Poly.v;Shuffle;;;428;26;rewrite ->;app_nil_r;-1;append;append_correct2;List.app_eq_app;List.app_length;NatList.app;List.NoDup_app_remove_l;List.firstn_app;Hexadecimal.app_int;NatList.nil_app;BinInt.Z.abs_eq_or_opp
./Poly.v;Shuffle;;;428;27;rewrite ->;app_nil_r;-1;append_correct2;List.app_eq_app;List.app_length;List.NoDup_app_remove_l;Hexadecimal.app_int;;;;;
./Poly.v;Shuffle;;;428;28;rewrite ->;app_nil_r;-1;append_correct2;List.app_length;Hexadecimal.app_int;;;;;;;
./Poly.v;Shuffle;;;428;29;rewrite ->;app_nil_r;-1;Hexadecimal.app_int;;;;;;;;;
./Poly.v;Shuffle;;;428;30;rewrite ->;app_nil_r;-1;;;;;;;;;;
./Poly.v;Shuffle;;;428;31;rewrite ->;app_nil_r;-1;;;;;;;;;;
./Poly.v;Shuffle;;;428;32;rewrite ->;app_nil_r;-1;;;;;;;;;;
./Poly.v;Shuffle;;;429;23;rewrite ->;IHl1;-1;BinInt.Z.log2_lor;PeanoNat.Nat.le_max_r;BinInt.Z.sqrt_up_eq_succ_iff_square;BinPos.Pos.shiftl_nat;BinInt.Z.odd_add_mul_even;BinInt.Z.le_le_sub_lt;PeanoNat.Nat.Private_NDivProp.add_mod_idemp_r;RelationClasses.asymmetry;BinPos.Pos.add_min_distr_r;Ring_polynom.rmul_ext_Proper
./Poly.v;Shuffle;;;429;24;rewrite ->;IHl1;-1;InitialRing.NwI;InitialRing.Nwmul;InitialRing.rsub_ext3_Proper;InitialRing.R_setoid3_Symmetric;InitialRing.gen_Zeqb_ok;InitialRing.radd_ext_Proper;BinInt.Z.log2_lor;BinInt.Z.sqrt_up_eq_succ_iff_square;BinInt.Z.odd_add_mul_even;BinInt.Z.le_le_sub_lt
