File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;20;apply;comp_2rel;-1;SLstar_context_app_r;SLstar_context_app_l;SL_context_app_r;SL_context_app_l;LSLstar_context_app;LSLstar_context_app_r;LSLstar_context_app_l;LSL_context_app_r;LSL_context_app_l;app_bpar
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;21;apply;comp_2rel;-1;conj;confluence_en;comp;cons;comparison;curry;CompSpecT;CompSpec;CompareSpecT;CompareSpec
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;22;apply;comp_2rel;-1;conj;confluence_en;comp;cons;comparison;CompSpecT;CompSpec;CompareSpecT;CompareSpec;CompOpp
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;23;apply;comp_2rel;-1;comp;comparison;CompSpecT;CompSpec;CompareSpecT;CompareSpec;CompOpp;or_comm;and_comm;Nat.compare
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;24;apply;comp_2rel;-1;comp;comparison;CompSpecT;CompSpec;CompareSpecT;CompareSpec;CompOpp;Nat.compare;or_iff_compat_r;or_iff_compat_l
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;25;apply;comp_2rel;-1;explicit_comp_rel_sind;explicit_comp_rel_ind;explicit_comp_rel;or_iff_compat_r;or_iff_compat_l;and_iff_compat_r;and_iff_compat_l;imp_iff_compat_r;imp_iff_compat_l;
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;26;apply;comp_2rel;-1;;;;;;;;;;
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;27;apply;comp_2rel;-1;;;;;;;;;;
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;28;apply;comp_2rel;-1;;;;;;;;;;
./SLstar_bpar_SLstar.v;StructuredTypeEvaluation;10;10;52;29;apply;comp_2rel;-1;;;;;;;;;;
