File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Lists.v;StructuredTypeEvaluation;10;10;598;23;rewrite ->;IHl1';0;IHl1';test_tl;test_app3;test_oddmembers;test_app2;test_nonzeros;test_alternate3;test_app1;test_alternate2;test_alternate1
./Lists.v;StructuredTypeEvaluation;10;10;598;24;rewrite ->;IHl1';0;IHl1';injective_projections;BinInt.Z.lor_eq_0_l;BinInt.Z.bits_inj_0;BinInt.Z.gcd_eq_0_r;BinInt.Z.gcd_eq_0_l;BinInt.Z.divide_0_l;BinInt.Z.sqrt_up_0;BinInt.Z.sqrt_0;BinInt.Z.pow_eq_0
./Lists.v;StructuredTypeEvaluation;10;10;598;25;rewrite ->;IHl1';0;IHl1';BinInt.Z.shiftr_0_l;BinInt.Z.shiftl_0_l;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;598;26;rewrite ->;IHl1';0;IHl1';BinInt.Z.shiftr_0_l;BinInt.Z.shiftl_0_l;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;598;27;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;598;28;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;680;16;rewrite <-;IHl';41;test_hd1;test_countoddmembers1;PeanoNat.Nat.Private_NZGcdProp.divide_1_r_nonneg;Pnat.Pos2Nat.inj_1;PeanoNat.Nat.divide_1_r;PeanoNat.Nat.one_succ;PeanoNat.Nat.Private_NZSqrt.sqrt_1;PeanoNat.Nat.sqrt_up_1;PeanoNat.Nat.sqrt_1;PeanoNat.Nat.pow_0_r
./Lists.v;StructuredTypeEvaluation;10;10;680;17;rewrite <-;IHl';0;IHl';BinInt.ZL0;plus_id_exercise;plus_id_example;double_incr;Between.in_int_p_Sq;test_bin_incr4;fst_swap_is_snd;test_bin_incr5;test_bin_incr6
./Lists.v;StructuredTypeEvaluation;10;10;680;18;rewrite <-;IHl';0;IHl';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;680;19;rewrite <-;IHl';0;IHl';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;680;20;rewrite <-;IHl';0;IHl';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;696;23;rewrite ->;IHl1';445;PeanoNat.Nat.one_succ;PeanoNat.Nat.two_succ;eq_S;not_eq_S;PeanoNat.Nat.succ_add_discr;PeanoNat.Nat.add_succ_r;PeanoNat.Nat.add_succ_l;plus_Sn_m;PeanoNat.Nat.succ_inj_wd;PeanoNat.Nat.succ_inj_wd_neg
./Lists.v;StructuredTypeEvaluation;10;10;696;24;rewrite ->;IHl1';0;IHl1';BinInt.ZL0;plus_id_exercise;plus_id_example;double_incr;Between.in_int_S;Between.in_int_p_Sq;test_bin_incr4;fst_swap_is_snd;test_bin_incr5
./Lists.v;StructuredTypeEvaluation;10;10;696;25;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;696;26;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;696;27;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;696;28;rewrite ->;IHl1';0;IHl1';;;;;;;;;
./Lists.v;StructuredTypeEvaluation;10;10;714;23;rewrite ->;app_length;0;app_length;test_hd1;test_countoddmembers1;PeanoNat.Nat.Private_NZGcdProp.divide_1_r_nonneg;Pnat.Pos2Nat.inj_1;PeanoNat.Nat.divide_1_r;PeanoNat.Nat.one_succ;PeanoNat.Nat.Private_NZSqrt.sqrt_1;PeanoNat.Nat.sqrt_up_1;PeanoNat.Nat.sqrt_1
