File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Coqoban_engine.v;SimpleTypeIntersection;;;257;9;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;257;10;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;257;11;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;257;12;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;257;13;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;257;49;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;257;50;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;257;51;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;9;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;10;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;11;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;12;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;13;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;49;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;50;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;259;51;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;9;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;10;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;11;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;12;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;13;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;49;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;50;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;261;51;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;9;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;10;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;11;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;12;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;13;apply;STEP;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;49;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;50;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;263;51;apply;OK;-2;;;;;;;;;;
./Coqoban_engine.v;SimpleTypeIntersection;;;299;7;apply;STEP;5;Board_rect;Board_ind;Board_rec;Board_sind;OK;STEP;Row_rect;Row_ind;Row_rec;Row_sind
./Coqoban_engine.v;SimpleTypeIntersection;;;299;8;apply;STEP;1;S;STEP;So;Some;solvable_ind;solvable_sind;sumor;sumbool;sum;stepnorth
