File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;99;11;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;99;12;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;99;13;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;100;11;apply;H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;100;12;apply;H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;110;11;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;110;12;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;110;13;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;111;11;apply;(H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;111;12;apply;(H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;111;13;apply;(H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;120;20;apply;H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;120;21;apply;H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;120;30;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;120;31;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;120;32;apply;H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;130;20;apply;(H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;130;21;apply;(H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;130;22;apply;(H;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;130;36;apply;(H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;130;37;apply;(H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;130;38;apply;(H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;130;39;apply;(H0;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;11;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;12;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;13;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;14;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;15;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;16;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;17;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;18;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;140;19;apply;(exists_;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;11;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;12;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;13;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;14;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;15;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;16;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;17;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;18;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;19;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;151;20;apply;(exists_T;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;11;apply;rsNextTick;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;12;apply;rsNextTick;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;13;apply;rsNextTick;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;14;apply;rsNextTick;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;15;apply;rsNextTick;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;16;apply;rsNextTick;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;17;apply;rsNextTick;-2;;;;;;;;;;
./TemporalOperators_Ind.v;SimpleTypeIntersection;;;160;18;apply;rsNextTick;-2;;;;;;;;;;
