File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./inv1rel7.v;StructuredUnification;1;1;30;9;rewrite;eq_l0;3139;iff_and;conj;Decidable.not_imp;Decidable.not_or;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0
./inv1rel7.v;StructuredUnification;1;1;30;10;rewrite;eq_l0;142;equivS;except;ex_of_sigT;ex_of_sig;existT;exist;eq;ex_of_ex2;ex2_sind;ex2_ind
./inv1rel7.v;StructuredUnification;1;1;30;11;rewrite;eq_l0;105;eq;equivS;Eq;eq_true_rect_r;eq_true_rec_r;eq_true_ind_r;eq_true;eq_rect_r;eq_rec_r;eq_ind_r
./inv1rel7.v;StructuredUnification;1;1;30;12;rewrite;eq_l0;93;eq_true_rect_r;eq_true_rec_r;eq_true_ind_r;eq_true;eq_rect_r;eq_rec_r;eq_ind_r;eq_sind_r;eq_sind;eq_rec
./inv1rel7.v;StructuredUnification;1;1;30;13;rewrite;eq_l0;0;eq_l0;eq_exist_l;eq_existT_l;eq_exist2_l;eq_existT2_l;eq_id_comm_l;eq_ex_intro_l;eq_ex_intro2_l;eq_refl;eq_refl_map_distr
./inv1rel7.v;StructuredUnification;1;1;30;14;rewrite;eq_l0;0;eq_l0;PeanoNat.Nat.eq_mul_0;PeanoNat.Nat.eq_mul_0_r;PeanoNat.Nat.eq_mul_0_l;;;;;;
./inv1rel7.v;StructuredUnification;1;1;34;7;apply;D2;1312;DecidableClass.Decidable_complete_alt;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Odd_0;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT
./inv1rel7.v;StructuredUnification;1;1;34;8;apply;D2;69;D;DecidableClass.Decidable_complete_alt;Decimal.Little.succ_double;Decimal.Little.double;Decimal.Little.succ;D2B;Decimal.int_of_int;Decimal.uint_of_uint;Decimal.del_tail_int;Decimal.del_tail
./inv1rel7.v;StructuredUnification;1;1;34;9;apply;D2;0;D2;D2B;d2;d20;d12;Decimal.D2;NoDup_remove_2;Hexadecimal.D2;Nat.div2;Decidable.or_not_r_iff_2
./inv1rel7.v;StructuredUnification;1;1;36;14;apply;C2;2133;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;36;15;apply;C2;124;C;CompSpecT;CompSpec;CompareSpecT;CompareSpec;CompOpp;CRelationClasses.PartialOrder;CRelationClasses.arrow_Transitive_obligation_1;CRelationClasses.arrow_Reflexive_obligation_1;CRelationClasses.impl_Transitive_obligation_1
./inv1rel7.v;StructuredUnification;1;1;36;16;apply;C2;0;C2;c2;Choice2;CompSpec2Type;CompareSpec2Type;CMorphisms.flip2;CMorphisms.proper_sym_flip_2;partition_cons2;CMorphisms.proper_sym_impl_iff_2;CMorphisms.proper_sym_arrow_iffT_2
./inv1rel7.v;StructuredUnification;1;1;36;26;apply;C3;2132;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;36;27;apply;C3;123;C;CompSpecT;CompSpec;CompareSpecT;CompareSpec;CompOpp;CRelationClasses.PartialOrder;CRelationClasses.arrow_Transitive_obligation_1;CRelationClasses.arrow_Reflexive_obligation_1;CRelationClasses.impl_Transitive_obligation_1
./inv1rel7.v;StructuredUnification;1;1;36;28;apply;C3;0;C3;RelationClasses.predicate_equivalence_equivalence_obligation_3;;;;;;;;
./inv1rel7.v;StructuredUnification;1;1;36;38;apply;C4;1908;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;36;39;apply;C4;111;C;CompSpecT;CompSpec;CompareSpecT;CompareSpec;CompOpp;CRelationClasses.PartialOrder;CRelationClasses.arrow_Transitive_obligation_1;CRelationClasses.arrow_Reflexive_obligation_1;CRelationClasses.impl_Transitive_obligation_1
./inv1rel7.v;StructuredUnification;1;1;36;40;apply;C4;0;C4;;;;;;;;;
./inv1rel7.v;StructuredUnification;1;1;37;7;apply;equivncomp;1357;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;37;8;apply;equivncomp;37;equivS;except;ex_of_sigT;ex_of_sig;existT;exist;eq;ex_of_ex2;ex2_sind;ex2_ind
./inv1rel7.v;StructuredUnification;1;1;37;9;apply;equivncomp;19;eq;equivS;Eq;eq_true_rect_r;eq_true_rec_r;eq_true_ind_r;eq_true;eq_rect_r;eq_rec_r;eq_ind_r
./inv1rel7.v;StructuredUnification;1;1;37;10;apply;equivncomp;1;equivS;equivncomp;equivknown;equivnknown1;equivS3;equivS_sind;equivS_ind;equivS4;equivS1a;equivS1b
./inv1rel7.v;StructuredUnification;1;1;37;11;apply;equivncomp;1;equivS;equivncomp;equivknown;equivnknown1;equivS3;equivS_sind;equivS_ind;equivS4;equivS1a;equivS1b
./inv1rel7.v;StructuredUnification;1;1;37;12;apply;equivncomp;1;equivS;equivncomp;equivknown;equivnknown1;equivS3;equivS_sind;equivS_ind;equivS4;equivS1a;equivS1b
./inv1rel7.v;StructuredUnification;1;1;37;13;apply;equivncomp;0;equivncomp;equivnknown1;equivknown;equivS_ind;equivS_sind;Equivalence.respecting;Equivalence.pequiv;Equivalence.equiv;Equivalence.pointwise_equivalence;Equivalence.pointwise_transitive
./inv1rel7.v;StructuredUnification;1;1;37;14;apply;equivncomp;0;equivncomp;Equivalence.respecting;Equivalence.pequiv;Equivalence.equiv;Equivalence.pointwise_equivalence;Equivalence.pointwise_transitive;Equivalence.pointwise_symmetric;Equivalence.pointwise_reflexive;Equivalence.equiv_transitive;Equivalence.equiv_symmetric
./inv1rel7.v;StructuredUnification;1;1;37;15;apply;equivncomp;0;equivncomp;Equivalence.pointwise_equivalence;Equivalence.pointwise_transitive;Equivalence.pointwise_symmetric;Equivalence.pointwise_reflexive;Equivalence.equiv_symmetric_obligation_1;Equivalence.equiv_reflexive_obligation_1;Equivalence.equiv_transitive_obligation_1;Equivalence.respecting_equiv_obligation_3;Equivalence.respecting_equiv_obligation_2
./inv1rel7.v;StructuredUnification;1;1;37;16;apply;equivncomp;0;equivncomp;Equivalence.pointwise_symmetric;;;;;;;;
./inv1rel7.v;StructuredUnification;1;1;37;17;apply;equivncomp;0;equivncomp;;;;;;;;;
./inv1rel7.v;StructuredUnification;1;1;38;7;apply;equivS3;1650;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;38;8;apply;equivS3;42;equivS;except;ex_of_sigT;ex_of_sig;existT;exist;eq;ex_of_ex2;ex2_sind;ex2_ind
./inv1rel7.v;StructuredUnification;1;1;38;9;apply;equivS3;21;eq;equivS;Eq;eq_true_rect_r;eq_true_rec_r;eq_true_ind_r;eq_true;eq_rect_r;eq_rec_r;eq_ind_r
./inv1rel7.v;StructuredUnification;1;1;38;10;apply;equivS3;3;equivS;equivncomp;equivknown;equivS3;equivS4;equivS1a;equivnknown1;equivS_sind;equivS_ind;equivS1b
./inv1rel7.v;StructuredUnification;1;1;38;11;apply;equivS3;3;equivS;equivncomp;equivknown;equivS3;equivS4;equivS1a;equivnknown1;equivS_sind;equivS_ind;equivS1b
./inv1rel7.v;StructuredUnification;1;1;38;12;apply;equivS3;3;equivS;equivncomp;equivknown;equivS3;equivS4;equivS1a;equivnknown1;equivS_sind;equivS_ind;equivS1b
./inv1rel7.v;StructuredUnification;1;1;38;13;apply;equivS3;1;equivS;equivS3;equivS4;equivS1a;equivS_sind;equivS_ind;equivS1b;equivS2;Equivalence.equiv_symmetric;Equivalence.equiv_symmetric_obligation_1
./inv1rel7.v;StructuredUnification;1;1;38;14;apply;equivS3;0;equivS3;Equivalence.respecting_equiv_obligation_3;;;;;;;;
./inv1rel7.v;StructuredUnification;1;1;39;7;apply;AlreadyInb;1893;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;39;8;apply;AlreadyInb;22;ABSI;AState;Aid;Acc_intro_generator;Acc;Add;AState_sind;AState_rec;AState_ind;AState_rect
./inv1rel7.v;StructuredUnification;1;1;39;9;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;AlreadyIn;AlreadyIn1;all;Add_length;app_length;app_nil_l;rev_alt;and_cancel_l
./inv1rel7.v;StructuredUnification;1;1;39;10;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;AlreadyIn;AlreadyIn1;app_nil_r;and_cancel_r;Bool.andb_false_r;PeanoNat.Nat.add_le_mono_r;PeanoNat.Nat.add_lt_mono_r;PeanoNat.Nat.le_add_le_sub_r
./inv1rel7.v;StructuredUnification;1;1;39;11;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;AlreadyIn;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./inv1rel7.v;StructuredUnification;1;1;39;12;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;AlreadyIn;AlreadyIn1;Morphisms.apply_subrelation;CMorphisms.apply_subrelation;;;;
./inv1rel7.v;StructuredUnification;1;1;39;13;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;AlreadyIn;AlreadyIn1;;;;;;
./inv1rel7.v;StructuredUnification;1;1;39;14;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;AlreadyIn;AlreadyIn1;;;;;;
./inv1rel7.v;StructuredUnification;1;1;39;15;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;AlreadyIn;AlreadyIn1;;;;;;
./inv1rel7.v;StructuredUnification;1;1;39;16;apply;AlreadyInb;1;AlreadyIn;AlreadyInb;AlreadyIn1b;AlreadyIn1;;;;;;
./inv1rel7.v;StructuredUnification;1;1;39;17;apply;AlreadyInb;0;AlreadyInb;AlreadyIn1b;;;;;;;;
./inv1rel7.v;StructuredUnification;1;1;39;25;apply;EP0;2139;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;39;26;apply;EP0;23;Encrypt;Exc;Exists;Equivalence.respecting;Eq;Empty_set;Equivalence.pequiv;Equivalence.equiv;Empty_set_sind;Empty_set_rec
./inv1rel7.v;StructuredUnification;1;1;39;27;apply;EP0;1;EP1;EP0;ex_proj1;ex_proj2;ex_proj1_eq;ex_proj3;ex_proj1_of_ex2_eq;ex_proj2_eq;ex_proj3_eq;ex_proj2_of_ex2_eq
./inv1rel7.v;StructuredUnification;1;1;39;28;apply;EP0;0;EP0;PeanoNat.Nat.eq_pred_0;Exists_dec_subproof0;;;;;;;
./inv1rel7.v;StructuredUnification;1;1;40;7;apply;D1;1361;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel_from_rel;ssrunder.Under_rel.Under_rel;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;PeanoNat.Nat.EvenT_0;PeanoNat.Nat.OddT;PeanoNat.Nat.EvenT
./inv1rel7.v;StructuredUnification;1;1;40;8;apply;D1;68;D;Decimal.Little.succ_double;Decimal.Little.double;Decimal.Little.succ;D2B;Decimal.int_of_int;Decimal.uint_of_uint;Decimal.del_tail_int;Decimal.del_tail;Decimal.del_head_int
