File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./securite.v;SimpleTypeIntersection;;;148;7;apply;H1;1125;except;False_sind;False_rec;False_ind;False_rect;Decidable.dec_False;Decidable.not_false_iff;Decidable.not_true_iff;neg_false;Bool.absurd_eq_true
./securite.v;SimpleTypeIntersection;;;148;8;apply;H1;51;H;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.app;Hexadecimal.rev;Hexadecimal.revapp
./securite.v;SimpleTypeIntersection;;;148;9;apply;H1;0;H1;Hexadecimal.D1;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;7;apply;(equivknown;-1;H1;H2;H;H0;A2B;EP0;A2A;E0;AlreadyInb;AlreadyIn
./securite.v;SimpleTypeIntersection;;;149;8;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;9;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;10;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;11;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;12;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;13;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;14;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;15;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;16;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;17;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SimpleTypeIntersection;;;149;18;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SplitTypeIntersection;;;148;7;apply;H1;2025;PeanoNat.Nat.Even_Odd_False;RelationClasses.asymmetry;Bool.eq_true_false_abs;except;False_sind;False_rec;False_ind;False_rect;Decidable.dec_False;Decidable.not_not_iff
./securite.v;SplitTypeIntersection;;;148;8;apply;H1;57;H;Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int
./securite.v;SplitTypeIntersection;;;148;9;apply;H1;0;H1;Hexadecimal.D1;;;;;;;;
./securite.v;SplitTypeIntersection;;;149;7;apply;(equivknown;-1;H1;H2;A4;A2B;A2A;equivknown;H;E1;EP1;H0
./securite.v;SplitTypeIntersection;;;149;8;apply;(equivknown;-1;;;;;;;;;;
./securite.v;SplitTypeIntersection;;;149;9;apply;(equivknown;-1;;;;;;;;;;
