File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Yokouchi.v;StructuredUnification;1;1;59;23;apply;comp_2rel;807;Rstar_S_Rstar;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Decimal.Little.succ_double;Decimal.Little.double;Decimal.Little.succ;inclus_conf;strong_conf_conf;noether_inclus
./Yokouchi.v;StructuredUnification;1;1;59;24;apply;comp_2rel;14;C;confluence_en;conj;comparison;curry;comp_case;comparison_sind;comparison_rec;comparison_ind;comparison_rect
./Yokouchi.v;StructuredUnification;1;1;59;25;apply;comp_2rel;12;confluence_en;conj;comparison;comp_case;comparison_sind;comparison_rec;comparison_ind;comparison_rect;cons;commut1
./Yokouchi.v;StructuredUnification;1;1;59;26;apply;comp_2rel;9;comparison;comp_case;comparison_sind;comparison_rec;comparison_ind;comparison_rect;commut1;comparison_eq_stable;comp_relplus;comp_2rel
./Yokouchi.v;StructuredUnification;1;1;59;27;apply;comp_2rel;8;comparison;comp_case;comparison_sind;comparison_rec;comparison_ind;comparison_rect;comparison_eq_stable;comp_relplus;comp_2rel;CompSpecT
./Yokouchi.v;StructuredUnification;1;1;59;28;apply;comp_2rel;2;comp_case;comp_relplus;comp_2rel;CompOpp_inj;CompOpp_involutive;CompOpp_iff;comparison_sind;comparison_rec;comparison_ind;comparison_rect
./Yokouchi.v;StructuredUnification;1;1;59;29;apply;comp_2rel;0;comp_2rel;;;;;;;;;
./Yokouchi.v;StructuredUnification;1;1;59;30;apply;comp_2rel;0;comp_2rel;;;;;;;;;
./Yokouchi.v;StructuredUnification;1;1;59;31;apply;comp_2rel;0;comp_2rel;;;;;;;;;
./Yokouchi.v;StructuredUnification;1;1;59;32;apply;comp_2rel;0;comp_2rel;;;;;;;;;
./Yokouchi.v;StructuredUnification;1;1;60;10;apply;star_trans;2;Rplus_Rstar;star_step1;star_trans;star_trans1;star_refl;Rstar_S_Rstar;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Decimal.Little.succ_double
./Yokouchi.v;StructuredUnification;1;1;60;11;apply;star_trans;2;S;star_step1;star_trans;star_trans1;star_refl;sub;strong_confluence_en;sumor;sumbool;sigT2
./Yokouchi.v;StructuredUnification;1;1;60;12;apply;star_trans;1;star_step1;star_trans;star_trans1;star_refl;strong_confluence_en;strong_conf_conf;star_case;sigT;sigT2;sigT_of_prod
