File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./terminaison_SL.v;StructuredUnification;1;1;60;20;apply;(H0;-1;H;e_lexfg;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel;Nat.Private_OrderTac.Tac.interp_ord;Nat.Private_Tac.interp_ord;Nat.Private_Parity.Even_0;Nat.Private_NLcmProp.lcm;Nat.EvenT_0;Nat.OddT
./terminaison_SL.v;StructuredUnification;1;1;60;21;apply;(H0;-1;;;;;;;;;;
./terminaison_SL.v;StructuredUnification;1;1;60;22;apply;(H0;-1;;;;;;;;;;
./terminaison_SL.v;StructuredUnification;1;1;60;23;apply;(H0;-1;;;;;;;;;;
./terminaison_SL.v;StructuredUnification;1;1;70;7;apply;H;875;e_lexfg;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel;Nat.Private_OrderTac.Tac.interp_ord;Nat.Private_Tac.interp_ord;Nat.Private_Parity.Even_0;Nat.Private_NLcmProp.lcm;Nat.EvenT_0;Nat.OddT;Nat.EvenT
./terminaison_SL.v;StructuredUnification;1;1;70;8;apply;H;0;H;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app
./terminaison_SL.v;StructuredUnification;1;1;71;7;apply;H';879;e_lexfg;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel;Nat.Private_OrderTac.Tac.interp_ord;Nat.Private_Tac.interp_ord;Nat.Private_Parity.Even_0;Nat.Private_NLcmProp.lcm;Nat.EvenT_0;Nat.OddT;Nat.EvenT
./terminaison_SL.v;StructuredUnification;1;1;71;8;apply;H';45;H;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app
./terminaison_SL.v;StructuredUnification;1;1;71;9;apply;H';0;H';Nat.shiftl_spec_high';;;;;;;;
./terminaison_SL.v;StructuredUnification;1;1;77;9;rewrite;H2;1797;e_lexfg;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel;Nat.Private_OrderTac.Tac.interp_ord;Nat.Private_Tac.interp_ord;Nat.Private_Parity.Even_0;Nat.Private_NLcmProp.lcm;Nat.EvenT_0;Nat.OddT;Nat.EvenT
